@relation 8_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0,0.006711,0.65949,0.000666,1,0,0,0,0,0,0,0,0,0.142118,0,0.989071,0,0.933691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935484,0,0,1,0,0,0,0,0,0.001725,0.877427,0.000473,0.122573,0,1,0,0,0.200223,0,0.004255,0,0,0,0.100161,0,0,0.000779,0.185857,0,0,0,0,0.001414,0,0.854167,0,0,0,0,0,0.068684,0.03125,1,0,0,0.878367,0,0.320529,0.02976,0,0.854079,1,1,1,0.15619,0.716624,0.016667,0.038462,0.104989,0.073676,0,0,0.010588,0.038166,0.019354,0.067779,1,0.5139,1,0.5,0.000657,0.00012,0.000575,0.000575,0.001204,0.001204,0.732824,0.5625,0,0,0.016667,0.038462,Research
0.443977,0.193267,0.108,0.364804,0.227375,0.641399,0.395973,0.105009,0.548419,0.408927,0.552278,0.26012,0.512686,0.177333,0.0787,0.28892,0.2438,0.414387,0.1792,0.545455,0.174083,0.466539,0.568361,0.26087,0.02125,0.26087,1,0.083333,0.1667,0.666667,0.162921,0.6,0.9,0.6,0.9,0.7,0.419355,0.585859,0.9,0.765625,0.87,0.472022,0.712,0.387121,0.448808,0.627248,0.610512,0.40483,0.389488,0.53386,0.085183,0,0.576345,0.130835,0.074972,0.009201,0.280778,0.603886,0.371464,0.346133,0.438263,0.562188,0.20405,0.205882,0.438428,0.664226,0.544494,0.535258,0.521206,0.684783,0.375,0.227507,0.413296,0.310592,0.110779,0.473955,0.40944,0.525,0.211703,0,0.766847,0.287579,0.677311,1,0.481435,0.42492,0.07381,0.175239,0.12271,0.174169,0.659864,0.852993,0.766667,0.682692,0.983373,0.980481,0.552158,0.294486,0.759532,0.816588,0.875137,0.90038,0.05264,0.204292,0,0.5,0.483403,0.359296,0.287601,0.287601,0.281793,0.281793,0.114504,0.069853,0.697674,0.628571,0.766667,0.682692,PM
0.090156,0.144638,0.39775,0.159777,0.490375,0.295274,0.426174,0.503515,0.356073,0.783666,0.181193,0.000924,0.00893,0.005333,0.6667,0.002104,0.5,0.045593,0.026906,0.236364,1,0.053537,0.682033,0.043478,0.0175,0.043478,1,0.083333,1,0,0,0,0,0,0,0.18,0.086022,0.161616,0.81,0.28125,0.62,0.113573,0.8436,0.042681,0.243728,0.349593,0.90861,0.071496,0.09139,0.229826,0.007634,0,0.212387,0.294886,0.054399,0.064353,0.054009,0.57228,0.228167,0.493287,0.012212,0.077187,0.017913,0.017209,0.08479,0.287934,0.168594,0.085897,0.134779,0.543478,0.104167,0.081823,0.731916,0.034111,0.059986,0.141127,0.157127,0.2,0.154504,0,0.237412,0.317967,0.212528,0.244227,0.912665,0.380192,0.219441,0.100036,0.283256,0.054087,0.639085,0.836258,0.2,0.384615,0.857968,0.89863,0.225871,0.241722,0.073397,0.188735,0.190626,0.434829,0.055021,0.366719,0,0.5,0.124626,0.214088,0.111303,0.111303,0.109884,0.109884,0.48855,0.319853,0.046512,0.092063,0.2,0.384615,GradStudent
0.007668,0.022444,0.72575,0.007263,0.262125,0.005293,0.005034,0.369947,0,0.530484,0.007118,0,0,0,0,0,0,0.052685,1,0,0.006245,0.051625,0.390906,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.870968,0.858586,1,0.84375,0.94,0.007941,0.6935,0.007113,0.477638,0.00542,0.682487,0.006629,0.317513,0.348448,0.038186,0,0.182196,0.135619,0.013235,0.004369,0.003355,0.417876,0.015375,0.714017,0.003392,0.251875,0.015576,0.72403,0.010012,0.007144,0.00925,0.006862,0,0.51087,0.458333,0.008648,0.909554,0,0,0.012114,0.596205,0.009375,0.220907,0,0.582188,0.679453,0,0.548331,0.017167,0,1,0.657995,1,0.830052,0.18746,0.767421,0.016667,0.105769,0.150258,0.303332,0.001215,0.008971,0.011223,0.079997,0.02153,0.134026,0.035003,0.614828,0,0.5,0.001302,0.004207,0.00586,0.00586,0.009201,0.009201,0.625954,0.496324,0,0.012698,0.016667,0.105769,GradStudent
0.058249,0.140898,0.59975,0.125698,0.597125,0.28034,0.380872,0.463093,0.321797,0.724406,0.15454,0.002001,0.030056,0.013333,0.7692,0.007013,0.7692,0.093212,0.081925,0.309091,0.622951,0.097514,0.464477,0.217391,0.1325,0.217391,1,0.416667,1,0.066667,0.033708,0.066667,1,0.066667,1,0.46,0.150538,0.272727,0.78,0,0.46,0.074238,0.8535,0.025833,0.2283,0.34984,1,0.033617,0,0.202021,0.017911,0,0.264591,0.276955,0.084421,0.021942,0.045287,0.742487,0.397294,1,0.030529,0.298438,0.049844,0.102628,0.055777,0.278408,0.146226,0.028869,0.132893,0.282609,0.125,0.046399,0.642447,0.059246,0.161112,0.086917,0,0.11875,0.057857,0,0.320658,0.52089,0.10999,0.166217,0.638807,0.052538,0.410527,0.31233,0.768962,0.330747,0.618839,0.969442,0.2,0.384615,0.837487,0.872729,0.042478,0.090842,0.13778,0.369309,0.235965,0.564433,0.076913,0.29481,0,0.5,0.06391,0.107589,0.063568,0.063568,0.062114,0.062114,0.442748,0.202206,0.05814,0.177778,0.2,0.384615,GradStudent
0.626391,0.577307,0.2285,0.597207,0.263875,0.759924,0.602349,0.189367,0.431281,0.102374,0.718523,0,0,0,0,0,0,0.7923,0.30476,0.672727,0.066745,0.764818,0.299021,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.483871,0.555556,0.82,0.6875,0.81,0.550877,0.5889,0.779483,0.640642,0.631683,0.393214,0.693182,0.606786,0.333013,0.061643,0,0.34157,0.047744,0.05656,0.004507,0.166387,0.253627,0.287823,0.184479,0.219132,0.199375,0.197819,0.163016,0.638515,0.813847,0.732062,0.353999,0.62394,0.326087,0.375,0.64161,0.826049,0.876122,0.221328,0.909752,0.851341,1,0.406312,0,0.386166,0.204826,0.353766,0.188462,0.397177,0.233049,0.189092,0.222619,0.388022,0.240411,0.501327,0.967298,0.533333,0.576923,0.987516,0.989415,0.32669,0.161807,0.55345,0.682029,0.706802,0.804463,0.11938,0.40359,0,0.5,0.519183,0.486079,0.627258,0.627258,0.626904,0.626904,0.251908,0.143382,0.418605,0.48254,0.533333,0.576923,Director
0.09399,0.129676,0.342,0.157542,0.463875,0.187902,0.177852,0.271529,0.183694,0.557835,0.138722,0.040172,0.373952,0.090667,0.2605,0.060309,0.3295,0.291793,0.44981,0.436364,0.217799,0.32696,0.562046,0.26087,0.09875,0.26087,1,0.5,1,0.733333,0.578652,0.733333,1,0.666667,0.9091,0.78,0.860215,0.838384,0.94,0.890625,0.94,0.113204,0.8066,0.055036,0.301387,0.182311,0.603059,0.124053,0.396941,0.290099,0.102086,0,0.213384,0.065245,0.05034,0.004189,0.070782,0.719171,0.163592,0.559076,0.117368,0.71125,0.186137,0.679599,0.093399,0.19261,0.136278,0.050402,0.183318,0.304348,0.520833,0.080326,0.689188,0.071813,0.120892,0.140521,0.401443,0.221875,0.33925,0,0.228994,0.148564,0.090021,0.087179,0.204965,0.247071,0.274613,0.285824,0.478768,0.310517,0.676456,0.789727,0.383333,0.519231,0.907531,0.924866,0.131841,0.113566,0.346173,0.63701,0.521879,0.775118,0.058874,0.168886,0,0.5,0.132926,0.138307,0.058131,0.058131,0.052977,0.052977,0.290076,0.125,0.255814,0.568254,0.383333,0.519231,Research
0.203067,0.086035,0.105,0.13743,0.18725,0.427977,0.167785,0,0.42995,0.57094,0.308921,0.027551,0.118698,0.046667,0.1955,0.038569,0.3073,0.610942,0.42256,0.327273,0.001952,0.671128,0.520998,0,0,0,0,0,0,0.133333,0.050562,0.133333,1,0.133333,1,0.95,0.623656,0.777778,1,0.984375,1,0.261127,0.8611,0.085361,0.216456,0.318551,0.270249,0.463542,0.729751,0.745465,0.070951,0,0.411851,0.04035,0.098633,0.001737,0.055351,0.260363,0.224477,0.299946,0.101764,0.285625,0.181464,0.283166,0.192123,0.42236,0.290709,0.210838,0.334119,0.586957,0.354167,0.072842,0.289231,0.606822,0.472995,0.314658,0.402384,0.46875,0.316897,0,0.352392,0.22371,0.203363,0.108145,0.027882,0.015442,0.224305,0.427356,0.467419,0.536162,0.49385,0.774218,0.55,0.403846,0.9618,0.962895,0.224375,0.228419,0.663898,0.575824,0.772216,0.707383,0.074402,0.352207,0,0.5,0.249008,0.197893,0.153141,0.153141,0.149136,0.149136,0.236641,0.227941,0.546512,0.333333,0.55,0.403846,Director
0.380163,0.246883,0.161,0.278212,0.2025,0.358034,0.446309,0.410369,0.288519,0.366382,0.392914,0.260274,0.599042,0.234667,0.1041,0.296634,0.2501,0.489362,0.402208,0.6,0.152615,0.449331,0.224818,0.347826,0.0325,0.347826,1,0.583333,0.875,0.266667,0.11236,0.266667,1,0.266667,1,0.78,0.483871,0.686869,0.98,0.875,0.95,0.508957,0.8966,0.119057,0.161134,0.342942,0.582467,0.241477,0.417533,0.583261,0.03146,0,0.723802,0.152383,0.27666,0.010859,0.032204,0.080829,0.188192,0.299678,0.058345,0.0875,0.087227,0.150188,0.357534,0.350267,0.368067,0.4354,0.409991,0.652174,0.645833,0.138201,0.293135,0.168761,0.070329,0.282556,0.451466,0.403125,0.327416,0,0.417363,0.237067,0.563074,0.073853,0.524496,0.868655,0.009787,0.123512,0.016973,0.11527,0.792079,0.828927,0.983333,0.788462,0.97779,0.973101,0.484175,0.254355,1,0.922122,0.995424,0.965075,0.063031,0.186467,0,0,0.415799,0.323168,0.190873,0.190873,0.17763,0.17763,0.007634,0.018382,1,0.91746,0.983333,0.788462,Operations
0.011254,0.026185,0.577,0.024022,0.590625,0.011342,0.015101,0.430141,0.014309,0.896106,0.011942,0.005849,0.454753,0.017333,0.3421,0.014727,0.5526,0.039514,0.577613,0.109091,0.552693,0.040153,0.462899,0,0,0,0,0,0,0,0,0,0,0,0,0.98,1,1,1,1,1,0.014035,0.8352,0.005616,0.256818,0.016753,0.993724,0,0.006276,0.243142,0.052009,0,0.213046,0.248029,0.043292,0.007385,0.004696,0.398446,0.001845,0.057734,0.009498,0.480625,0.003894,0.180538,0.016314,0.019244,0.018089,0.00142,0.012253,0.076087,0.6875,0.009313,0.66739,0.003591,0.050563,0.00848,0.231927,0.003125,0.039448,0,0.234169,1,0.079142,0.148839,0.076393,0.053248,0.521705,0.513873,1,0.728452,0.678608,0.862436,0.083333,0.201923,0.388063,0.305936,0.007488,0.009405,0.040871,0.199677,0.072968,0.306179,0.245694,0.599496,0,0.5,0.008684,0.004972,0.001556,0.001556,0.000476,0.000476,0.633588,0.441176,0,0.069841,0.083333,0.201923,GradStudent
0.008039,0.032419,1,0.024581,0.846125,0.088469,0.224832,0.967047,0.110815,0.842545,0.042154,0.00431,0.469128,0.026667,0.7143,0.011921,0.6071,0.047619,0.144878,0.236364,0.958236,0.061185,0.841806,0.217391,0.96125,0.217391,1,0.416667,1,0.266667,0.41573,0.266667,1,0.266667,1,0.68,0.322581,0.40404,0.89,0.484375,0.7,0.010711,0.8923,0.002621,0.167835,0.106184,0.909198,0.021307,0.090802,0.192617,0.005786,0,0.349733,0.250119,0.152901,0.01602,0.007045,0.837047,0.086716,0.605532,0.011533,0.817188,0.012461,0.081665,0.007652,0.083754,0.038142,0.006389,0.051838,0.456522,0.25,0.004989,0.500488,0.001795,0.035394,0.038159,0.109299,0.040625,0.071663,0,0.30551,0.412324,0.264865,0.219204,0.08955,0.046858,0.561225,0.500411,0.95307,0.702591,0.599497,0.803766,0.1,0.201923,0.507648,0.420198,0.011098,0.036703,0.055129,0.189016,0.098571,0.298041,0.159841,0.631304,0,0.5,0.013948,0.011786,0.007045,0.007045,0.005689,0.005689,0.572519,0.4375,0.011628,0.028571,0.1,0.201923,GradStudent
0.02696,0.063591,0.58475,0.046369,0.475875,0.069754,0.072148,0.322496,0.067887,0.593162,0.046425,0.000462,0.015028,0.004,1,0.002104,1,0.121581,0.469817,0.327273,0.488681,0.118547,0.344174,0.086957,0.115,0.086957,1,0.166667,1,0.266667,0.511236,0.266667,1,0.2,0.75,0.82,0.83871,0.848485,0.89,0.921875,0.93,0.027516,0.6835,0.025833,0.493221,0.062084,0.5101,0.059186,0.4899,0.323005,0.077219,0,0.463431,0.104618,0.466757,0.002794,0.012747,0.451554,0.033825,0.245435,0.025102,0.530313,0.037383,0.335419,0.029177,0.076395,0.04901,0.016327,0.114043,0.347826,1,0.022618,0.676608,0.041293,0.242473,0.052998,0.377607,0.0875,0.337278,0,0.33988,0.40843,0.200586,0.327048,0.088161,0.237309,0.457865,0.583152,0.95668,0.782066,0.924399,0.909274,0.233333,0.307692,0.709123,0.73763,0.054451,0.103702,0.208325,0.466261,0.318911,0.613615,0.101372,0.306292,0,0.5,0.030692,0.028031,0.022684,0.022684,0.02012,0.02012,0.419847,0.224265,0.023256,0.253968,0.233333,0.307692,Research
0.042295,0.044888,0.26325,0.024022,0.157125,0.029679,0.031879,0.351933,0.002662,0,0.039465,0.002771,0.05728,0.018667,0.7778,0.002104,0.1667,0.080041,0.622628,0.145455,0.327869,0.059273,0,0,0,0,0,0,0,0.066667,0.247191,0.066667,1,0.066667,1,0.62,0.612903,0.636364,0.81,0.609375,0.78,0.026593,0.4211,0.07413,0.902135,0.014536,0.126495,0.050189,0.873505,0.640698,0.021244,0,0.34219,0,0.217193,0.000638,0.04428,1,0.035055,0.615199,0.052917,0.712813,0.029595,0.541927,0.047394,0.03234,0.043199,0.0239,0.005184,0.326087,0.125,0.04141,0.789611,0.016158,0.060446,0.052392,1,0.01875,0.119658,0,0.205862,0.046186,0.007849,0.100693,0.01501,0.062833,0.259048,0.579432,0.577633,0.825053,0.66155,0.737528,0.133333,0.134615,0.66111,0.711283,0.099623,0.200059,0.045049,0.111619,0.080916,0.180912,0.053632,0.756798,0,0.5,0.029895,0.025304,0.031417,0.031417,0.03043,0.03043,0.587786,0.492647,0.023256,0.015873,0.133333,0.134615,GradStudent
