pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
ahmed12,0,0,0.0,0,0.0,17,7,0.4118,13,0.7647,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,94,0,0,100,0,0,0.0,0,0.0,13,0.7647,4,0.2353,0.0,6.2941,3,0.0,572.7647058823529,0.0,428932.65051903116,0,0.0,1,0.0588,0,0.0,1,0.0588,0.0,0.6538,0.6538,0,5,0.0,0.29,0,0.0,0,0.0,7,0.4118,4,0.2353,3,0.0,41.2,0.0,286.56,0.0002019152626155148,0.0,0.0,38.0,0.0,1.0,0.0,0.2735632183908046,0.0,0.025210084033613446,0.0,2.3955077647277148,0.0,0.0005635180257613453,0.0,1753948166.5459335,0.0,0.00882108209817336,0.0,0.3593073593073593,0.0,3,0.0,0.0016639417664698535,0.0,0.0,0.00017861955127150827,0.0001786195512713322,0.0,2.525,0.0,1,0.0,3,Research
apoetter,576,85,0.1476,97,0.1684,646,122,0.1889,391,0.6053,1222,243,0.4219,59,0.2428,64,0.2634,31,0.048,17,0.5484,25,0.8065,6,0.0104,6,1.0,1,0.1667,5,0.0077,5,1.0,4,0.8,73,44,58,90,84,87,418,0.7257,158,0.2743,474,0.7337,172,0.2663,3.9724,2.0736,3,782.515625,884.1207430340557,342568.1837836371,1411712.4652972813,60,0.1042,139,0.2152,38,0.066,55,0.0851,16.4571,18.4571,34.9143,442,172,0.77,0.27,188,0.3264,29,0.0503,214,0.3313,31,0.048,3,68.87755102040815,48.662835249042146,3695.3115368596373,4191.480189662523,0.08700338374897902,0.17336152219873152,11.65,23.017543859649123,0.3631578947368421,0.3272727272727273,0.031451036454610434,0.3352112676056338,0.4545454545454546,0.4789915966386554,41.31980612750007,3.6301606367933807,0.17477172657177845,0.2318542981800122,33304.74696862005,231407322407.45044,0.5929442385631382,0.731079794623337,0.15466499686912966,0.16847788388170826,3.0,3,0.04811847137000614,0.04273037355637435,0.0502613471596768,0.050261347142279374,0.048725918980965184,0.04872591896500858,1.5777777777777775,1.55,29.0,213,20.0,57,PM
arog3632,127,42,0.3307,41,0.3228,302,109,0.3609,229,0.7583,429,0,0.0,0,0.0,0,0.0,17,0.0563,6,0.3529,7,0.4118,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,19,19,64,44,50,111,0.874,16,0.126,292,0.9669,10,0.0331,1.3656,1.8667,3,457.84251968503935,1405.9834437086092,334198.13268026523,7896204.0560172815,26,0.2047,61,0.202,3,0.0236,3,0.0099,3.0238,7.1905,10.2143,59,64,0.46,0.21,81,0.6378,2,0.0157,80,0.2649,7,0.0232,3,18.31081081081081,36.864583333333336,109.07907231555878,413.7629123263887,0.06210240226634869,0.045454545454545456,14.5,30.904761904761905,0.0,0.5789473684210527,0.00919732441471572,0.33055555555555555,0.045454545454545456,0.1764705882352941,29.07288512698477,3.540485477460348,0.04545454545454574,0.08995535121331748,284.8818645035172,49012251470.0173,0.05226028943075698,0.2622811048553555,0.0,0.2286656891495601,3.0,3,0.013197143940267624,0.013242963668328559,0.018472053902117633,0.01847205383833433,0.019637407334353887,0.01963740726248512,2.2444444444444445,2.0,2.0,14,2.0,21,GradStudent
awais,15,9,0.6,3,0.2,13,3,0.2308,6,0.4615,28,0,0.0,0,0.0,0,0.0,9,0.6923,2,0.2222,5,0.5556,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73,100,86,100,100,100,9,0.6,6,0.4,13,1.0,0,0.0,3.0,1.1667,3,393.6,405.07692307692315,77056.90666666668,119970.99408284023,8,0.5333,2,0.1538,4,0.2667,2,0.1538,0.7895,0.6842,1.4737,8,3,0.53,0.23,15,1.0,0,0.0,10,0.7692,2,0.1538,3,12.882352941176471,33.857142857142854,16.692041522491344,936.9795918367346,0.006594258781268078,0.0,0.0,38.444444444444436,0.0,0.7222222222222222,0.0,0.2960199004975124,0.0,0.07563025210084033,0.0,3.1459304124144705,0.0,0.011086922489054577,0.0,13017614525.85356,0.0,0.06882596749087835,0.0,0.25615284974093266,0.0,3,0.0,0.0031720245955279523,0.0,0.0,0.0017201039450230467,0.0017201039458246935,0.0,2.2,0.0,3,0.0,9,GradStudent
bdeird7,73,28,0.3836,36,0.4932,300,67,0.2233,247,0.8233,373,4,0.0548,4,1.0,3,0.75,16,0.0533,6,0.375,11,0.6875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,53,35,39,64,40,45,59,0.8082,14,0.1918,269,0.8967,31,0.1033,1.3036,1.0898,3,333.01369863013696,1036.12,189203.87652467625,982900.2389333338,22,0.3014,160,0.5333,6,0.0822,6,0.02,1.825,7.5,9.325,19,65,0.26,0.22,41,0.5616,5,0.0685,59,0.1967,3,0.01,3,28.33333333333333,35.051470588235304,487.55555555555526,347.47529195501727,0.02885262751740828,0.0,17.75,33.42307692307692,0.8333333333333334,0.8115942028985508,0.023655913978494626,0.3562874251497006,0.09090909090909093,0.2184873949579832,28.849853935534714,3.5533534518193046,0.013271023125649302,0.07101043979186172,2486.7183100320967,94608540647.02257,0.0555706510231721,0.3827408012356823,0.23423423423423426,0.23975198070961076,3.0,3,0.009358190421938473,0.009548053189121691,0.010831496718367672,0.010831496702863937,0.012445449798873458,0.012445449784487892,2.1111111111111107,1.8833333333333333,2.0,57,4.0,26,GradStudent
ccallsen,481,109,0.2266,93,0.1933,335,80,0.2388,152,0.4537,816,0,0.0,0,0.0,0,0.0,28,0.0836,10,0.3571,21,0.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,68,51,61,85,78,82,262,0.5447,219,0.4553,203,0.606,132,0.394,3.0252,1.9545,3,442.7193347193347,568.2686567164178,81562.80896088807,2255560.6860325253,56,0.1164,72,0.2149,39,0.0811,41,0.1224,14.1471,9.8529,24.0,114,138,0.24,0.41,269,0.5593,74,0.1538,223,0.6657,26,0.0776,3,30.43820224719101,32.43346007604563,678.4072297268881,569.3330249100026,0.05992579627237881,0.03382663847780127,14.214285714285715,25.97826086956522,0.5494505494505495,0.427061310782241,0.029042904290429043,0.3269230769230769,0.3181818181818182,0.38655462184873945,40.23995498110303,3.6220927413812127,0.06862725629977465,0.14753093151808813,23928.375814692798,186725758143.7384,0.4186538195233708,0.6475052633064367,0.20035460992907805,0.1895917294550552,3.0,3,0.033357358285898614,0.03231244568253551,0.0503508817294793,0.05035088167385176,0.047747894587572885,0.04774789452142993,1.7555555555555555,1.6666666666666667,14.0,177,14.0,46,Director
cheadley,151,27,0.1788,53,0.351,281,32,0.1139,151,0.5374,432,26,0.1722,15,0.5769,8,0.3077,31,0.1103,12,0.3871,24,0.7742,1,0.0066,1,1.0,1,1.0,6,0.0214,6,1.0,5,0.8333,99,98,98,100,98,99,111,0.7351,40,0.2649,179,0.637,102,0.363,2.0972,2.4487,3,268.3708609271523,540.7651245551601,58439.13398535156,305078.5640506069,38,0.2517,73,0.2598,38,0.2517,70,0.2491,4.3143,8.0286,12.3429,38,133,0.25,0.47,77,0.5099,14,0.0927,135,0.4804,17,0.0605,3,20.847457627118644,43.609375,86.97673082447572,1033.691162109375,0.022957689542675845,0.0667723749119098,11.769230769230768,30.685714285714287,0.4358974358974359,0.5848739495798321,0.029255319148936167,0.3287292817679558,0.2954545454545455,0.29411764705882354,36.837572337066995,3.6008915151763254,0.08004466722389594,0.055606460210914435,14160.461822265464,147841927949.73773,0.29076917891284265,0.552142956672598,0.2141025641025641,0.1797445084319721,4.0,3,0.02254017206542913,0.018686173747161274,0.010031211967416036,0.010031211992882613,0.010585597528872864,0.010585597560337414,1.8888888888888888,1.725,12.0,87,13.0,35,Research
cthomp,266,42,0.1579,24,0.0902,338,38,0.1124,258,0.7633,604,5,0.0188,5,1.0,2,0.4,13,0.0385,6,0.4615,11,0.8462,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,96,28,58,100,100,100,247,0.9286,19,0.0714,183,0.5414,155,0.4586,8.5806,1.9367,3,584.7932330827067,546.0325443786984,141515.23920232907,526326.9249763666,1,0.0038,72,0.213,1,0.0038,12,0.0355,6.4878,8.2439,14.7317,188,45,0.71,0.13,40,0.1504,43,0.1617,70,0.2071,4,0.0118,3,21.58888888888889,44.66442953020134,35.57543209876542,555.3907481644968,0.03196662797790418,0.008104298801973222,15.333333333333336,29.948717948717945,0.7222222222222222,0.5750750750750749,0.028460543337645538,0.3419540229885057,0.20454545454545456,0.3277310924369748,36.45173384134612,3.6066554866901703,0.040421269619801546,0.15111542900873232,11986.619219359009,173919240724.55032,0.2251254088499668,0.6015033609650081,0.2661596958174905,0.18304754164973588,4.0,3,0.01854233145734281,0.021065407178680697,0.013309421008192313,0.013309421034795628,0.015913262151133055,0.01591326218544721,2.0222222222222217,1.7083333333333333,8.0,162,9.0,39,Director
deannac,517,67,0.1296,104,0.2012,359,86,0.2396,203,0.5655,876,461,0.8917,66,0.1432,90,0.1952,59,0.1643,14,0.2373,34,0.5763,2,0.0039,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0,85,45,68,99,88,95,458,0.8859,59,0.1141,290,0.8078,69,0.1922,3.0958,1.112,3,323.8123791102515,905.7158774373261,84179.27814462995,1246711.4568788256,0,0.0,55,0.1532,0,0.0,13,0.0362,12.3095,8.5476,20.8571,143,121,0.28,0.34,223,0.4313,18,0.0348,152,0.4234,18,0.0501,3,46.59322033898305,41.262773722627735,499.3018426560503,485.15722734295883,0.03817954079749962,0.12491190979563073,13.066666666666665,26.551020408163268,0.4571428571428571,0.4458834412580944,0.03142857142857143,0.3333333333333333,0.3409090909090909,0.4117647058823529,39.602088369559056,3.6213518961952715,0.15311144770863355,0.16489336691706427,23016.96669117988,223954052447.4872,0.4484351148348175,0.7032295383972517,0.18873340509508432,0.1639758801789535,3.0,3,0.03201225542402352,0.030957696688207418,0.0271734352176766,0.027173435187970118,0.0272821014430596,0.02728210141073061,1.6444444444444444,1.6083333333333334,18.0,189,15.0,49,Operations
example,21,10,0.4762,12,0.5714,26,9,0.3462,15,0.5769,47,16,0.7619,8,0.5,8,0.5,19,0.7308,5,0.2632,9,0.4737,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,100,100,100,100,100,18,0.8571,3,0.1429,25,0.9615,1,0.0385,1.5,3.4211,3,231.952380952381,313.23076923076917,88415.4739229025,58389.79289940827,0,0.0,5,0.1923,0,0.0,5,0.1923,1.05,1.3,2.35,1,1,0.05,0.04,13,0.619,0,0.0,15,0.5769,1,0.0385,3,21.125,29.125,209.234375,267.609375,0.01638793198558501,0.0,0.0,37.266666666666666,0.0,0.8095238095238095,0.0,0.34097421203438394,0.0,0.12605042016806722,0.0,3.2294329612778654,0.0,0.005851081506689954,0.0,36704345300.20583,0.0,0.17579414974110028,0.0,0.21916178623718888,0.0,3,0.0,0.0030876924546299703,0.0,0.0,0.001125926729304398,0.001125926734154073,0.0,2.058333333333333,0.0,11,0.0,15,GradStudent
