@relation trai_3

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_sent_perc numeric
@attribute inter_hume_rec numeric
@attribute inter_hume_rec_perc numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_sent_perc numeric
@attribute inter_vt_rec numeric
@attribute inter_vt_rec_perc numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.003184,0.013043,0.395293,0.00542,0.689858,0.03013,0.081633,0.876704,0.039298,0.994388,0.010431,0.002293,0.277073,0.011976,0.7273,0.00442,0.8182,0.006984,0.055412,0.026316,0.398722,0.006908,0.625019,0,0,0,0,0,0,0.071429,0.086687,0.076923,1,0.076923,1,0.001459,0.049383,0.005818,0.089888,0.00383,0.754717,0.019871,0.241935,0.005289,0.924865,0.000428,0.075135,0.044674,0.983117,0.002862,0.016883,0.037214,0.157026,0.166211,0.226346,0.018529,0.011445,0.002275,0.468505,0.032332,0.592332,0.001132,0.084327,0.00057,0,0.01264,0.116929,0.04135,0.004,0.011783,0.405941,0.055556,0.002778,0.5755,0.004564,0.179039,0.007538,0.041555,0.012361,0.091708,0.100818,0.646231,0.09163,0.244958,0.055375,0,0.98754,0.991484,1,1,0.234845,0.370044,0.016393,0.028986,0.20348,0.42896,0.000814,0.000216,0.004473,0.019463,0.008464,0.03512,0.022549,0.666984,1,1,0.002522,0.003798,0.000371,0.000371,0.000892,0.000892,0.763441,0.942857,1,0,0,0.016393,0.028986,GradStudent
0,0.001003,0.808973,0.000232,0.71974,0.006527,0.010204,0.5728,0.008176,0.889458,0.001578,0,0,0,0,0,0,0.005714,0.19424,0.032895,0.587671,0.006045,0.700015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444,0.009277,0.853933,0,0.830189,0.008686,1,0,0.131646,0.000513,0.868354,0.007973,0.701855,0.003577,0.298145,0.133929,1,0,0.165418,0,0.004381,0.00006,0.118792,0,0,0,0,0.00057,0.090635,0,0.008744,0.002238,0,0.007914,0,0.416667,0.000455,0.9091,0.000456,0.172584,0.001535,0.210776,0.02225,1,0.214722,0.939853,0.222121,0.486359,0.140651,0.005673,0.576367,0.863741,1,0.98246,0.499532,0.555665,0.04918,0.086957,0.33819,0.549244,0.002278,0.000364,0.015814,0.055246,0.027965,0.098372,0.049645,0.83486,1,1,0.004354,0.005369,0.000969,0.000969,0.003849,0.003849,0.763441,0.885714,1,0,0,0.04918,0.086957,Research
0.007944,0.026087,0.305138,0.011614,0.565349,0.040054,0.080904,0.625774,0.040881,0.552465,0.01667,0.000417,0.021498,0.002994,1,0.000982,1,0.071746,0.469116,0.157895,0.195238,0.079447,0.723714,0.294118,0.464368,0.294118,1,0.384615,1,0.214286,0.198142,0.230769,1,0.230769,1,0.01281,0.580247,0.049528,0.707865,0.008313,0.54717,0.043432,0.709677,0.009641,0.563515,0.005818,0.436485,0.040275,0.44026,0.036966,0.55974,0.1115,0.161094,0.38324,0.078683,0.133997,0.002785,0.000479,0.042211,0.01437,0.146809,0.00132,0.042014,0.022818,0.240891,0.062535,0.317873,0.133425,0.00828,0.037812,0.356436,0.296296,0.006922,0.6129,0.008215,0.137839,0.033082,0.57908,0.048208,0.389347,0.186782,0.507943,0.365869,0.37514,0.369153,0,0.598794,0.50095,0.955556,0.640617,0.46209,0.582,0.147541,0.376812,0.712729,0.867463,0.008352,0.080967,0.10307,0.333473,0.175312,0.501388,0.013473,0.33936,1,0,0.018394,0.039474,0.017988,0.017988,0.02104,0.02104,0.548387,0.614286,0,0.013889,0.090674,0.147541,0.376812,Director
0.002078,0.002676,0.150783,0.004026,0.800483,0.011623,0.010204,0.301115,0.01477,0.927282,0.004513,0.000208,0.036587,0.000749,0.5,0.000491,1,0.043175,0.879444,0.052632,0.103598,0.050086,0.782661,0.058824,0.314943,0.058824,1,0.076923,1,0.071429,0.201238,0.076923,1,0.076923,1,0.004621,0.82716,0.018868,0.94382,0.002942,1,0.014993,0.951613,0.003636,0.956383,0.000171,0.043617,0.016495,0.89666,0.002385,0.10334,0.032,0.215808,0.17671,0.047952,0.015189,0.001362,0.003114,0.930868,0.012084,0.545984,0.009242,1,0.018825,0.670581,0.003708,0.021268,0.008417,0.001023,0.007035,0.148515,0.175926,0.001867,0.5616,0.000913,0.052022,0.0067,0.409543,0.00618,0.138386,0.01342,0.351519,0.006273,0.485718,0.055475,0,0.871249,0.944949,1,0.993591,0.0699,0.555665,0.032787,0.072464,0.491601,0.707279,0.00251,0.000845,0.010505,0.048322,0.019464,0.086155,0.033543,0.853099,1,1,0.008499,0.012019,0.002221,0.002221,0.003675,0.003675,0.752688,0.9,1,0,0,0.032787,0.072464,GradStudent
0.240799,0.120067,0.002522,0.198591,0.161183,0.62861,0.392857,0.078996,0.559409,0.325525,0.350316,0.194372,0.346108,0.137725,0.0987,0.197446,0.4311,0.410159,0.171599,0.342105,0.053603,0.436097,0.673166,0,0,0,0,0,0,1,0.06192,1,0.9286,1,0.9286,0.394114,0.604938,0.557075,0.47191,0.295129,0.773585,0.695859,0.725806,0.247135,0.401783,0.231348,0.598217,0.723574,0.599629,0.421417,0.400371,0.218357,0.063446,0.615946,0.101891,0.090467,0.008285,0.032216,0.097752,0.380144,0.301868,0.074689,0.081943,0.273246,0.172237,0.244909,0.640094,0.356382,0.392223,0.465353,0.584158,0.194444,0.165263,0.5044,0.262437,0.151699,0.501675,0.531206,0.479604,0.226798,0.324684,0.444267,0.813456,0.414599,0.311252,0.474281,0.059285,0.059141,0.32,0.073945,0.673803,0.521739,0.836066,0.884058,0.985213,0.99175,0.458333,0.395695,0.885233,0.871227,0.927039,0.938227,0.010157,0.065543,0,0,0.353033,0.346407,0.238044,0.238044,0.237273,0.237273,0.107527,0.114286,0,0.75,0.88342,0.836066,0.884058,PM
0.040591,0.072241,0.14017,0.049474,0.417446,0.153241,0.316327,0.627943,0.164974,0.6347,0.071908,0.01334,0.139805,0.038922,0.4063,0.018664,0.5938,0.031111,0.046673,0.118421,0.360891,0.036269,0.79001,0.117647,0.036782,0.117647,1,0.153846,1,0.142857,0.037152,0.153846,1,0.153846,1,0.02108,0.037037,0.048113,0.11236,0.041007,0.490566,0.111257,0.274194,0.056082,0.740847,0.017026,0.259153,0.212921,0.884972,0.039351,0.115028,0.071571,0.043683,0.201562,0.140656,0.031625,0.02469,0.011198,0.199948,0.127041,0.448678,0.007356,0.047527,0.014832,0.016862,0.043035,0.162937,0.076387,0.039446,0.063313,0.346535,0.046296,0.033198,0.5966,0.023733,0.080881,0.082775,0.278401,0.080346,0.132894,0.0296,0.458248,0.07216,0.368412,0.255949,0,0.486379,0.478382,1,0.573284,0.295867,0.705882,0.131148,0.391304,0.664001,0.838273,0.123876,0.194563,0.061592,0.342796,0.103677,0.496771,0.016327,0.234236,1,1,0.020312,0.029411,0.009059,0.009059,0.012019,0.012019,0.634409,0.614286,1,0,0.088083,0.131148,0.391304,GradStudent
0.00724,0.013712,0.166754,0.008439,0.380018,0.024676,0.019679,0.210037,0.026902,0.665447,0.011911,0.000313,0.017626,0.001497,0.6667,0.000737,1,0.058413,0.605164,0.065789,0.091125,0.061313,0.661317,0.058824,0.101149,0.058824,1,0.076923,1,0.071429,0.102167,0.076923,1,0.076923,1,0.012567,0.641975,0.036006,0.842697,0.008921,0.792453,0.030105,0.870968,0.008704,0.551258,0.005476,0.448742,0.03079,0.718924,0.012402,0.281076,0.106107,0.17285,0.29075,0.095175,0.094334,0.002888,0.002814,0.270518,0.008491,0.142684,0.005658,0.196961,0.011409,0.197531,0.007296,0.025145,0.012126,0.004,0.017411,0.188119,0.194444,0.008243,0.7974,0.001826,0.033416,0.016052,0.427872,0.014833,0.161999,0.099137,0.567347,0.286554,0.513897,0.066808,0,0.558923,0.615222,1,0.701823,0,0.405405,0.065574,0.188406,0.642232,0.8145,0.010217,0.003082,0.020005,0.122003,0.036765,0.209427,0.03091,0.663335,1,1,0.017217,0.024697,0.003549,0.003549,0.005238,0.005238,0.731183,0.785714,1,0,0.025907,0.065574,0.188406,GradStudent
0.001475,0.002676,0.216665,0.001548,0.308029,0.008225,0.010933,0.479244,0.009891,0.828941,0.003132,0,0,0,0,0,0,0.024762,0.67428,0.006579,0.02072,0.025907,0.662517,0,0,0,0,0,0,0,0,0,0,0,0,0.003324,0.814815,0.011792,0.842697,0.002102,1,0.009519,0.83871,0.001873,0.536931,0.001369,0.463069,0.010309,0.729499,0.004054,0.270501,0.133929,0.075965,0.166772,0.14199,0.007975,0.003862,0.000359,0.142577,0.009144,0.569522,0.000566,0.081198,0.011409,0.563686,0.001464,0.008626,0.003283,0.002698,0.004749,0.524752,0.175926,0.001776,0.7091,0.000456,0.034555,0.005025,0.471164,0.003708,0.113674,0.115651,0.85121,0.125681,0.668931,0.156984,0,0.871249,0.651687,1,0.922476,0.260387,0.705882,0.032787,0.086957,0.445862,0.610996,0.002723,0.006074,0.010559,0.036483,0.020007,0.062899,0.009622,0.769515,1,1,0.005985,0.006599,0.011966,0.011966,0.012441,0.012441,0.677419,0.914286,1,0,0.002591,0.032787,0.086957,GradStudent
0.017329,0.057191,0.301461,0.026169,0.602475,0.153867,0.311224,0.612454,0.177766,0.763299,0.054966,0.001042,0.025237,0.006737,0.9,0.002456,1,0.055873,0.090765,0.138158,0.223998,0.060449,0.696715,0.352941,0.262069,0.352941,1,0.461538,1,0.285714,0.071207,0.307692,1,0.307692,1,0.01735,0.283951,0.047327,0.11236,0.017001,0.45283,0.075202,0,0.024295,0.752786,0.007016,0.247214,0.225567,0.976067,0.019079,0.023933,0.04925,0.026881,0.398933,0.295579,0.372823,0.02604,0.011138,0.460403,0.257022,1,0.010373,0.155244,0.036509,0.082204,0.020465,0.182439,0.065156,0.009954,0.072283,0.19802,0.064815,0.014937,0.6212,0.010041,0.079172,0.043691,0.022752,0.039555,0.028007,0.074645,0.74521,0.123429,0.305292,0.17292,0,0.482352,0.438055,0.872727,0.649487,0.554416,0.609137,0.163934,0.362319,0.738992,0.853384,0.020394,0.027089,0.097518,0.296462,0.167901,0.440831,0.01263,0.384967,1,0,0.026755,0.033471,0.00976,0.00976,0.008906,0.008906,0.591398,0.628571,0,0.027778,0.199482,0.163934,0.362319,GradStudent
0.26319,0.310368,0.074078,0.246206,0.233474,0.53089,0.492711,0.194238,0.420018,0.163006,0.339835,0.397499,0.64775,0.426647,0.1494,0.398576,0.4255,0.68381,0.34856,0.440789,0.034223,0.670984,0.582571,0,0,0,0,0,0,0.214286,0.01548,0.153846,0.6667,0.230769,1,0.34717,0.444444,0.489151,0.494382,0.280276,0.54717,0.542004,0.629032,0.268951,0.397485,0.25462,0.602515,0.541718,0.442672,0.47627,0.557328,0.124036,0.055388,0.429971,0.048631,0.087989,0.002269,0.040958,0.113696,0.171783,0.115749,0.082799,0.083135,0.171706,0.120145,0.264305,0.533727,0.341341,0.244767,0.402919,0.326733,0.203704,0.268409,0.7496,0.313099,0.165559,0.599246,0.86475,0.631644,0.395936,0.210063,0.388016,0.390162,0.259988,0.124483,0.034039,0.252412,0.305747,0.679894,0.416801,0.535963,0.646632,0.47541,0.550725,0.976632,0.987547,0.169716,0.142941,0.536608,0.515141,0.664348,0.672824,0.016814,0.23984,0,0,0.240689,0.243949,0.330553,0.330553,0.329664,0.329664,0.344086,0.442857,0,0.277778,0.196891,0.47541,0.550725,Director
0.024871,0.037458,0.113901,0.031744,0.453818,0.070094,0.081633,0.302354,0.075564,0.63958,0.037409,0.017405,0.296168,0.039671,0.3174,0.02333,0.5689,0.128254,0.488381,0.131579,0.075765,0.126079,0.586171,0.235294,0.121839,0.235294,1,0.307692,1,0.785714,0.421053,0.846154,1,0.846154,1,0.042646,0.641975,0.103774,0.853933,0.031993,0.849057,0.084484,0.854839,0.032173,0.653295,0.014031,0.346705,0.079863,0.589981,0.048414,0.410019,0.106536,0.124274,0.18822,0.07992,0.032211,0.003165,0.008024,0.232619,0.049967,0.371512,0.017729,0.185936,0.072447,0.451069,0.025261,0.071456,0.038102,0.016374,0.05153,0.227723,0.194444,0.024591,0.7171,0.009128,0.050503,0.04718,0.42013,0.044499,0.175728,0.094761,0.597898,0.094362,0.565417,0.606632,0.121029,0.212767,0.246717,0.571429,0.310393,0.644383,0.860116,0.344262,0.637681,0.869709,0.928624,0.060111,0.046971,0.229963,0.616586,0.368591,0.759281,0.01242,0.121596,1,0,0.065856,0.066349,0.016897,0.016897,0.019444,0.019444,0.451613,0.357143,0,0.236111,0.580311,0.344262,0.637681,Research
0.001341,0.00301,0.258275,0.002478,0.717024,0.010103,0.01312,0.448885,0.010682,0.632748,0.003551,0,0,0,0,0,0,0.012698,0.293942,0.032895,0.263684,0.011226,0.500075,0.117647,0.901149,0.117647,1,0.153846,1,0,0,0,0,0,0,0.003405,0.925926,0.015881,0.921348,0.001821,0.924528,0.012494,0.903226,0.002424,0.937599,0.000171,0.062401,0.011409,0.604824,0.007155,0.395176,0.030393,0.09766,0.278636,0.079211,0.12574,0.001644,0.000719,0.307501,0.004246,0.201165,0.002075,0.321365,0.007416,0.318278,0.001601,0.012586,0.004475,0.000651,0.003342,0.138614,0.074074,0.001867,0.8039,0.000913,0.074426,0.006421,0.471796,0.004944,0.124657,0.090011,0.284043,0.227372,0.435228,0.094534,0,0.719654,0.658679,1,0.956215,0.454673,0.573134,0.04918,0.144928,0.385972,0.594171,0.002551,0.011853,0.016324,0.082964,0.029968,0.140262,0.030909,0.867638,1,1,0.005771,0.007595,0.001088,0.001088,0.002681,0.002681,0.741935,0.857143,1,0,0.007772,0.04918,0.144928,GradStudent
