@relation 7_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0,0.003802,0.688505,0.001594,1,0,0,0,0,0,0,0,0,0.115865,0,1,0,0.267936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978495,0,0,1,0,0,0,0,0,0,0.940827,0,0.059173,0,1,0,0,0.257121,0,0.006271,0,0,0,0.106796,0,0,0.001606,0.239583,0,0,0,0,0.002211,0,0.680851,0,0,0,0,0,0.020137,0.038911,1,0,0,0.434075,0,0.318412,0.084147,0,0.89076,1,1,1,0.088729,0.399564,0,0.041667,0,0.101846,0,0,0.004208,0.040904,0.007275,0.070982,1,0.653593,1,0.5,0.000143,0,0,0,0.000747,0.000747,0.738095,0.572,0,0,0,0.041667,Research
0.489682,0.197425,0.106119,0.37561,0.215738,0.65742,0.412548,0.102393,0.556175,0.43653,0.588466,0.255138,0.456786,0.169466,0.0843,0.277045,0.2394,0.329374,0.140378,0.574468,0.126291,0.380165,0.566325,0.285714,0.022809,0.285714,1,0.083333,0.1667,0.833333,0.190217,0.75,0.9,0.75,0.9,0.71,0.408602,0.59596,0.9,0.761905,0.87,0.543732,0.7367,0.383126,0.415103,0.634964,0.59869,0.433841,0.40131,0.631697,0.077015,0,0.638529,0.322255,0.066056,0.033303,0.348145,0.637497,0.330594,0.347153,0.55075,0.593159,0.187149,0.210478,0.482263,0.686509,0.578916,0.609937,0.52073,0.731183,0.361702,0.220155,0.366005,0.324619,0.111558,0.485393,0.379575,0.525292,0.147837,0,0.479454,0.344036,0.708854,1,0.581453,0.325263,0.098177,0.161935,0.124709,0.155967,0.51614,0.629902,0.758621,0.71875,0.988257,0.985472,0.66379,0.410404,0.822138,0.837611,0.858947,0.911916,0.107657,0.237807,0,0.5,0.551366,0.380854,0.311749,0.311749,0.302467,0.302467,0.134921,0.06,0.555556,0.637363,0.758621,0.71875,PM
0.098216,0.141631,0.379796,0.169338,0.484906,0.313685,0.439163,0.466065,0.368127,0.78725,0.195175,0.000194,0.001753,0.001527,1,0.00088,1,0.038877,0.021011,0.212766,0.569707,0.051653,0.780381,0.047619,0.019208,0.047619,1,0.083333,1,0,0,0,0,0,0,0.18,0.086022,0.161616,0.82,0.253968,0.62,0.122077,0.8246,0.051176,0.276525,0.367452,0.916462,0.081967,0.083538,0.261077,0.007097,0,0.237241,0.74718,0.052584,0.259071,0.059965,0.547494,0.197851,0.462083,0.014122,0.075908,0.02008,0.020221,0.0912,0.306278,0.179818,0.081382,0.133776,0.483871,0.042553,0.087899,0.728472,0.039216,0.067124,0.157678,0.148474,0.175097,0.087778,0,0.20793,0.355253,0.069562,0.275904,0.860705,0.218283,0.227968,0.094238,0.240343,0.056824,0.453848,0.558173,0.189655,0.375,0.87774,0.918615,0.235267,0.409674,0.06997,0.179472,0.176869,0.406916,0.106083,0.482747,0,0.5,0.139628,0.216131,0.118096,0.118096,0.114791,0.114791,0.507937,0.34,0.061728,0.091575,0.189655,0.375,GradStudent
0.00962,0.025751,0.704954,0.009059,0.264873,0.005317,0.009506,0.557866,0,0.377828,0.008337,0,0,0,0,0,0,0.044276,1,0,0.019793,0.047521,0.430747,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.806452,0.818182,1,0.761905,0.92,0.010056,0.6935,0.00876,0.48321,0.002114,0.515766,0.009368,0.484234,0.378282,0.039695,0,0.196679,0.153786,0.011758,0.008197,0.004314,0.402144,0.012642,0.808187,0.004413,0.241824,0.012048,0.738358,0.012506,0.007226,0.010796,0.008281,0,0.505376,0.191489,0.01063,0.89941,0,0,0.013858,0.778009,0.011673,0.200756,0,0,0.286162,0,0.461334,0.017171,0,1,0.64927,1,0.826663,0.13046,0.236567,0,0.114583,0.016347,0.406181,0.000784,0.010742,0.004206,0.085733,0.007888,0.140424,0,0.736944,0,0.5,0,0.005376,0.004884,0.004884,0.009661,0.009661,0.650794,0.504,0,0.014652,0,0.114583,GradStudent
0.059891,0.144492,0.635503,0.13101,0.615132,0.254739,0.363118,0.477834,0.272112,0.67751,0.14594,0.00252,0.036915,0.015267,0.7692,0.008795,0.7692,0.078834,0.079781,0.255319,0.315404,0.090909,0.553148,0.190476,0.12485,0.190476,1,0.333333,1,0.083333,0.048913,0.083333,1,0.083333,1,0.46,0.172043,0.292929,0.79,0,0.48,0.076239,0.8446,0.027663,0.244994,0.3125,1,0.039227,0,0.223193,0.020997,0,0.289908,0.597456,0.082541,0.073177,0.048749,0.729743,0.309102,0.997114,0.035305,0.310831,0.046586,0.12163,0.056831,0.253684,0.137097,0.024557,0.1089,0.236559,0.06383,0.047629,0.647292,0.041394,0.116285,0.08839,0,0.097276,0.045359,0,0.533932,0.335747,0.374627,0.063249,0.596604,0.058802,0.455042,0.338751,0.746781,0.363766,0.498398,0.666425,0.155172,0.385417,0.850433,0.899355,0.042324,0.172228,0.100129,0.378713,0.160025,0.565768,0.130303,0.410947,0,0.5,0.063925,0.110479,0.065659,0.065659,0.064517,0.064517,0.492063,0.236,0.037037,0.205128,0.155172,0.385417,GradStudent
0.626843,0.572246,0.240408,0.584669,0.262347,0.74711,0.587452,0.17654,0.418327,0.129744,0.713221,0,0,0,0,0,0,0.684665,0.273904,0.723404,0.045611,0.679752,0.322987,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.473118,0.555556,0.82,0.666667,0.81,0.544434,0.5762,0.789304,0.668138,0.612923,0.37326,0.703747,0.62674,0.373876,0.05786,0,0.370519,0.100371,0.054151,0.016427,0.173425,0.248068,0.23641,0.171084,0.219771,0.184818,0.159839,0.149203,0.636637,0.805495,0.724061,0.332667,0.593145,0.311828,0.361702,0.626533,0.813619,0.836601,0.224533,0.905243,0.840818,1,0.280974,0,0.398672,0.152499,0.306614,0.112249,0.463419,0.164422,0.24369,0.195283,0.411879,0.203073,0.419355,0.848145,0.5,0.614583,0.989115,0.991831,0.321571,0.292741,0.606364,0.683302,0.703149,0.806344,0.221308,0.442619,0,0.5,0.526081,0.502301,0.61723,0.61723,0.618251,0.618251,0.277778,0.136,0.407407,0.388278,0.5,0.614583,Director
0.103491,0.143062,0.364012,0.173519,0.471517,0.216597,0.195817,0.240486,0.212351,0.587586,0.157317,0.037611,0.318655,0.096183,0.3247,0.054529,0.3196,0.280778,0.38718,0.510638,0.136188,0.320248,0.545242,0.238095,0.090036,0.238095,1,0.416667,1,0.833333,0.554348,0.833333,1,0.75,0.9,0.8,0.870968,0.858586,0.94,0.888889,0.93,0.123948,0.7946,0.063163,0.323822,0.212862,0.634316,0.135831,0.365684,0.319839,0.094667,0,0.230008,0.1627,0.042141,0.015993,0.078516,0.680379,0.151707,0.520861,0.132392,0.674767,0.174297,0.644914,0.101922,0.223795,0.153724,0.053969,0.212272,0.301075,0.531915,0.085446,0.672064,0.076253,0.124084,0.160674,0.372063,0.245136,0.223856,0,0.375963,0.198163,0.185734,0.253057,0.302153,0.034836,0.370629,0.265018,0.632778,0.276734,0.503908,0.236567,0.344828,0.53125,0.923733,0.945632,0.100352,0.206072,0.390236,0.601133,0.501575,0.742456,0.137814,0.289917,0,0.5,0.134282,0.158658,0.063666,0.063666,0.05808,0.05808,0.333333,0.18,0.197531,0.399267,0.344828,0.53125,Research
0.211327,0.095851,0.119475,0.145645,0.193887,0.449607,0.180608,0,0.452191,0.608712,0.324343,0.027142,0.112608,0.053435,0.25,0.036939,0.3,0.516199,0.346376,0.340426,0.004518,0.586777,0.541435,0,0,0,0,0,0,0.166667,0.054348,0.166667,1,0.166667,1,0.94,0.612903,0.767677,1,0.984127,1,0.274088,0.8605,0.087598,0.219927,0.338466,0.27457,0.482436,0.72543,0.800641,0.063156,0,0.459657,0.088913,0.093045,0.005117,0.053926,0.228871,0.204172,0.299659,0.09797,0.244524,0.158233,0.26777,0.197644,0.444074,0.30212,0.199029,0.3267,0.548387,0.319149,0.073794,0.28429,0.533769,0.425195,0.333333,0.380054,0.474708,0.209576,0,0.324311,0.197448,0.113117,0.126471,0.064621,0.032366,0.241953,0.416417,0.431696,0.507304,0.400841,0.666425,0.568966,0.4375,0.967495,0.971082,0.251062,0.211184,0.780153,0.61141,0.785328,0.72951,0.152305,0.409405,0,0.5,0.271659,0.207346,0.155957,0.155957,0.152092,0.152092,0.246032,0.224,0.518519,0.307692,0.568966,0.4375,Director
0.283786,0.236052,0.219038,0.270383,0.267905,0.357605,0.39924,0.334249,0.296016,0.422322,0.33111,0.259984,0.803155,0.235115,0.1148,0.298153,0.2528,0.421166,0.354446,0.638298,0.098967,0.394628,0.238067,0.190476,0.026411,0.190476,1,0.333333,1,0.25,0.103261,0.25,1,0.25,1,0.81,0.505376,0.686869,0.97,0.873016,0.95,0.378391,0.8846,0.09728,0.181933,0.332428,0.547912,0.261124,0.452088,0.494833,0.029669,0,0.38501,0.40232,0.052699,0.040656,0.040121,0.126652,0.165613,0.307006,0.073257,0.136214,0.080321,0.157475,0.263516,0.349747,0.306215,0.238721,0.407407,0.494624,0.659574,0.132461,0.379946,0.150327,0.089104,0.274532,0.403228,0.365759,0.200756,0,0.879543,0.34872,0.433277,0.30195,0.486444,0.169364,0.208361,0.19133,0.349843,0.192603,0.62047,0.593821,0.637931,0.697917,0.964149,0.968882,0.195944,0.29803,0.8783,0.871725,0.84489,0.929012,0.117556,0.30498,0,0.5,0.242901,0.232024,0.156613,0.156613,0.147381,0.147381,0.190476,0.064,0.654321,0.809524,0.637931,0.697917,Operations
0.013344,0.030043,0.593006,0.027178,0.572818,0.014101,0.019011,0.469204,0.016335,0.794728,0.014417,0.007367,0.484062,0.019847,0.3421,0.01847,0.5526,0.041037,0.58648,0.12766,0.334122,0.041322,0.337628,0,0,0,0,0,0,0,0,0,0,0,0,0.98,1,1,1,1,1,0.016604,0.8256,0.006916,0.274949,0.017512,0.990377,0.001756,0.009623,0.271728,0.038998,0,0.226278,0.460559,0.039626,0.022616,0.00604,0.405884,0.003161,0.093151,0.012357,0.488449,0.005622,0.223652,0.018652,0.021927,0.020548,0.001428,0.012714,0.064516,0.468085,0.010834,0.660912,0.004357,0.05507,0.011985,0.296148,0.007782,0.070139,0,0.426082,1,0.112102,0.248269,0.079009,0.060037,0.485662,0.504108,1,0.705453,0.709884,0.622651,0.068966,0.21875,0.360456,0.479487,0.009258,0.013274,0.03048,0.211669,0.049875,0.317334,0.219179,0.615515,0,0.5,0.008244,0.008453,0.000989,0.000989,0.001062,0.001062,0.626984,0.436,0,0.10989,0.068966,0.21875,GradStudent
