pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
ahmed12,0,0,0.0,0,0.0,44,10,0.2273,35,0.7955,44,0,0.0,0,0.0,0,0.0,4,0.0909,2,0.5,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,98,0,0,100,0,0,0.0,0,0.0,40,0.9091,4,0.0909,0.0,20.4884,7,0.0,643.5,0.0,280667.25,0,0.0,4,0.0909,0,0.0,4,0.0909,0.0,0.4444,0.4444,0,21,0.0,0.48,0,0.0,0,0.0,10,0.2273,11,0.25,7,0.0,46.0,0.0,887.6,0.013359969044346305,0.0,47.5,66.77777777777777,1.0,1.0,0.021267069621670024,0.24444444444444444,0.021052631578947368,0.0430622009569378,19.272029796004794,3.7967928394519688,0.0013409801847398758,0.0013423753657665052,9300277.40181787,34818186895921.336,0.008734290922766204,0.06151061152322908,1.0,0.1472443103921031,4.0,3,0.0021587508574708162,0.0013747690159328927,0.0001837086034422154,0.00018370860330601944,0.00028191367358470094,0.00028191367375242913,2.34375,2.2666666666666666,1.0,1,2.0,9,Research
apoetter,3156,138,0.0437,539,0.1708,2888,225,0.0779,1427,0.4941,6044,1316,0.417,111,0.0843,315,0.2394,309,0.107,29,0.0939,186,0.6019,6,0.0019,6,1.0,1,0.1667,10,0.0035,9,0.9,9,0.9,71,45,59,90,85,87,2325,0.7367,831,0.2633,2143,0.742,745,0.258,3.5701,2.5009,7,728.7997465145753,714.5148891966759,185521.81477813452,913000.6244320512,807,0.2557,527,0.1825,624,0.1977,235,0.0814,23.9091,21.8788,45.7879,2136,959,0.68,0.33,1077,0.3413,149,0.0472,1306,0.4522,136,0.0471,7,37.1336405529954,41.074817518248175,1398.714859096602,2469.7298037988144,0.0920519292551333,0.09828294139604332,18.47826086956522,29.97297297297297,0.3086680761099366,0.30438184663536777,0.027228432215534542,0.2542579075425791,0.4842105263157895,0.354066985645933,36.7098321854412,4.0675963320723465,0.227620108238694,0.19402152802429007,1232270092.2097206,641067604783108.2,0.7110861885753093,0.7120840822348291,0.2086156542056075,0.10485671851352732,3.0,3,0.047305734124200464,0.03322282613538785,0.04056392757486825,0.04056392751512401,0.039148704620898665,0.03914870457044517,1.5520833333333333,1.6571428571428573,46.0,175,46.0,74,PM
arog3632,633,99,0.1564,243,0.3839,1401,239,0.1706,955,0.6817,2034,1,0.0016,1,1.0,1,1.0,40,0.0286,12,0.3,27,0.675,1,0.0016,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,18,15,16,82,53,62,522,0.8246,111,0.1754,1257,0.8972,144,0.1028,1.4755,1.1383,7,270.78041074249603,1177.8029978586726,147684.62002700355,6194148.320933192,139,0.2196,317,0.2263,16,0.0253,27,0.0193,4.5214,10.0071,14.5286,285,259,0.45,0.18,430,0.6793,18,0.0284,431,0.3076,46,0.0328,7,16.104166666666668,41.68838526912182,137.25998263888894,788.9283920102083,0.13623989609006848,0.06595744680851064,23.23076923076923,27.0,0.4,0.22267206477732795,0.02635960044395116,0.2512019230769231,0.1368421052631579,0.19617224880382772,34.759748479440844,4.047106650704731,0.08154104735686207,0.1936789694304275,107627415.44601075,140260115770754.08,0.14859456583320585,0.32140021749283426,0.2072192513368984,0.12982723068607235,3.0,3,0.013583051554299804,0.01944820794752564,0.015480453843193628,0.01548045379546232,0.014972758805351746,0.014972758766231702,2.0416666666666665,1.9904761904761905,6.0,26,13.0,41,GradStudent
awais,62,18,0.2903,13,0.2097,67,13,0.194,31,0.4627,129,0,0.0,0,0.0,0,0.0,45,0.6716,2,0.0444,25,0.5556,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,82,81,100,85,92,43,0.6935,19,0.3065,47,0.7015,20,0.2985,2.1379,1.7736,7,224.4838709677419,530.8358208955224,33021.73361082205,325719.4805079083,10,0.1613,24,0.3582,5,0.0806,17,0.2537,0.62,0.67,1.29,29,17,0.47,0.25,52,0.8387,0,0.0,47,0.7015,4,0.0597,7,0.0,37.90909090909091,0.0,1219.3553719008266,0.0027620093077999905,0.0,51.5,51.375,1.0,0.8571428571428571,0.0218491260349586,0.2375,0.021052631578947368,0.07655502392344497,19.5604760121032,3.8900619512684416,0.0016083289728245455,0.006385791721252496,9297252.65288196,68930640070835.86,0.0092396612489102,0.11523289434429065,0.11313868613138685,0.15574162679425838,3.0,3,0.002147027650646081,0.0018242857553687907,0.0008162809645760194,0.0008162809679390344,0.0014302753166546569,0.0014302753188957643,2.2291666666666665,2.185714285714285,1.0,5,2.0,16,GradStudent
bdeird7,386,101,0.2617,188,0.487,1146,199,0.1736,714,0.623,1532,13,0.0337,10,0.7692,10,0.7692,77,0.0672,14,0.1818,46,0.5974,4,0.0104,4,1.0,4,1.0,1,0.0009,1,1.0,1,1.0,46,23,29,79,37,48,326,0.8446,60,0.1554,1075,0.938,71,0.062,1.2614,1.4092,7,330.8937823834197,1014.5619546247818,231821.89804424281,1845742.3473832645,113,0.2927,493,0.4302,40,0.1036,60,0.0524,2.8175,8.365,11.1825,86,214,0.22,0.19,233,0.6036,19,0.0492,246,0.2147,26,0.0227,7,41.352941176470594,40.621409921671024,739.2166089965401,295.30575571447065,0.0944494233058056,0.017767823814856292,31.54545454545455,37.73809523809524,0.8,0.4756410256410256,0.02698097131496734,0.2558139534883721,0.11578947368421053,0.20095693779904306,34.27792955329605,4.041203955714603,0.01576873899648615,0.08220119067558088,152721603.15488368,291871877948771.94,0.1347037567520934,0.444292904278734,0.2286995515695067,0.1225075769660233,3.0,3,0.00738271206478522,0.010613370086285628,0.008688366408994242,0.008688366387939463,0.008496618465617901,0.008496618448527933,2.020833333333333,1.8666666666666667,4.0,57,11.0,42,GradStudent
ccallsen,4040,400,0.099,839,0.2077,3276,317,0.0968,1081,0.33,7316,0,0.0,0,0.0,0,0.0,638,0.1947,36,0.0564,331,0.5188,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,58,51,55,82,79,81,2328,0.5762,1712,0.4238,2070,0.6319,1206,0.3681,2.113,2.1276,7,422.9,472.59829059829065,152085.56970297114,518236.4723291886,402,0.0995,378,0.1154,249,0.0616,201,0.0614,31.5625,25.5938,57.1563,1165,1090,0.29,0.33,3065,0.7587,384,0.095,2427,0.7408,258,0.0788,7,30.877073170731713,30.597590361445786,605.0131816775715,409.04529539846163,0.07337465620282829,0.04968271743187756,23.806451612903228,31.4375,0.535483870967742,0.343204653622422,0.025878507218741492,0.2635561160151324,0.3263157894736842,0.3062200956937799,36.72497269499891,4.069545136457687,0.11096138532875513,0.1387806312284665,909644808.4198613,523647020760373.5,0.5826041464912954,0.6304103444208412,0.3094086174511924,0.12573635727314064,3.0,3,0.04523479952754799,0.04337855190707561,0.08013220143265982,0.08013220129578832,0.0798272569699312,0.07982725686309984,1.7395833333333333,1.7476190476190476,34.0,107,31.0,64,Director
cheadley,667,100,0.1499,249,0.3733,981,111,0.1131,564,0.5749,1648,194,0.2909,63,0.3247,62,0.3196,264,0.2691,26,0.0985,157,0.5947,5,0.0075,5,1.0,5,1.0,10,0.0102,10,1.0,9,0.9,80,88,85,94,93,93,530,0.7946,137,0.2054,745,0.7594,236,0.2406,1.8076,2.8449,7,262.5247376311844,540.5545361875637,118356.1444405233,508087.1236822771,182,0.2729,244,0.2487,150,0.2249,219,0.2232,5.053,7.4318,12.4848,189,401,0.28,0.41,418,0.6267,35,0.0525,439,0.4475,64,0.0652,7,29.11827956989247,33.095477386934675,366.4913862874322,735.8954066816485,0.0478565101186644,0.010526315789473684,28.45454545454545,34.5,0.7099567099567099,0.4039133473095737,0.027057818285388783,0.2375,0.23157894736842105,0.2679425837320574,35.571302690797154,4.055386642804041,0.035549832262723104,0.09809054624373588,586490316.915859,461121466885306.7,0.4163713585165469,0.5809845470600058,0.2353608109910631,0.11016906179325173,3.0,3,0.013145140092524613,0.014642176496438371,0.008430145956539317,0.008430145956169238,0.007667429637428633,0.007667429635010223,1.8125,1.8,17.0,110,22.0,56,Research
cthomp,1362,67,0.0492,209,0.1535,1989,103,0.0518,1166,0.5862,3351,140,0.1028,35,0.25,42,0.3,482,0.2423,18,0.0373,286,0.5934,0,0.0,0,0.0,0,0.0,2,0.001,2,1.0,2,1.0,94,64,76,100,99,100,1172,0.8605,190,0.1395,1161,0.5837,828,0.4163,4.5249,2.2308,7,524.640234948605,460.10558069381597,261320.54604634648,253677.1904615665,125,0.0918,327,0.1644,111,0.0815,199,0.1001,9.7986,14.3094,24.1079,697,608,0.51,0.31,361,0.2651,245,0.1799,900,0.4525,123,0.0618,7,25.117857142857147,33.056338028169016,223.2039668367344,442.05879785756815,0.010270386416092028,0.009779768570362076,23.742857142857147,41.14893617021277,0.5511363636363636,0.5939393939393941,0.025620280474649402,0.2558139534883721,0.3684210526315789,0.2248803827751196,36.343486881224216,4.063186273784174,0.08692549599296849,0.1004903628935225,1169494544.6612134,468941370344079.8,0.6503747204963269,0.5709690050972246,0.24821188301111816,0.12235033040192035,3.0,3,0.024396777567621587,0.018713635121945658,0.02038443856756957,0.02038443861955496,0.019777883526874752,0.01977788356757814,1.6979166666666667,1.8523809523809525,43.0,85,35.0,47,Director
deannac,1829,165,0.0902,388,0.2121,1591,218,0.137,774,0.4865,3420,1341,0.7332,154,0.1148,339,0.2528,394,0.2476,32,0.0812,193,0.4898,4,0.0022,4,1.0,4,1.0,3,0.0019,3,1.0,3,1.0,81,54,68,97,92,95,1618,0.8846,211,0.1154,1141,0.7172,450,0.2828,2.7966,1.5782,7,439.4406779661017,801.8082966687617,148006.92663398507,1085017.459792887,93,0.0508,266,0.1672,83,0.0454,102,0.0641,13.0643,11.3643,24.4286,836,754,0.46,0.47,648,0.3543,69,0.0377,743,0.467,95,0.0597,7,68.12048192771084,41.33103448275862,854.9445202496738,849.3869678953613,0.07701803152994358,0.051175811870100785,22.512820512820515,31.26388888888889,0.4864864864864865,0.3345755693581781,0.02868357487922705,0.252720677146312,0.4105263157894737,0.3444976076555024,36.28444886455944,4.062511793588838,0.06813630413316893,0.14126341634617387,1316243560.9436836,667026367763529.5,0.6994939340152774,0.7253105590108203,0.21739491840070926,0.11170470753500204,3.0,3,0.02204146187395581,0.02077728981142491,0.020469399963814524,0.020469399945498512,0.01917094261245611,0.01917094259654534,1.625,1.661904761904762,54.0,222,39.0,72,Operations
example,86,21,0.2442,39,0.4535,105,18,0.1714,72,0.6857,191,38,0.4419,13,0.3421,21,0.5526,42,0.4,8,0.1905,22,0.5238,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,98,100,99,100,100,100,71,0.8256,15,0.1744,98,0.9333,7,0.0667,1.5357,1.76,7,258.2674418604651,865.3047619047618,111291.2191725257,663018.5166439906,14,0.1628,9,0.0857,14,0.1628,9,0.0857,0.9247,1.129,2.0538,5,40,0.06,0.38,53,0.6163,2,0.0233,42,0.4,3,0.0286,7,33.0,76.95652173913044,221.2,724.780718336484,0.0125470316208733,0.01814109742441209,32.666666666666664,45.0,1.0,0.7572463768115942,0.029930686830497794,0.25394896719319565,0.06315789473684211,0.12440191387559807,25.63227123156577,3.9125277717926363,0.004496975467230407,0.007574516645975536,48582389.9209327,164760959005528.34,0.04386551235542793,0.2520961554152863,0.3075196408529742,0.14336241452487622,3.0,3,0.002822212948566096,0.002081621307236037,0.0003117615282534832,0.0003117615288474436,0.00032260669776158546,0.0003226066983030374,2.1979166666666665,2.1047619047619053,1.0,31,6.0,26,GradStudent
