@relation 1_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0.066148,0.142857,0.948043,0.07767,0.825348,0.046196,0,0,0,0,0,0,0.074074,0.114245,0.142857,0.5,0.055556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.094595,0,0,0,0,0,0.080508,0.950021,0.021739,0.049979,0,0.370367,0,0,0.598107,0,0.027758,0,0,0.04,0.250088,0,0,0,0,0,0.062937,0.041819,0,0.211268,0,1,0,0,0,0,0.075758,0.261907,0,0,0,0.220145,0.7,0.231643,0.158579,0.000605,0,0,0.583333,0,0.833333,0,0.597902,0,0.095238,0,0.794155,0,0.03275,0,0.021177,0,0.03733,0,1,0,1,0,0.073642,0,0.896739,0,0.02,0,0.095238,GradStudent
0.024221,0.1,0.803577,0.081081,0.557202,0.050584,0.07619,0.630983,0.053398,0.712418,0.054348,0,0,0,0,0,0,0.148148,0.282371,0.428571,0.75,0.222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.76,0.79,1,1,1,0.015038,0.5714,0.078947,0.554678,0.038136,0.567619,0.152174,0.432381,0.259256,0.358967,0,0.12672,0.367859,0.012796,0.021655,0,0,0,0,0,0,0,0,0.042387,0.083739,0.090072,0,0.056338,0,0.338028,0.065934,0.8571,0.125,0.589521,0.106061,0.452975,0.111111,0.147,0,0.211339,0.750611,0.012128,1,0.301109,0,1,0.435714,0,0.571429,0.678457,0.76,0.058824,0.238095,0.380631,0.859507,0,0.165616,0.048224,0.072508,0.035888,0.128731,0,0.456255,1,1,0.081974,0.120204,0.677778,0.842391,0.058824,0.04,0.058824,0.238095,Research
0.110727,0.3,0.527393,0.081081,0.121945,0.027237,0.057143,0.776899,0,0,0.105978,0,0,0,0,0,0,0.222222,0.654626,0.285714,0.3333,0.055556,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.73,0.74,0.88,0.878378,0.88,0.067669,0.5625,0.368421,0.566196,0.021186,0.522785,0.108696,0.477215,0.592589,0.333333,0,0.338845,0.229206,0.08651,0.002263,0.169492,0.468727,0.026667,0.318166,0.148148,0.449964,0.026316,0.201552,0.155017,0.026881,0.140256,0.026201,0.014085,0.228916,0.126761,0.307692,0.875,0.125,0.129125,0.151515,1,0,0,0,0.32204,0.359413,0.11111,0,0.077219,0,0,0.504762,0,0.488889,0,0.830097,0,0.238095,0,0.903524,0,0.111313,0,0.108215,0,0.18718,0,0.392757,0,0.75,0,0.132917,0,0.804348,0,0.05,0,0.238095,GradStudent
0.034602,0.08,0.449994,0.081081,0.390016,0.003891,0.028571,1,0.009709,0.755561,0.029891,0,0,0,0,0,0,0.074074,0.480019,0.142857,0.5,0.055556,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.93,1,0.72973,0.93,0.033835,0.9,0.026316,0.129416,0.016949,1,0,0,0.123456,0.333333,0,0.081858,0.175563,0.001534,0.000725,0.033898,0.299985,0,0,0.037037,0.359971,0,0,0.060554,0.000533,0.046644,0.008734,0,0.240964,0,0.076923,0.7,0,0,0.015152,0.219998,0,0,0,0.213855,0.136919,0.023524,0,0.007092,0,0,0.488095,0,0.666667,0,0.619565,0,0.095238,0,0.728772,0,0.047459,0,0.013801,0,0.025363,0,0.331482,0,1,0,0.083302,0,0.913043,0,0.02,0,0.095238,GradStudent
0.411765,0.72,0.340308,0.837838,0.338664,0.447471,0.247619,0.218464,0.276699,0.383769,0.63587,0.345588,0.395,0.4375,0.4468,0.323529,0.234,1,0.272291,1,0.2593,1,0.6667,0,0,0,0,0,0,1,0.520124,1,1,1,1,0.92,0.88,0.9,0.97,0.932432,0.96,0.334586,0.7479,0.789474,0.326259,0.305085,0.594078,1,0.405922,0.293822,0.471267,0,0.274447,0.268954,0.069086,0.011245,1,0.743663,0.52,0.573504,1,0.816775,1,0.707982,0.411764,0.437365,0.630515,0.113537,0.56338,0.26506,0.478873,1,0.7647,0.25,0.069307,1,0.610054,0.666667,0.126,0,0.295712,0.259529,0.089794,0.182024,0.783923,0.022422,0.364706,0.395238,0.4,0.381609,0.741218,0.95,0.294118,0.714286,0.765142,0.992532,0.234665,0.799047,0.204211,0.668255,0.214904,0.823387,0.153846,0.320533,1,0.75,0.436797,0.7523,0.611111,0.619565,0.235294,0.68,0.294118,0.714286,Research
0,0,0,0,0,0.058366,0.095238,0.698486,0.063107,0.742728,0.040761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,1,0,0,0,0,0,0.059322,0.778979,0.086957,0.221021,0,0.333333,0,0,0.586912,0,0.013064,0,0,0,0,0,0,0,0,0,0.071258,0.047609,0,0.042254,0,0.225352,0,0,0,0,0.045455,0.173688,0,0,0,0.157246,1,0.008005,0.011157,0.007666,0,0,0.722222,0,0.333333,0,0.74026,0,0.071429,0,0.578253,0,0.018179,0,0.014496,0,0.030491,0,0.192685,0,0.75,0,0.046885,0,0.847826,0,0.02,0,0.071429,PM
0,0,0,0,0,0.101167,0.009524,0,0.135922,1,0.070652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,1,0,0,0,0,0,0.122881,1,0,0,0,0.333333,0,0,0.067366,0,0.000047,0,0,0.026667,0.116731,0,0,0,0,0,0.150764,0.102939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522844,0.572399,0.132808,0.048586,0.19123,0,0.529412,0.569048,0,0.711111,0.494145,0.9,0.058824,0.238095,0.463184,0.910506,0,0.080559,0.032427,0.127419,0.014365,0.212288,0,0.493008,1,0.75,0.086648,0.129034,0.777778,0.782609,0.058824,0.06,0.058824,0.238095,Operations
0.079585,0.2,0.489144,0.216216,0.452158,0.178988,0.114286,0.263603,0.179612,0.731117,0.1875,0.139706,0.8261,0.1875,0.4737,0.176471,0.3158,0.481481,0.312012,0.857143,0.4615,0.277778,0.3846,0,0,0,0,0,0,0,0,0,0,0,0,1,0.98,0.99,1,1,1,0.06391,0.7391,0.157895,0.337647,0.190678,0.916002,0.086957,0.083998,0.283956,0.75,0,0.127947,0.424858,0.010957,0.012996,0.033898,0.130493,0.066667,0.175009,0.037037,0.156587,0.131579,0.221729,0.085705,0.179215,0.191035,0,0.352113,0,0.704225,0.120879,0.4783,0.25,0.358911,0.287879,0.417996,0,0,0,0.187478,0.497188,0.010217,0.272495,0.085992,0,1,0.505102,0,0.606061,0.678457,0.724576,0.058824,0.333333,0.380631,0.930945,0,0.158124,0.048224,0.19398,0.035888,0.309857,0,0.33775,1,0.75,0.081974,0.173356,0.677778,0.744565,0.058824,0.07,0.058824,0.333333,Research
0.076125,0.32,0.818202,0.108108,0.236349,0.019455,0.028571,0.515069,0.014563,0.456857,0.07337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.44,0.68,0.95,0.702703,0.9,0.018797,0.2273,0.447368,1,0.008475,0.299979,0.130435,0.700021,0.611111,0.5,0,0.756079,0.127539,0.097858,0.000701,0,0,0,0,0,0,0,0,0.133218,0.028268,0.12385,0,0,0,0,0.186813,0.7727,0.25,0.375,0.090909,0.733363,0,0,0,0.330599,0.278729,0.067991,0.053052,0.623371,0,0,0.433584,0,0.566176,0,0.971591,0,0.452381,0,0.888291,0,0.130377,0,0.337482,0,0.458172,0,0.55439,0,0.75,0,0.121123,0,0.771739,0,0.18,0,0.452381,Outreach
0,0,0,0,0,0.081712,0.133333,0.72726,0.058252,0.462234,0.057065,0,0,0,0,0,0,0.111111,0.144006,0.285714,0.6667,0.166667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0.891892,0,0,0,0,0,0.067797,0.664007,0.173913,0.335993,0,0.4,0,0,0.368494,0,0.005571,0,0,0.106667,0.560028,0,0,0.184211,0.620843,0,0.081426,0.054685,0,0.169014,0,0.676056,0,0,0,0,0.151515,0.439996,0.222222,0.2,0,0.329533,0.633252,0.198335,0.346409,0.233944,0,0.764706,0.571429,1,0.607143,0.710438,0.834146,0.117647,0.190476,0.605287,0.919864,0.045754,0.064855,0.104164,0.075563,0.099026,0.140357,0.2,0.255649,1,0.75,0.124168,0.135134,0.644444,0.782609,0.058824,0.06,0.117647,0.190476,Research
