@relation 20_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0.008217,0.014388,0.387455,0.012009,0.85096,0.003266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,1,0.333333,1,0.333333,1,0,0.88,0,0,1,0,0,0,0,0,0.00954,0.783351,0.003578,0.216649,0,1,0,0,0.156805,0,0.018609,0,0,0.002915,0.148421,0,0,0.007407,0.148421,0,0.00936,0.00372,0,0.001656,0,0.147727,0,0,0,0,0.00181,0.143513,0.036232,1,0,0,0.354558,0,0.199145,0,0,0,0.939806,0,1,0,0.738288,0,0.023256,0,0.613558,0,0.000328,0,0.002596,0,0.004399,0,0.930429,0,1,0,0.010682,0,1,0,0.007463,0,0.023256,Research
0.374818,0.25122,0.1,0.414523,0.310349,0.963338,0.615108,0.035065,0.863537,0.427686,0.641709,0.223202,0.490031,0.214085,0.158,0.278937,0.3056,0.506849,0.167763,0.72973,0.218862,0.563877,0.691948,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.46,0.55,0.89,0.821918,0.88,0.340845,0.5874,0.436793,0.476059,1,0.715867,0.663685,0.284133,0.297253,0.120768,0,0.432289,0.395122,0.040507,0.346182,0.182313,0.19514,0.787172,0.419853,0.276316,0.152842,0.777778,0.163382,0.374817,0.963332,0.641684,0.762911,1,0.617647,0.318182,0.2617,0.532,0.36,0.168056,0.679638,0.564638,0.637681,0.18432,0,0,0.361781,0,0.458315,0.300163,0.525812,0.520129,0.566924,0.403162,0.351504,0.906001,0.873805,0.851852,0.686047,0.981784,0.997509,0.381801,0.3221,0.746203,0.913035,0.869644,0.906063,0.378632,0.51514,0.75,0.5,0.428031,0.35583,0.518135,0.615561,0.5,0.858209,0.851852,0.686047,PM
0.041485,0.087805,0.3158,0.08472,0.573095,0.094817,0.258993,0.444844,0.114629,0.649338,0.066332,0.029234,0.579853,0.061972,0.3492,0.058824,0.4921,0.013699,0.045229,0.081081,0.899928,0.022026,1,0.111111,0.258824,0.111111,1,0.25,1,0.333333,0.104,0.333333,1,0.333333,1,0.24,0.19,0.21,0.63,0.232877,0.52,0.059718,0.9298,0.008222,0.080997,0.127493,0.977505,0.005367,0.022495,0.165213,0.09093,0,0.17904,0.288857,0.011044,0.106401,0.021769,0.210589,0.099125,0.527666,0.002632,0.013199,0.022222,0.046545,0.042176,0.096275,0.067387,0.061033,0.076159,0.45098,0.227273,0.023878,0.4386,0.017778,0.075048,0.051584,0.427669,0.050725,0.14656,0,0,0.316104,0,0.449346,0.445181,0.270486,0.37037,0.746644,0,0.474308,0.320135,0.889105,0.111111,0.267442,0.671163,0.970375,0.161328,0.105763,0.004226,0.19307,0.108929,0.353819,0,0.626521,0.75,0.75,0.10616,0.100398,0.73057,0.741419,0.071429,0.074627,0.111111,0.267442,GradStudent
0.00655,0.017073,0.3889,0.006051,0.259246,0.014539,0.014388,0.204182,0.016376,0.633123,0.010302,0,0,0,0,0,0,0.027397,0.53248,0.054054,0.300036,0.022026,0.50006,0,0,0,0,0,0,0,0,0,0,0,0,1,0.88,0.93,1,1,1,0.007324,0.7222,0.005139,0.320526,0.018213,0.870083,0.003578,0.129917,0.184613,0.089027,0,0.162455,0.268832,0.002922,0.059599,0,0,0.020408,0.639278,0,0,0.044444,0.548088,0.007399,0.016502,0.011667,0.005869,0.013245,0.27451,0.340909,0.005731,0.6667,0,0,0.009955,0.485763,0.014493,0.24608,0,0,0.764144,0,0.397659,0.076555,0,0,0.982524,0,1,0,0.840074,0,0.116279,0,0.865488,0,0.020768,0,0.053981,0,0.088332,0,0.505438,0,0.75,0,0.016992,0,0.800915,0,0.007463,0,0.116279,GradStudent
0.030204,0.104878,0.5181,0.080182,0.745071,0.253477,0.510791,0.301862,0.356987,0.781567,0.121608,0.003712,0.101154,0.014085,0.625,0.00759,0.5,0.068493,0.085727,0.297297,0.660007,0.088106,0.800072,0,0,0,0,0,0,0.333333,0.04,0.333333,1,0.333333,1,0.39,0.13,0.18,0.69,0,0.34,0.044507,0.9518,0.004111,0.055613,0.346054,1,0.003578,0,0.153707,0.032541,0,0.262486,1,0.205204,1,0.02585,0.343333,0.460641,0.928758,0.007895,0.054147,0.02963,0.02351,0.030205,0.253351,0.121548,0.019953,0.10596,0.196078,0.056818,0.021012,0.5301,0.008889,0.051529,0.046154,0.144891,0.028986,0.03168,0,0,0.562327,0,0.364258,0.149258,0,0.888889,0.641748,1,0.505263,0.713808,0.786575,0.074074,0.255814,0.655062,0.966925,0.004872,0.068771,0.013339,0.143995,0.020458,0.240858,1,0.839273,0.75,0.75,0.043396,0.062157,0.740933,0.828375,0.02381,0.097015,0.074074,0.255814,GradStudent
0.671761,0.592683,0.1316,0.653555,0.273014,0.968394,0.669065,0.045083,0.599345,0.236437,0.848744,0.691879,0.847534,0.633803,0.1509,0.6926,0.2448,0.623288,0.205261,0.783784,0.191145,0.69163,0.690148,0,0,0,0,0,0,0.333333,0.0112,0.333333,1,0.333333,1,0.49,0.48,0.49,0.78,0.671233,0.77,0.617465,0.5937,0.770812,0.46879,0.928014,0.646096,0.826476,0.353904,0.26268,0.076714,0,0.328081,0.281456,0.05006,0.208619,0.202721,0.121044,0.206997,0.10995,0.221053,0.068247,0.325926,0.068155,0.671761,0.968388,0.848733,0.609155,0.910596,0.27451,0.272727,0.707736,0.8028,0.6,0.156297,1,0.826521,1,0.28768,0,0,0.306234,0,0.383651,0.518796,0.49988,0.544444,0.506173,0.489474,0.279216,0.832195,0.885659,0.740741,0.616279,0.991256,0.998858,0.380416,0.375202,0.651841,0.564019,0.790754,0.730443,0.538732,0.720512,0.75,0.75,0.615912,0.583188,0.564767,0.656751,0.52381,0.328358,0.740741,0.616279,Director
0.060771,0.119512,0.2934,0.086233,0.398203,0.080278,0.107914,0.187412,0.072052,0.440563,0.073869,0.006032,0.081637,0.022535,0.6154,0.01518,0.6154,0.116438,0.452636,0.27027,0.352952,0.101322,0.541222,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.85,0.73,0.91,0.876712,0.91,0.068732,0.7305,0.046249,0.31095,0.096271,0.851558,0.028623,0.148442,0.214107,0.094832,0,0.152735,0.268784,0.00837,0.171822,0.010884,0.071846,0.061224,0.383519,0.010526,0.035998,0.133333,0.3289,0.060771,0.08012,0.073807,0.034038,0.021523,0.166667,0,0.059217,0.7425,0.04,0.115245,0.066063,0.644661,0.014493,0.04928,0,0,0.289788,0,0.83671,0.147626,0.028724,0.734568,0.594721,0.733333,0.387097,0.817833,0.841621,0.222222,0.372093,0.781366,0.979011,0.070921,0.08414,0.076541,0.267589,0.12851,0.409244,0.291725,0.70383,0.75,0.75,0.07921,0.096489,0.65285,0.729977,0.047619,0.171642,0.222222,0.372093,Research
0.111354,0.104878,0.1405,0.142209,0.358418,0.510746,0.241007,0.005009,0.521834,0.514844,0.279899,0,0,0,0,0,0,0.69863,0.435329,0.540541,0.117711,0.76652,0.682347,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.7,0.77,0.99,0.986301,0.99,0.132394,0.768,0.07297,0.267682,0.390286,0.476362,0.640429,0.523638,0.306773,0.106714,0,0.20936,0.207552,0.012387,0.081449,0.017687,0.063747,0.253644,0.254809,0.034211,0.063747,0.496296,0.196153,0.111354,0.510663,0.279851,0.174883,0.548013,0.480392,0.329545,0.083095,0.5686,0.191111,0.300406,0.368326,0.576119,0.456522,0.24864,0,0,0.280994,0,0.357512,0.027727,0,0.780864,0.762022,0.939394,0.602496,0.761607,0.794783,0.444444,0.395349,0.951166,0.994486,0.09328,0.078277,0.430895,0.498913,0.521775,0.635527,0.486148,0.618282,0.75,0.75,0.199584,0.194209,0.601036,0.691076,0.142857,0.223881,0.444444,0.395349,Director
0.268195,0.265854,0.1479,0.364599,0.381519,0.603666,0.5,0.072416,0.606987,0.503398,0.425126,0.279814,0.858552,0.298592,0.1758,0.392789,0.3433,0.33105,0.174686,0.648649,0.297876,0.352423,0.662066,1,0.358824,1,1,1,0.4444,1,0.0496,1,1,1,1,0.79,0.59,0.67,0.93,0.684932,0.84,0.353239,0.8507,0.113052,0.172263,0.621856,0.708769,0.42576,0.291231,0.233973,0.014735,0,0.239614,0.333361,0.013789,0.215621,0.029932,0.044848,0.396501,0.337212,0.05,0.038698,0.37037,0.123961,0.272664,0.613695,0.432185,0.33216,0.799669,0.372549,0.443182,0.164279,0.4668,0.12,0.078255,0.377376,0.49977,0.311594,0.14368,0,0,0.48205,0,0.579286,0.429043,0.381234,0.574074,0.526638,0.514493,0.299841,0.92667,0.917671,0.888889,0.744186,0.968872,0.995905,0.208464,0.207888,1,0.941153,1,0.930136,0.3519,0.527903,0.75,0.5,0.291249,0.267995,0.497409,0.604119,1,0.820896,0.888889,0.744186,Operations
0.008734,0.009756,0.1667,0.006051,0.194493,0.022124,0.003597,0.0257,0.017467,0.403839,0.014824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.012958,0.9583,0.001028,0.048114,0.028621,0.91399,0.003578,0.08601,0.457147,0.079276,0,0.211546,0.13451,0.011877,0.045364,0.004082,0.187491,0.046647,1,0.007895,0.187491,0.118519,1,0.010244,0.026116,0.017454,0.00939,0.011589,0.323529,0.159091,0.006208,0.5417,0,0,0.017195,0.574053,0.014493,0.16832,0,0,0.25112,0,0.454245,0.005984,0,0.185185,0.842503,0,0.861111,0.496219,0.708527,0.037037,0.104651,0.318156,0.923998,0,0.007068,0.000137,0.045088,0.000385,0.073075,0,0.867374,1,0.75,0.034485,0.024994,1,0.899314,0.02381,0.022388,0.037037,0.104651,GradStudent
