pid_time_seg,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
adamq_1,0.004529441368897836,0.01907356948228883,0.7778,0.012145748987854251,0.6667,0.03709055876685934,0.14163090128755365,0.4286,0.07510288065843622,0.9481,0.027867790019442645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.01,0.03,0.78,0.21,0.27,0.004893964110929853,1.0,0.0,0.0,0.04646952323476162,1.0,0.0,0.0,0.06666666666666667,0.03383453558716453,0.10396187071790289,0.15983799837333404,0.001108056559318589,0.012758830692606356,0.004700352526439483,0.4444,0.019882179675994108,0.3506,0.0017921146953405018,0.1111,0.0,0.0,0.004416401927906655,0.03709104046242774,0.02879704746635807,0.0,0.0,0.0,0.0,0.006064690026954178,1.0,0.0,0.0,0.0050798258345428155,0.0909,0.0,0.0,0.10042408821034778,0.2911340627876061,0.005728039662548479,0.06427749184991942,0.0,0.0,0.0,0.6082474226804123,0.0,0.0,0.0,0.6454601605929589,0.0,0.010309278350515464,0.0,0.0004427870830093395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016803105548952316,0.0,0.0,0.00014315435427402764,0.00014315435425892847,0.0,0.5895132904478699,0.8421052631578947,0.0,0.0016233766233766235,GradStudent
adamq_2,0.0025163563160543532,0.008174386920980926,0.6,0.006072874493927126,0.6,0.018304431599229287,0.06866952789699571,0.4211,0.03806584362139918,0.9737,0.013933895009721323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.18,0.21,0.002175095160413268,0.8,0.0015151515151515152,0.23076035537094727,0.022933011466505733,1.0,0.0,0.0,0.08333333333333333,0.03383453558716453,0.056955615132558826,0.1392819038097112,0.001747151367477213,0.01528962947255945,0.0023501762632197414,0.4,0.008836524300441826,0.3158,0.0,0.0,0.0,0.0,0.0025379589745703575,0.018934971098265894,0.014895267025888913,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,0.6,0.000725689404934688,0.0263,0.0,0.0,0.23450381679389312,0.31951927061748864,0.02429927311982728,0.05219585088538847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GradStudent
adamq_3,0.018621036738802214,0.05449591280653951,0.5405,0.044534412955465584,0.5946,0.04672447013487476,0.21888412017167383,0.5258,0.08641975308641975,0.866,0.04342190537913156,0.004651162790697674,0.2162,0.017391304347826087,0.75,0.012048192771084338,0.625,0.001893939393939394,0.0103,0.02564102564102564,1.0,0.0037174721189591076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.13,0.18,0.86,0.44,0.56,0.02011963023382273,1.0,0.0,0.0,0.057332528666264336,0.9794,0.004106776180698152,0.0206,0.07956666666666666,0.04534504459391791,0.03973142042847138,0.12872143599462182,0.0006213838888082309,0.00962756059992726,0.012925969447708578,0.2973,0.027245949926362298,0.3814,0.005376344086021506,0.0811,0.004629629629629629,0.0515,0.01815582832562426,0.046723988439306356,0.04486963125474644,0.0,0.0,0.0,0.0,0.013477088948787063,0.5405,0.00625,0.027,0.013062409288824383,0.1856,0.023529411764705882,0.0206,0.17121243380785367,0.2673106583326569,0.10181470913937392,0.05632272288992124,6.127915188985685e-05,0.0,0.0,0.5154639175257731,0.0,0.75,0.0,0.8038461538461541,0.0,0.08247422680412371,0.0,0.015078169441513146,0.0,0.0,0.0,0.00012178787971777139,0.0,0.0523638539796529,0.0,0.027566332060406845,0.0,0.0,0.013086889391819897,0.013086889391788916,0.0,0.47335841728365086,0.7368421052631579,0.0,0.006493506493506494,GradStudent
adamq_4,0.034222445898339206,0.07084468664850137,0.3824,0.0708502024291498,0.5147,0.0871868978805395,0.26609442060085836,0.3425,0.13168724279835392,0.7072,0.08068697342838627,0.01627906976744186,0.4118,0.034782608695652174,0.4286,0.03132530120481928,0.4643,0.003787878787878788,0.011,0.05128205128205128,1.0,0.007434944237918215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.03,0.9,0.49,0.6,0.03371397498640565,0.9118,0.00909090909090909,0.10176531671858774,0.10259505129752565,0.9392,0.022587268993839837,0.0608,0.07683333333333334,0.03458227882364087,0.09838090732271458,0.08190042092900691,0.005868096752134855,0.0038671139085420404,0.01880141010575793,0.2353,0.044182621502209134,0.3315,0.0035842293906810036,0.0294,0.001851851851851852,0.011,0.03229125876287749,0.0843742774566474,0.0806873842271699,0.048728813559322036,0.0160294942694558,0.34,0.017759121730707136,0.03032345013477089,0.6618,0.01875,0.0441,0.04354136429608128,0.3315,0.011764705882352941,0.0055,0.20619667714414017,0.2596685082872928,0.052980918430492685,0.04405896782268312,4.085353256946937e-05,0.0,0.0,0.4484536082474227,0.0,0.6666666666666666,0.0,0.8317856195277264,0.0,0.041237113402061855,0.0,0.0021115425490931643,0.0,0.0,0.0,0.0001898088985388958,0.0,0.02280199384876445,0.0,0.020183697998185885,0.0,0.0,0.0027030420995302826,0.0027030420996070463,0.0,0.45745842942104636,0.6842105263157895,0.0,0.003246753246753247,GradStudent
adamq_5,0.02214393558127831,0.05449591280653951,0.4545,0.05060728744939271,0.5682,0.08477842003853564,0.2575107296137339,0.3409,0.15534979423868311,0.858,0.0712896953985742,0.006395348837209302,0.25,0.028985507246376812,0.9091,0.021686746987951807,0.8182,0.001893939393939394,0.0057,0.02564102564102564,1.0,0.0037174721189591076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.19,0.16,0.84,0.6,0.65,0.021750951604132682,0.9091,0.006060606060606061,0.10488058151609553,0.1044055522027761,0.983,0.006160164271047228,0.017,0.07521333333333334,0.2581811907049764,0.0713163809678555,0.10227234506247965,0.0024403538717302805,0.003140663412201865,0.025851938895417155,0.5,0.03460972017673049,0.267,0.0035842293906810036,0.0455,0.001851851851851852,0.0114,0.022335216683399925,0.08770231213872832,0.07620614695966986,0.0,0.0,0.0,0.0,0.01954177897574124,0.6591,0.0125,0.0455,0.01741654571843251,0.1364,0.09411764705882353,0.0455,0.23594725884802223,0.3513779527559055,0.07939456639078808,0.10252417854581315,0.00020574921495986333,0.0,0.8432835820895522,0.4683357879234168,1.0,0.7,0.8523578669017189,0.9092227378190257,0.029850746268656716,0.07216494845360825,0.02026524561135571,0.004382735386556158,0.0,0.0,0.0,0.000841741451761501,0.022685469037400364,0.032537511398491266,0.02873398274574595,0.039100634177780286,0.0010830182398813262,0.0010830182506811994,0.0024112331482254363,0.002411233154745901,0.4460389227442499,0.41849739046000733,0.5789473684210527,0.015625,0.003246753246753247,GradStudent
adamq_6,0.03271263210870659,0.07084468664850137,0.4,0.07489878542510121,0.5692,0.10067437379576108,0.2875536480686695,0.3206,0.17592592592592593,0.8182,0.08878807517822424,0.0029069767441860465,0.0769,0.011594202898550725,0.8,0.00963855421686747,0.8,0.013257575757575758,0.0335,0.1282051282051282,0.7143,0.022304832713754646,0.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0048,0.14285714285714285,1.0,0.14285714285714285,1.0,0.18,0.22,0.22,0.78,0.57,0.62,0.032082653616095705,0.9077,0.00909090909090909,0.10649590400369216,0.11526855763427882,0.9139,0.03696098562628337,0.0861,0.08496666666666666,0.20511172163650881,0.04749662015077565,0.11198595973950518,0.000698247719793924,0.00559260276389757,0.01527614571092832,0.2,0.042709867452135494,0.2775,0.0017921146953405018,0.0154,0.000925925925925926,0.0048,0.03086770520811558,0.09742630057803468,0.08878796645651763,0.0,0.0,0.0,0.0,0.02223719676549865,0.5077,0.075,0.1846,0.03193033381712627,0.2105,0.11764705882352941,0.0478,0.18289293403797222,0.32479373092717484,0.03307578776580909,0.10304151936757551,0.2136789657709324,0.03772358852481648,0.8134328358208955,0.5530191458026509,0.0,0.6363636363636364,0.9118340405469119,0.9705882352941179,0.029850746268656716,0.1443298969072165,0.011237514662074706,0.022539444603464416,0.0,0.0,0.029672392341772713,0.20869690710012215,0.0004967709885742674,0.01870960426352194,0.0318482288672935,0.05158168587455043,0.0006380766342110881,0.000638076640994714,0.0018159963898595486,0.001815996395138714,0.41694515431492035,0.3920378686733827,0.5263157894736842,0.03125,0.016233766233766232,GradStudent
adamq_7,0.00754906894816306,0.01634877384196185,0.4,0.01417004048582996,0.4667,0.03275529865125241,0.13733905579399142,0.4706,0.04938271604938271,0.7059,0.026895657809462088,0.0,0.0,0.0,0.0,0.0,0.0,0.026515151515151516,0.2059,0.05128205128205128,0.1429,0.01486988847583643,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.41,0.48,0.8,0.59,0.63,0.008156606851549755,1.0,0.0,0.0,0.038020519010259504,0.9265,0.01026694045174538,0.0735,0.07142666666666667,0.16917267793582266,0.08235527752954025,0.08302818232946725,0.003761994444696738,0.0023761719393052033,0.004700352526439483,0.2667,0.013254786450662739,0.2647,0.0035842293906810036,0.1333,0.001851851851851852,0.0294,0.010037009448155857,0.04466618497109826,0.037898148036532985,0.0,0.0,0.0,0.0,0.006738544474393531,0.6667,0.0,0.0,0.018142235123367198,0.3676,0.011764705882352941,0.0147,0.17587786259541985,0.31472904122278833,0.11057283915077366,0.10829741747029474,0.0001266157099994317,0.0,0.40298507462686567,0.5893470790378006,0.0,0.8,0.7387318563789153,0.865066225165563,0.014925373134328358,0.061855670103092765,0.001055117604664808,0.002940848410916635,0.0,0.0,0.0,0.0003373137691578185,0.0,0.04907251938914208,0.020526040605900416,0.03755703369996568,6.21936576376802e-05,6.219365869096964e-05,0.00021024329869590412,0.00021024329971140672,0.514645173972872,0.4398592062143464,0.5789473684210527,0.015625,0.003246753246753247,GradStudent
adamq_9,0.001509813789632612,0.0027247956403269754,0.3333,0.0020242914979757085,0.3333,0.004335260115606936,0.012875536480686695,0.3333,0.00823045267489712,0.8889,0.0038885288399222295,0.0,0.0,0.0,0.0,0.0,0.0,0.005681818181818182,0.3333,0.05128205128205128,0.6667,0.007434944237918215,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016313213703099511,1.0,0.0,0.0,0.005431502715751358,1.0,0.0,0.0,0.06666666666666667,0.5338345355871645,0.04974679773607388,0.12229458933363853,0.00028669008716887323,0.0013660253055435435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016355408473014313,0.004816473988439306,0.004464160147224868,0.0,0.0,0.0,0.0,0.0013477088948787063,0.6667,0.0,0.0,0.001451378809869376,0.2222,0.0,0.0,0.1628498727735369,0.5879265091863517,0.0,0.15643947695229746,0.02467632578309275,0.0,0.0,0.5292096219931273,0.0,0.3333333333333333,0.0,0.7275469946623347,0.0,0.030927835051546382,0.0,9.947495305518276e-06,0.0,0.0,0.0,0.047574414559423114,0.0,0.011374876360039565,0.0,0.026266312065120288,0.0,0.0,6.044633359511225e-07,6.044633406172631e-07,0.0,0.5230003641218594,0.6842105263157895,0.0,0.003246753246753247,GradStudent
ahmed12_1,0.0,0.0,0.0,0.0,0.0,0.0038535645472061657,0.012875536480686695,0.375,0.006172839506172839,0.75,0.002592352559948153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004224502112251056,0.875,0.002053388090349076,0.125,0.0,0.9515963133890025,0.0,0.06042730970017884,0.0,0.0006535578030876541,0.0,0.0,0.0007363770250368188,0.125,0.0,0.0,0.000925925925925926,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000725689404934688,0.125,0.023529411764705882,0.25,0.0,0.1594488188976378,0.0,0.012317143326758711,5.1206539444690364e-05,0.0,0.0,0.5017182130584191,0.0,0.3333333333333333,0.0,0.5696892604034164,0.0,0.030927835051546382,0.0,0.0012329974734305292,0.0,0.0,0.0,0.00011422863713132519,0.0,0.03641025641025641,0.0,0.022197362183329652,0.0,0.0,0.00034011738690256264,0.00034011738682776944,0.0,0.6679208641825464,0.8947368421052632,0.0,0.003246753246753247,Research
ahmed12_10,0.0,0.0,0.0,0.0,0.0,0.007707129094412331,0.030042918454935622,0.4375,0.00823045267489712,0.5,0.005184705119896306,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.25,0.07692307692307693,0.75,0.007434944237918215,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006638503319251659,0.6875,0.01026694045174538,0.3125,0.0,0.39755579314918327,0.0,0.050006812995499056,0.0,0.001093661203137862,0.0,0.0,0.0007363770250368188,0.0625,0.0,0.0,0.000925925925925926,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006531204644412192,0.5625,0.058823529411764705,0.3125,0.0,0.27608267716535434,0.0,0.055955554528270876,2.010498122986065e-05,0.0,0.0,0.45618556701030927,0.0,0.8333333333333334,0.0,0.6929708222811672,0.0,0.041237113402061855,0.0,1.6830217793235886e-05,0.0,0.0,0.0,0.0001084269603559262,0.0,0.04981684981684981,0.0,0.022777770321851305,0.0,0.0,6.540807163413047e-07,6.540807219317412e-07,0.0,0.549095764049035,0.7368421052631579,0.0,0.003246753246753247,Research
