total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
0,0,0,0,0,0.006262042,0.0472103,0.8462,0.010288066,0.7692,0.004212573,0,0,0,0,0,0,0.001893939,0.0769,0.025641026,1,0.003717472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,1,0,0,0,0,0,0.006035003,0.769225,0.006160164,0.230775,0,0.455226759,0,0.094927249,0,0.00277006,0,0,0.000736377,0.076925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003628447,0.384625,0.023529412,0.15385,0,0.354330709,0,0.126435038,0.000798474,0,0,0.615611193,0,0.761904762,0,0.922259653,0,0.072164948,0,0.008145073,0,0,0,0.001142267,0,0.034840364,0,0.021753647,0,0,0.000576021,0.000576021,0,0.457010895,0.526315789,0,0.00487013,Research
0,0,0,0,0,0.007707129,0.012875536,0.1875,0.013374486,0.8125,0.005184705,0,0,0,0,0,0,0.026515152,0.875,0.051282051,0.1429,0.040892193,0.7857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.008449004,0.875,0.004106776,0.125,0,0.137452801,0,0.037368505,0,0.001623448,0,0,0.002945508,0.25,0,0,0.003703704,0.25,0,0,0,0,0,0,0,0,0,0,0,0.003628447,0.3125,0.011764706,0.0625,0,0.105807087,0,0.008710732,4.92E-05,0,0,0.585051546,0,0.666666667,0,0.640914821,0,0.041237113,0,5.53E-05,0,0,0,0.000276702,0,0.044544545,0,0.036163294,0,0,1.45E-08,1.45E-08,0,0.657626717,0.789473684,0,0.003246753,GradStudent
0.172118772,0.207084469,0.2222,0.188259109,0.2719,0.246628131,0.463519313,0.2109,0.29526749,0.5605,0.276733636,0.187790698,0.9444,0.214492754,0.2291,0.202409639,0.2601,0.176136364,0.1816,0.666666667,0.2796,0.24535316,0.7097,0,0,0,0,0,0,0.571428571,0.0078,0.571428571,1,0.571428571,1,0.58,0.47,0.51,0.87,0.84,0.85,0.082653616,0.44445,0.287878788,0.641013067,0.242607121,0.78515,0.22587269,0.21485,0.152,0.074408911,0.160180264,0.076330259,0.00333514,0.005169388,0.010575793,0.026325,0.064064801,0.169925,0.010752688,0.01755,0.019444444,0.041025,0.162410237,0.238671965,0.27673373,0,0,0,0,0.154312668,0.6696,0.2125,0.099425,0.1712627,0.46095,0.423529412,0.070325,0.226799399,0.301734744,0.174274069,0.391429964,0.535324313,0.354961041,0.26119403,0.378313697,0.25,0.381551363,0.9797887,0.974267725,0.119402985,0.577319588,0.022234556,0.217026694,0,0,0.328189821,0.601724144,0.002349375,0.02680745,0.096239316,0.206523297,0.01205353,0.01205353,0.032602729,0.032602729,0.437851971,0.432614874,0.578947368,0.0625,0.418831169,PM
0.067941621,0.138964578,0.3778,0.119433198,0.437,0.122350674,0.381974249,0.3504,0.188271605,0.7205,0.126053143,0.001744186,0.0222,0.008695652,1,0.002409639,0.3333,0.007575758,0.0157,0.051282051,0.5,0.007434944,0.5,0.090909091,0.0148,0.090909091,1,0.125,1,0.142857143,0.0039,0.142857143,1,0.142857143,1,0.13,0.15,0.14,0.79,0.56,0.64,0.070146819,0.95555,0.009090909,0.051287968,0.142426071,0.929125,0.036960986,0.070875,0.084113333,0.037674755,0.049563654,0.102723794,0.001280006,0.008783394,0.023501763,0.14815,0.036818851,0.19685,0.001792115,0.0074,0,0,0.066246029,0.122351156,0.130255233,0,0,0,0,0.059299191,0.65185,0.0375,0.04445,0.052249637,0.283475,0.152941176,0.051175,0.159532561,0.312511625,0.067912342,0.130474168,0.000914154,0,0.626865672,0.496431404,0,0.745454545,0.755579171,0.910230179,0.014925373,0.134020619,0.001414879,0.012397222,0,0,0,0.001454922,0,0.042847603,0.026865898,0.046742622,0.000103263,0.000103263,0.000406171,0.000406171,0.567779566,0.463050687,0.578947368,0.015625,0.011363636,GradStudent
0.008555611,0.016348774,0.3529,0.022267206,0.6471,0.015414258,0.042918455,0.3125,0.020576132,0.625,0.015878159,0.000581395,0.0588,0.002898551,1,0.002409639,1,0.03219697,0.5313,0.128205128,0.2941,0.044609665,0.7059,0,0,0,0,0,0,0.142857143,0.0313,0.142857143,1,0.142857143,1,0.88,0.81,0.84,1,0.81,0.88,0.008700381,0.941175,0.001515152,0.067874347,0.011466506,0.59375,0.026694045,0.40625,0.08718,0.074716805,0.117962466,0.039894881,0.002239964,0.000577572,0.005875441,0.294125,0.002209131,0.09375,0.007168459,0.2353,0.002777778,0.09375,0.008937325,0.016515896,0.017579389,0,0,0,0,0.004043127,0.35295,0,0,0.015239478,0.65625,0.023529412,0.0625,0.214099686,0.256889764,0.18542312,0.207899306,0.049602225,0,0,0.41554322,0,0.41025641,0,0.94629088,0,0.134020619,0,0.011907893,0,0,0,0.191871852,0,0.020097158,0,0.036273731,0,0,0.001899732,0.001899732,0,0.445405021,0.578947368,0,0.016233766,GradStudent
0,0,0,0,0,0.006262042,0.025751073,0.4615,0.008230453,0.6154,0.004212573,0,0,0,0,0,0,0.011363636,0.4615,0.025641026,0.1667,0.011152416,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,1,0,0,0,0,0,0.007242004,0.923075,0.002053388,0.076925,0,0.120302075,0,0.064672056,0,0.001936114,0,0,0.002209131,0.230775,0,0,0.002777778,0.230775,0,0,0,0,0,0,0,0,0,0,0,0.004354136,0.46155,0.023529412,0.15385,0,0.371895821,0,0.115236784,0.001735143,0,0,0.690721649,0,0.5,0,0.934611345,0,0.051546392,0,0.004175707,0,0,0,0.002626979,0,0.018106885,0,0.02216418,0,0,0.001323788,0.001323788,0,0.450971104,0.526315789,0,0.00487013,GradStudent
0.035228988,0.089918256,0.4714,0.076923077,0.5429,0.217726397,0.454935622,0.2345,0.361111111,0.7765,0.169151005,0.000581395,0.0143,0.002898551,1,0.002409639,1,0.045454545,0.0531,0.230769231,0.375,0.05204461,0.5833,0,0,0,0,0,0,0.142857143,0.0022,0.142857143,1,0.142857143,1,0.43,0.18,0.21,0.79,0.46,0.5,0.034257749,0.9,0.010606061,0.115383506,0.268557634,0.984525,0.014373717,0.015475,0.075266667,0.041159713,0.090616622,0.169816328,0.003360357,0.010994674,0.021151586,0.25715,0.155375552,0.466825,0.003584229,0.028575,0.005555556,0.013275,0.033242257,0.210702312,0.169150885,0,0,0,0,0.024932615,0.528575,0.05,0.114275,0.03628447,0.110625,0.105882353,0.0199,0.331399491,0.382394955,0.296091161,0.092786949,0.126796479,0.035824511,0.55721393,0.482743165,0.333333333,0.47826087,0.919396552,0.981793103,0.044776119,0.237113402,0.013732882,0.046679352,0,0,0.028196097,0.068786763,0.000545256,0.022554476,0.041085101,0.075557009,0.000661848,0.000661848,0.002307555,0.002307555,0.466613033,0.42929891,0.526315789,0.03125,0.069805195,GradStudent
0.555108203,0.53133515,0.1768,0.526315789,0.2357,0.408477842,0.665236052,0.1828,0.319958848,0.3667,0.632209981,0,0,0,0,0,0,0.291666667,0.1816,0.333333333,0.0844,0.304832714,0.5325,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.54,0.55,0.81,0.82,0.81,0.374660141,0.62465,0.627272727,0.43309199,0.345805673,0.6757,0.564681725,0.3243,0.122966667,0.067794259,0.120733634,0.050763671,0.003592693,0.001657756,0.168037603,0.12965,0.090574374,0.14505,0.170250896,0.086125,0.066666667,0.0849,0.523794101,0.395300578,0.632210061,1,0.524324758,0.43,0.124475299,0.592318059,0.796925,0.65,0.0943,0.452830189,0.73585,0.882352941,0.08845,0.245337836,0.241178874,0.166207497,0.071514468,0.062742668,0.013501251,0.195688226,0.394587629,0.555555556,0.477951636,0.921382289,0.93682548,0.134328358,0.412371134,0.020299455,0.11826949,0,0,0.00765287,0.043182102,0.011156782,0.031748033,0.162072972,0.311293676,0.057202881,0.057202881,0.111533218,0.111533219,0.465607401,0.449905258,0.631578947,0.125,0.172077922,Director
0.032209361,0.068119891,0.3906,0.064777328,0.5,0.043834297,0.107296137,0.2747,0.057613169,0.6154,0.050226831,0.027325581,0.7344,0.066666667,0.4894,0.055421687,0.4894,0.054924242,0.3187,0.179487179,0.2414,0.07063197,0.6552,0,0,0,0,0,0,0.285714286,0.022,0.285714286,1,0.285714286,1,0.58,0.8,0.71,0.95,0.88,0.91,0.028820011,0.828125,0.016666667,0.198315401,0.035606518,0.64835,0.065708419,0.35165,0.094813333,0.076746877,0.096891756,0.068388399,0.008125998,0.001852714,0.016451234,0.21875,0.009572901,0.14285,0.023297491,0.203125,0.010185185,0.120875,0.033648566,0.046965318,0.055608126,0,0,0,0,0.028301887,0.65625,0,0,0.031930334,0.483525,0.058823529,0.05495,0.219465649,0.308384529,0.116128103,0.142767785,0.049019082,0,1,0.358151966,0,0.393162393,0.835487662,0.93118786,0.014925373,0.278350515,0.005745907,0.039706788,0,0,0,0.051640361,0,0.032726924,0.021789709,0.101953608,0.00073186,0.00073186,0.006285958,0.006285958,0.513475463,0.452629086,0.578947368,0.015625,0.076298701,Research
0.115752391,0.103542234,0.1652,0.085020243,0.1826,0.184007707,0.193133047,0.1178,0.268518519,0.6832,0.198314971,0.016860465,0.1261,0.043478261,0.5172,0.028915663,0.4138,0.221590909,0.3063,0.307692308,0.1026,0.308550186,0.7094,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.68,0.79,1,1,1,0.107123437,0.856525,0.05,0.165546485,0.125528063,0.5445,0.357289528,0.4555,0.289306667,0.082170553,0.142525029,0.041943836,0.006096643,0.001252014,0.015276146,0.056525,0.042709867,0.151825,0.021505376,0.052175,0.042592593,0.120425,0.109223508,0.178072254,0.198314589,0,0,0,0,0.047169811,0.30435,0.10625,0.073925,0.119013062,0.429325,0.388235294,0.086375,0.23570749,0.276044029,0.106196301,0.087050375,0.91864517,0.055131617,0.167495854,0.371308754,0.305555556,0.355889724,0.922178988,0.962151933,0.134328358,0.608247423,0.016728137,0.246674434,0,0,0.062900526,0.645389817,0.010356381,0.023716581,0.083404597,0.211433334,0.045603022,0.045603022,0.082805338,0.082805338,0.465205149,0.43806253,0.631578947,0.09375,0.444805195,Director
