@relation Month4

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {Research,GradStudent,PM,Director,Operations,Outreach}

@data
0.224459,0.171662,0.1413,0.176113,0.1951,0.203757,0.287554,0.1584,0.184156,0.4232,0.281594,0.138372,0.5336,0.127536,0.1849,0.185542,0.3235,0.287879,0.3593,0.307692,0.0789,0.237918,0.4211,0.090909,0.0044,0.090909,1,0.125,1,0,0,0,0,0,0,0.82,0.55,0.69,0.96,0.92,0.94,0.213703,0.881175,0.080303,0.137104,0.150875,0.591025,0.355236,0.408975,0.230493,0.069642,0.198388,0.076462,0.009198,0.004237,0.003525,0.006725,0.058174,0.18675,0.005376,0.006725,0.036111,0.0922,0.218858,0.203757,0.290981,0,0,0,0,0.077493,0.25785,0.06875,0.024675,0.171263,0.557925,0.341176,0.06855,0.398982,0.266842,0.301156,0.079847,0.501779,0.027038,0.228358,0.407431,0.577778,0.445411,0.892469,0.928516,0.149254,0.494845,0.087933,0.275467,0,0,0.033537,0.501926,0.01344,0.027682,0.089659,0.238181,0.261356,0.261356,0.279709,0.279709,0.480692,0.453932,0.631579,0.09375,0.26461,Operations
0.008556,0.019074,0.4118,0.012146,0.3529,0.02264,0.060086,0.2979,0.026749,0.5532,0.020739,0,0,0,0,0,0,0.041667,0.4681,0.153846,0.2727,0.040892,0.5,0,0,0,0,0,0,0.285714,0.0426,0.285714,1,0.142857,0.5,1,0.85,0.89,1,0.98,0.98,0.007613,0.823525,0.004545,0.203623,0.018709,0.659575,0.032854,0.340425,0.141667,0.109397,0.127793,0.04992,0.006237,0.001913,0,0,0.002209,0.063825,0,0,0.002778,0.063825,0.008937,0.024257,0.022961,0,0,0,0,0.006739,0.588225,0,0,0.020319,0.59575,0.035294,0.063825,0.229427,0.209583,0.101721,0.029072,0.203461,0,0,0.495783,0,0.562771,0,0.78237,0,0.226804,0,0.160929,0,0,0,0.373435,0,0.028923,0,0.045647,0,0,0.014908,0.014908,0,0.538726,0.736842,0,0.030844,Research
0.020131,0.049046,0.45,0.022267,0.275,0.037572,0.103004,0.3077,0.057613,0.7179,0.038237,0.004651,0.2,0.017391,0.75,0.004819,0.25,0.028409,0.1923,0.102564,0.2667,0.037175,0.6667,0,0,0,0,0,0,0.142857,0.0128,0.142857,1,0.142857,1,0.9,0.81,0.84,0.93,0.87,0.89,0.015226,0.7,0.018182,0.346151,0.033796,0.71795,0.045175,0.28205,0.121213,0.087503,0.209987,0.064592,0.039569,0.000514,0.014101,0.3,0.028719,0.5,0.021505,0.3,0.028704,0.397425,0.019628,0.037572,0.039511,0,0,0,0,0.015499,0.575,0.025,0.1,0.026851,0.47435,0.023529,0.02565,0.202545,0.448819,0.116606,0.3029,0.062127,0,0.41791,0.496134,0,0.594203,0.748421,0.88731,0.014925,0.247423,0.002984,0.101191,0,0,0,0.039741,0,0.027841,0.017809,0.061612,0.01255,0.01255,0.06922,0.06922,0.57321,0.475012,0.684211,0.015625,0.061688,Director
0.005536,0.013624,0.4545,0.008097,0.3636,0.000482,0.004292,1,0.001029,1,0.003889,0.001163,0.1818,0.002899,0.5,0.00241,0.5,0.001894,1,0.025641,1,0.003717,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.00435,0.727275,0.004545,0.31468,0.000604,1,0,0,0.091667,0.033835,0.042137,0.002777,0.000185,0,0.0047,0.363625,0,0,0.007168,0.363625,0,0,0.010795,0.000964,0.008036,0,0,0,0,0.004043,0.54545,0,0,0.000726,1,0,0,0.188018,0.15748,0.014975,0,0.000065,0,0,0.386598,0,0.466667,0,0.839387,0,0.061856,0,0.00347,0,0,0,0.000274,0,0.029336,0,0.023056,0,0,0.002159,0.002159,0,0.502132,0.684211,0,0.00487,GradStudent
0.006543,0.024523,0.6923,0.01417,0.5385,0.047688,0.206009,0.4848,0.065844,0.6465,0.036293,0.002326,0.3077,0.005797,0.5,0.004819,0.5,0.018939,0.101,0.179487,0.7,0.022305,0.6,0.090909,0.1538,0.090909,1,0.125,1,0.285714,0.0202,0.285714,1,0.285714,1,0.92,0.28,0.36,1,0.72,0.75,0.005438,0.769225,0.004545,0.266276,0.048884,0.818175,0.036961,0.181825,0.086667,0.034285,0.074403,0.088165,0.000793,0.005066,0.010576,0.6923,0.030191,0.41415,0.014337,0.615375,0.00463,0.0505,0.006174,0.046149,0.036293,0,0,0,0,0.005391,0.615375,0,0,0.029753,0.41415,0,0,0.098336,0.24664,0.006563,0.055525,0.000585,0,0,0.375,0,0.549451,0,0.856971,0,0.164948,0,0.023909,0,0,0,0.00205,0,0.035191,0,0.034902,0,0,0.006141,0.006141,0,0.491829,0.684211,0,0.022727,GradStudent
0.007046,0.016349,0.4286,0.01417,0.5,0.00578,0.021459,0.4167,0.010288,0.8333,0.008425,0,0,0,0,0,0,0.007576,0.3333,0.025641,0.25,0.01487,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.83,0.92,1,0.83,0.92,0.004894,0.64285,0.007576,0.412092,0.006639,0.916675,0.002053,0.083325,0.103707,0.067669,0.176667,0.041193,0.010228,0.000318,0.00235,0.14285,0.001473,0.166675,0.003584,0.14285,0.001852,0.166675,0.008587,0.007225,0.010882,0,0,0,0,0.006065,0.64285,0,0,0.00508,0.583325,0,0,0.294293,0.270341,0.19217,0.03806,0.000366,0,0,0.507446,0,0.527778,0,0.854707,0,0.092784,0,0.011563,0,0,0,0.000704,0,0.028672,0,0.025457,0,0,0.007382,0.007382,0,0.493131,0.684211,0,0.008117,GradStudent
0.02617,0.051771,0.3654,0.048583,0.4615,0.031792,0.085837,0.303,0.041152,0.6061,0.038237,0.000581,0.0192,0.002899,1,0.00241,1,0.066288,0.5303,0.25641,0.2857,0.05948,0.4571,0.090909,0.0384,0.090909,1,0.125,1,0,0,0,0,0,0,0.87,0.91,0.89,0.9,0.94,0.92,0.022295,0.78845,0.016667,0.244094,0.024744,0.6212,0.051335,0.3788,0.099047,0.105127,0.266613,0.053796,0.12621,0.000642,0.0047,0.076925,0.008837,0.181825,0.005376,0.0577,0.011111,0.181825,0.026397,0.032889,0.040875,0,0,0,0,0.019542,0.5577,0.025,0.076925,0.021771,0.45455,0.047059,0.0606,0.142807,0.41959,0.066657,0.2574,0.006075,0,0.179104,0.463536,0,0.616667,0.636716,0.77555,0.014925,0.278351,0.00022,0.206791,0,0,0,0.011262,0,0.03974,0.02091,0.068053,0.007409,0.007409,0.059251,0.059251,0.673773,0.543463,0.736842,0.015625,0.035714,Research
0.009562,0.029973,0.5789,0.010121,0.2632,0.013006,0.042918,0.3704,0.013374,0.4815,0.014906,0,0,0,0,0,0,0.018939,0.3704,0.076923,0.3,0.026022,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.44,0.46,0.63,0.67,0.65,0.005438,0.526325,0.013636,0.546543,0.007846,0.481475,0.028747,0.518525,0.180953,0.033835,0.021965,0.031458,0.000192,0.000411,0.007051,0.3158,0.005891,0.2963,0.005376,0.1579,0.002778,0.1111,0.012713,0.017736,0.021004,0,0,0,0,0.009434,0.73685,0,0,0.013062,0.666675,0.011765,0.037025,0.125566,0.139983,0.037814,0.050129,0.000005,0,0,0.402062,0,0.9,0,0.79318,0,0.051546,0,0.002652,0,0,0,0.000004,0,0.073088,0,0.025126,0,0,0.004018,0.004018,0,0.531383,0.684211,0,0.003247,GradStudent
0.007046,0.013624,0.3571,0.012146,0.4286,0.007225,0.017167,0.2667,0.011317,0.7333,0.009397,0.003488,0.4286,0.005797,0.3333,0.007229,0.5,0.001894,0.0667,0.025641,1,0.003717,1,0.090909,0.1428,0.090909,1,0.125,1,0,0,0,0,0,0,0.86,1,0.93,1,1,1,0.005982,0.785725,0.004545,0.247238,0.009053,1,0,0,0.084847,0.072504,0.151326,0.076771,0.005938,0.00102,0.015276,0.928575,0.007364,0.666675,0.019713,0.785725,0.009259,0.666675,0.017175,0.018064,0.024277,0,0,0,0,0.007412,0.785725,0,0,0.004354,0.4,0,0,0.135514,0.584252,0.029688,0.080171,0.000011,0,0,0.613402,0,0.866667,0,0.784093,0,0.061856,0,0.010656,0,0,0,0.000012,0,0.073064,0,0.032387,0,0,0.033259,0.033259,0,0.537541,0.736842,0,0.006494,GradStudent
0.002516,0.010899,0.8,0.006073,0.6,0.00289,0.017167,0.6667,0.005144,0.8333,0.003564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.67,0.82,1,0.67,0.82,0.002719,1,0,0,0.003018,0.833325,0.002053,0.166675,0.111113,0.067669,0.034018,0.029142,0.000021,0.000307,0.00235,0.4,0.000736,0.166675,0.003584,0.4,0.000926,0.166675,0.00433,0.0051,0.0065,0,0,0,0,0.002022,0.6,0,0,0.001451,0.333325,0,0,0.516234,0.237533,0.552251,0.000297,0.000747,0,0,0.424742,0,0.5,0,0.865726,0,0.051546,0,0.002423,0,0,0,0.001947,0,0.022135,0,0.020655,0,0,0.001209,0.001209,0,0.486855,0.631579,0,0.00487,GradStudent
