total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
0,0,0,0,0,0.004816956,0.012875536,0.3,0.00617284,0.6,0.003240441,0,0,0,0,0,0,0.005681818,0.3,0.051282051,0.6667,0.003717472,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.006035003,1,0,0,0,0.947366996,0,0.052589759,0,0.000529379,0,0,0.001472754,0.2,0,0,0.001851852,0.2,0,0,0,0,0,0,0,0,0,0,0,0.001451379,0.2,0.047058824,0.4,0,0.193700787,0,0.012991453,0.000252257,0,0,0.597938144,0,0.333333333,0,0.849200668,0,0.041237113,0,0.003119173,0,0,0,0.000463859,0,0.027022491,0,0.022055104,0,0,0.009508956,0.009508956,0,0.496328754,0.684210526,0,0.003246753,Research
0.009562154,0.016348774,0.3158,0.008097166,0.2105,0.00867052,0.025751073,0.3333,0.011316872,0.6111,0.011989631,0.000581395,0.0526,0.002898551,1,0.002409639,1,0.017045455,0.5,0.102564103,0.4444,0.026022305,0.7778,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.94,0.76,1,1,1,0.008700381,0.8421,0.004545455,0.182190556,0.009052505,0.833325,0.006160164,0.166675,0.126666667,0.062028854,0.05526551,0.015508248,0.000364588,8.20E-05,0.012925969,0.57895,0.001472754,0.1111,0.012544803,0.368425,0.001851852,0.1111,0.009645422,0.008969653,0.012816881,0,0,0,0,0.007412399,0.57895,0.01875,0.1579,0.008708273,0.666675,0,0,0.112709254,0.10936133,0.002906261,0.003102653,0.000730675,0,0,0.432989691,0,0.571428571,0,0.784266197,0,0.082474227,0,0.000164148,0,0,0,0.001697917,0,0.032611985,0,0.037148763,0,0,1.70E-06,1.70E-06,0,0.537423022,0.684210526,0,0.011363636,GradStudent
0.53397081,0.253405995,0.0877,0.392712551,0.1828,0.365125241,0.47639485,0.1464,0.382716049,0.4908,0.589436163,0.176162791,0.2856,0.156521739,0.1782,0.178313253,0.2442,0.195075758,0.1359,0.461538462,0.1748,0.223048327,0.5825,0,0,0,0,0,0,0.142857143,0.0013,0.142857143,1,0.142857143,1,0.73,0.5,0.63,0.89,0.87,0.88,0.443175639,0.76815,0.372727273,0.267516658,0.313216657,0.6847,0.490759754,0.3153,0.25628,0.107668259,0.21933883,0.065054563,0.003769499,0.002757824,0.827262045,0.663525,0.11634757,0.20845,1,0.525925,0.077777778,0.110825,0.520645207,0.365125723,0.609083622,0,0,0,0,0.181940701,0.254475,0.21875,0.033,0.272133527,0.494725,0.364705882,0.0409,0.584287232,0.332007147,0.599262745,0.521903203,0.140303295,0.61226505,0.182835821,0.371915027,0.232804233,0.355654762,0.877777778,0.833489461,0.417910448,0.680412371,0.522199903,0.693545384,0,0,0.542982269,0.085470185,0.005261232,0.031456643,0.232898505,0.349694981,0.35510145,0.35510145,0.396728062,0.396728062,0.488736927,0.50568451,0.736842105,0.578125,0.501623377,PM
0.075993961,0.103542234,0.2517,0.125506073,0.4106,0.130057803,0.373390558,0.3222,0.184156379,0.663,0.136422553,0,0,0,0,0,0,0.015151515,0.0296,0.102564103,0.5,0.026022305,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.09,0.11,0.87,0.59,0.69,0.065796629,0.801325,0.045454545,0.22923818,0.141219071,0.866675,0.073921971,0.133325,0.10272,0.038466484,0.067961184,0.109688757,0.004226827,0.02044893,0.043478261,0.245025,0.044918999,0.225925,0.010752688,0.039725,0.003703704,0.014825,0.074096919,0.130057803,0.140969619,0,0,0,0,0.074123989,0.728475,0.03125,0.033125,0.076197388,0.3889,0.129411765,0.04075,0.179080936,0.283027122,0.047937587,0.090091903,0.001221718,0,0,0.370340999,0,0.527272727,0,0.89197995,0,0.134020619,0,0.00935281,0,0,0,0.001900927,0,0.032657177,0,0.040251023,0,0,0.00209562,0.00209562,0,0.47252487,0.631578947,0,0.011363636,GradStudent
0.011071968,0.021798365,0.3636,0.012145749,0.2727,0.007707129,0.030042918,0.4375,0.009259259,0.5625,0.012313675,0.001744186,0.1364,0.008695652,1,0.004819277,0.6667,0.018939394,0.625,0.102564103,0.4,0.026022305,0.7,0.181818182,0.1818,0.181818182,1,0.25,1,0.142857143,0.0625,0.142857143,1,0.142857143,1,0.5,1,0.71,0.73,1,0.84,0.011963023,1,0,0,0.007845504,0.8125,0.006160164,0.1875,0.146666667,0.061517953,0.178866412,0.025970886,0.02191629,0.000181678,0.001175088,0.04545,0,0,0.001792115,0.04545,0,0,0.011566557,0.008257225,0.013632565,0,0,0,0,0.008760108,0.5909,0,0,0.007982583,0.6875,0,0,0.134351145,0.189468504,0.018770061,0.011186488,0.000147477,0,0,0.450662739,0,0.619047619,0,0.758525149,0,0.072164948,0,0.010901066,0,0,0,0.00060582,0,0.039312039,0,0.026566088,0,0,0.006893904,0.006893904,0,0.555660824,0.736842105,0,0.006493506,GradStudent
0.000503271,0.002724796,1,0.002024291,1,0.003853565,0.008583691,0.25,0.005144033,0.625,0.002916397,0,0,0,0,0,0,0.013257576,0.875,0.025641026,0.1429,0.014869888,0.5714,0,0,0,0,0,0,0,0,0,0,0,0,1,0.88,0.89,1,1,1,0.000543774,1,0,0,0.002414001,0.5,0.008213552,0.5,0.066666667,0.046522486,0.019660411,0.036449239,0,0.000118176,0,0,0.001472754,0.25,0,0,0.001851852,0.25,0.000700736,0.00550578,0.004305443,0,0,0,0,0.000673854,1,0,0,0.002902758,0.5,0.011764706,0.125,0.301272265,0.176181102,0,0.050128924,3.61E-05,0,0,0.604810997,0,0.333333333,0,0.838200659,0,0.030927835,0,0.001617003,0,0,0,5.66E-05,0,0.022706065,0,0.020915576,0,0,0.006847478,0.006847478,0,0.502842255,0.684210526,0,0.003246753,GradStudent
0.048314041,0.095367847,0.3646,0.093117409,0.4792,0.225915222,0.450643777,0.2239,0.242798354,0.5032,0.1830849,0.001162791,0.0208,0.002898551,0.5,0.004819277,1,0.022727273,0.0256,0.128205128,0.4167,0.033457249,0.75,0.181818182,0.0416,0.181818182,1,0.25,1,0,0,0,0,0,0,0.45,0.07,0.13,0.92,0.22,0.34,0.043501903,0.833325,0.024242424,0.192315459,0.275799638,0.974425,0.024640657,0.025575,0.08312,0.039630392,0.090231233,0.112667011,0.005115486,0.009387254,0.044653349,0.395825,0.151693667,0.439225,0.021505376,0.125,0.009259259,0.021325,0.045589045,0.218627168,0.183084811,0,0,0,0,0.038409704,0.59375,0.0375,0.0625,0.042815675,0.1258,0.070588235,0.0128,0.194486853,0.316488424,0.081754243,0.042428511,0.009689759,0,0.029850746,0.358654368,0,0.456140351,0.688953488,0.889527618,0.014925373,0.195876289,1.85E-05,0.02386034,0,0,0,0.014582311,0,0.030346346,0.028554962,0.052329087,5.44E-05,5.44E-05,0.00544073,0.00544073,0.622687047,0.47382757,0.631578947,0.015625,0.035714286,GradStudent
0.508303976,0.392370572,0.1426,0.453441296,0.2218,0.451348748,0.56223176,0.1398,0.299382716,0.3106,0.630913804,0,0,0,0,0,0,0.369318182,0.2081,0.487179487,0.0974,0.3866171,0.5333,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.51,0.56,0.83,0.82,0.82,0.31702012,0.577225,0.646969697,0.487812617,0.354254677,0.626475,0.718685832,0.373525,0.135753333,0.074040114,0.140365779,0.045346868,0.012498949,0.001078992,0.109283196,0.092075,0.087628866,0.127,0.103942652,0.057425,0.043518519,0.05015,0.495618929,0.451348266,0.65194418,0,0,0,0,0.552560647,0.811875,0.41875,0.066325,0.522496372,0.7684,0.8,0.072575,0.234640869,0.239287725,0.153200001,0.082342196,0.457075391,0.195660793,0.233208955,0.435415403,0.408333333,0.470238095,0.832227858,0.840576287,0.23880597,0.525773196,0.243852157,0.607918246,0,0,0.208768318,0.277140607,0.007383028,0.02896298,0.181510119,0.291588688,0.383934204,0.383934204,0.47544788,0.47544788,0.515486726,0.501421127,0.736842105,0.28125,0.355519481,Director
0.098137896,0.138964578,0.2615,0.174089069,0.441,0.124277457,0.253218884,0.2287,0.136831276,0.5155,0.146791964,0.026162791,0.2308,0.069565217,0.5333,0.060240964,0.5556,0.204545455,0.4186,0.384615385,0.1389,0.197026022,0.4907,0.181818182,0.0206,0.181818182,1,0.25,1,0.142857143,0.0039,0.142857143,1,0.142857143,1,0.75,0.83,0.79,0.91,0.94,0.92,0.088091354,0.830775,0.05,0.195257738,0.122510561,0.786825,0.112936345,0.213175,0.0942,0.133030627,0.09079077,0.041743979,0.004758239,0.001103298,0.070505288,0.3077,0.065537555,0.34495,0.084229391,0.241025,0.075,0.31395,0.092601643,0.120268786,0.146791912,0,0,0,0,0.08490566,0.64615,0.1,0.08205,0.104499274,0.55815,0.129411765,0.042625,0.188112481,0.252243179,0.075163459,0.130179226,0.192029818,0.006347181,0.249466951,0.404948454,0.476190476,0.415780142,0.810718358,0.835249941,0.104477612,0.515463918,0.045909071,0.458802246,0,0,0.006235084,0.161612955,0.006478596,0.028971375,0.058913102,0.152941395,0.106605253,0.106605253,0.150093848,0.150093848,0.529163315,0.504618664,0.736842105,0.078125,0.275974026,Research
0.164066432,0.125340599,0.1411,0.151821862,0.2301,0.266377649,0.236051502,0.0995,0.33127572,0.5823,0.284834738,0.030813953,0.1626,0.049275362,0.3208,0.038554217,0.3019,0.346590909,0.3309,0.333333333,0.071,0.390334572,0.5738,0,0,0,0,0,0,0.142857143,0.0018,0.142857143,1,0.142857143,1,0.95,0.79,0.85,0.99,1,1,0.141924959,0.800625,0.098484848,0.230045865,0.214846107,0.64375,0.404517454,0.35625,0.199386667,0.090097985,0.106417138,0.049307532,0.002697125,0.000904491,0.039952996,0.1043,0.062592047,0.1537,0.055555556,0.0951,0.073148148,0.14285,0.154811081,0.257784682,0.284834312,0,0,0,0,0.086253369,0.39265,0.23125,0.1135,0.199564586,0.4973,0.541176471,0.083175,0.176337439,0.288861044,0.054806457,0.103064407,0.163654943,0.008320537,0.246268657,0.429755407,0.511111111,0.463435374,0.786504425,0.828445065,0.149253731,0.525773196,0.099796265,0.637921809,0,0,0.008767353,0.210468759,0.010163403,0.029651931,0.132720659,0.274880768,0.26928711,0.26928711,0.434291527,0.434291527,0.545454545,0.508763619,0.736842105,0.109375,0.376623377,Director
