@relation Month10

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {Research,GradStudent,PM,Director,Operations,Outreach}

@data
0,0,0,0,0,0.007707,0.030043,0.4375,0.00823,0.5,0.005185,0,0,0,0,0,0,0.007576,0.25,0.076923,0.75,0.007435,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,1,0,0,0,0,0,0.006639,0.6875,0.010267,0.3125,0,0.397556,0,0.050007,0,0.001094,0,0,0.000736,0.0625,0,0,0.000926,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.006531,0.5625,0.058824,0.3125,0,0.276083,0,0.055956,0.000025,0,0,0.463918,0,0.833333,0,0.752431,0,0.041237,0,0.000068,0,0,0,0.000114,0,0.055061,0,0.022264,0,0,0.000001,0.000001,0,0.560161,0.736842,0,0.003247,Research
0.005536,0.016349,0.5455,0.010121,0.4545,0.012524,0.025751,0.2308,0.020576,0.7692,0.01199,0,0,0,0,0,0,0.035985,0.7308,0.102564,0.2105,0.05948,0.8421,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.004894,0.818175,0.00303,0.209796,0.015088,0.96155,0.002053,0.03845,0.091667,0.033835,0.043816,0.017074,0.000346,0.000141,0.007051,0.54545,0,0,0.010753,0.54545,0,0,0.005584,0.012957,0.012817,0,0,0,0,0.005391,0.727275,0,0,0.012337,0.65385,0.023529,0.076925,0.092528,0.150818,0.007427,0.019884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GradStudent
0.082536,0.098093,0.2195,0.082996,0.25,0.16185,0.309013,0.2143,0.160494,0.4643,0.162022,0.075,0.7866,0.095652,0.2558,0.079518,0.2558,0.107955,0.1696,0.435897,0.2982,0.137546,0.6491,0,0,0,0,0,0,0.285714,0.006,0.285714,1,0.285714,1,0.84,0.53,0.63,0.92,0.89,0.9,0.042958,0.4817,0.128788,0.598033,0.13277,0.65475,0.238193,0.34525,0.179233,0.097477,0.173983,0.08219,0.005848,0.006652,0.0047,0.0244,0.053019,0.214275,0.007168,0.0244,0.025,0.08035,0.07788,0.156629,0.162022,0,0,0,0,0.055256,0.5,0.2,0.195125,0.115385,0.473225,0.176471,0.04465,0.221337,0.246274,0.217625,0.088169,0.983488,0.110646,0.155224,0.35579,0.4,0.383167,0.740882,0.929971,0.074627,0.443299,0.001061,0.017281,0,0,0.097924,0.733991,0.002743,0.019737,0.051612,0.183264,0.000019,0.000019,0.000265,0.000265,0.579043,0.453221,0.631579,0.03125,0.131494,PM
0.051837,0.125341,0.4466,0.093117,0.4466,0.049133,0.197425,0.451,0.065844,0.6275,0.066429,0.005233,0.0874,0.017391,0.6667,0.004819,0.2222,0.00947,0.049,0.076923,0.6,0.011152,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0.19,0.81,0.62,0.71,0.052202,0.93205,0.010606,0.078403,0.053712,0.87255,0.026694,0.12745,0.08692,0.043352,0.077291,0.053911,0.002113,0.001341,0.010576,0.087375,0.004418,0.058825,0.005376,0.029125,0,0,0.050543,0.049133,0.068643,0,0,0,0,0.027628,0.39805,0.09375,0.145625,0.036284,0.4902,0.058824,0.049025,0.149648,0.181952,0.039717,0.050818,0.00261,0,0,0.442655,0,0.637363,0,0.764062,0,0.164948,0,0.000906,0,0,0,0.006404,0,0.03614,0,0.038875,0,0,0,0,0,0.551634,0.736842,0,0.024351,GradStudent
0.018118,0.027248,0.2778,0.01417,0.1944,0.026012,0.038627,0.1667,0.02572,0.463,0.029164,0,0,0,0,0,0,0.024621,0.2407,0.102564,0.3077,0.02974,0.6154,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.89,0.81,0.86,0.93,0.9,0.009244,0.472225,0.028788,0.608965,0.02414,0.74075,0.028747,0.25925,0.16,0.057035,0.119295,0.050039,0.005501,0.001305,0.010576,0.25,0.006627,0.166675,0.012545,0.19445,0.008333,0.166675,0.018275,0.026909,0.031175,0,0,0,0,0.022911,0.94445,0.00625,0.027775,0.025399,0.64815,0.011765,0.018525,0.148601,0.217265,0.020346,0.105124,0.00863,0,0.044776,0.333333,0,0.444444,0.609254,0.865726,0.014925,0.092784,0.000019,0.001207,0,0,0,0.010312,0,0.025219,0.045131,0.078614,0.000001,0.000001,0.000105,0.000105,0.704143,0.486855,0.631579,0.015625,0.00974,GradStudent
0.009562,0.024523,0.4737,0.008097,0.2105,0.003372,0.025751,0.8571,0.004115,0.5714,0.008425,0,0,0,0,0,0,0.00947,0.7143,0.102564,0.8,0.01487,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.86,0.73,1,1,1,0.006525,0.631575,0.010606,0.425102,0.003018,0.714275,0.004107,0.285725,0.211113,0.159506,0.053086,0.020439,0.000285,0.000063,0,0,0,0,0,0,0,0,0.014721,0.005324,0.013746,0.033898,0.010099,0.84,0.290604,0.002022,0.1579,0,0,0.004354,0.85715,0.011765,0.14285,0.215133,0.31721,0.023111,0.130305,0.000074,0,0,0.489691,0,0.785714,0,0.751954,0,0.082474,0,0.000247,0,0,0,0.00011,0,0.06498,0,0.02785,0,0,0,0,0,0.560516,0.736842,0,0.00487,GradStudent
0.057373,0.111717,0.3596,0.093117,0.4035,0.159923,0.493562,0.3464,0.279835,0.8193,0.144524,0.000581,0.0088,0.002899,1,0.00241,1,0.011364,0.0181,0.102564,0.6667,0.018587,0.8333,0.090909,0.0176,0.090909,1,0.125,1,0.285714,0.006,0.285714,1,0.285714,1,0.17,0.07,0.09,0.68,0.22,0.34,0.061446,0.991225,0.001515,0.010125,0.197345,0.98495,0.010267,0.01505,0.087353,0.037259,0.131035,0.136909,0.075796,0.009141,0.047004,0.350875,0.122239,0.5,0.007168,0.0351,0.003704,0.01205,0.055941,0.159923,0.149341,0,0,0,0,0.043127,0.5614,0.1375,0.192975,0.04717,0.195775,0.094118,0.0241,0.207062,0.402452,0.096645,0.185484,0.006282,0,0,0.370341,0,0.435897,0,0.784785,0,0.134021,0,0.000351,0,0,0,0.009709,0,0.025226,0,0.047757,0,0,0.000001,0.000001,0,0.537068,0.684211,0,0.016234,GradStudent
0.277302,0.294278,0.196,0.267206,0.2396,0.184008,0.369099,0.2251,0.144033,0.3665,0.302333,0.076163,0.2377,0.162319,0.4275,0.084337,0.2672,0.160985,0.2225,0.512821,0.2353,0.204461,0.6471,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.55,0.58,0.78,0.75,0.77,0.184339,0.61525,0.321212,0.443938,0.16717,0.725125,0.215606,0.274875,0.13166,0.071922,0.118507,0.04054,0.003166,0.000462,0.065805,0.101625,0.0243,0.086375,0.075269,0.076225,0.024074,0.068075,0.289695,0.197152,0.334726,0,0,0,0,0.289084,0.778575,0.33125,0.0962,0.203919,0.7356,0.458824,0.1021,0.275012,0.254978,0.186488,0.073067,0.081733,0.001405,0.134328,0.313097,0.5,0.461538,0.751586,0.901241,0.119403,0.278351,0.007244,0.01113,0,0,0.001958,0.078595,0.071429,0.052042,0.104807,0.205067,0.000229,0.000229,0.000836,0.000836,0.570796,0.467669,0.631579,0.0625,0.058442,Director
0.075994,0.087193,0.2119,0.080972,0.2649,0.0342,0.081545,0.2676,0.037037,0.507,0.071938,0,0,0,0,0,0,0.041667,0.3099,0.076923,0.1364,0.052045,0.6364,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.85,0.67,0.85,0.92,0.87,0.056552,0.68875,0.071212,0.359131,0.035003,0.8169,0.026694,0.1831,0.114393,0.088586,0.086231,0.042789,0.006255,0.000968,0.034078,0.19205,0.012518,0.239425,0.032258,0.1192,0.011111,0.169025,0.071708,0.033097,0.071938,0,0,0,0,0.083558,0.8212,0.00625,0.006625,0.029753,0.577475,0.011765,0.014075,0.171478,0.188755,0.059586,0.04893,0.057462,0.028775,0.079602,0.261168,0,0.294118,0.692308,0.882907,0.044776,0.185567,0.000178,0.00118,0,0,0.028499,0.067995,0,0.01808,0.0941,0.126937,0.00001,0.00001,0.000061,0.000061,0.61967,0.47738,0.631579,0.046875,0.032468,Research
0.059386,0.076294,0.2373,0.072874,0.3051,0.181599,0.206009,0.1273,0.228395,0.5889,0.160402,0.021512,0.3136,0.046377,0.4324,0.019277,0.2162,0.198864,0.2785,0.307692,0.1143,0.249071,0.6381,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.65,0.71,0.99,0.99,0.99,0.03752,0.58475,0.074242,0.47913,0.1207,0.5305,0.36345,0.4695,0.167373,0.084948,0.082388,0.047067,0.002381,0.002537,0.018801,0.1356,0.031664,0.11405,0.026882,0.127125,0.034259,0.09815,0.056037,0.175741,0.160401,0,0,0,0,0.049191,0.61865,0.10625,0.144075,0.139332,0.509275,0.317647,0.071625,0.210946,0.261117,0.135304,0.077985,0.242226,0.00547,0.222015,0.408048,0.607143,0.584946,0.799775,0.930458,0.119403,0.319588,0.016776,0.024597,0,0,0.005251,0.331567,0.009456,0.033929,0.096817,0.187891,0.000312,0.000312,0.00109,0.00109,0.536404,0.452984,0.578947,0.078125,0.136364,Director
