pid1 pid1_Status pid2 pid2_Status weight
1 Director 56 Director 365.0
1 Director 12 Director 247.0
1 Director 29 PM 58.0
1 Director 24 PM 57.0
1 Director 57 Research 125.0
1 Director 14 Research 54.0
1 Director 18 Operations 63.0
1 Director 49 Operations 47.0
1 Director 15 Outreach 18.0
67 GradStudent 51 GradStudent 32.0
67 GradStudent 45 GradStudent 30.0
67 GradStudent 25 Director 17.0
67 GradStudent 28 Director 1.0
67 GradStudent 24 PM 17.0
67 GradStudent 29 PM 2.0
67 GradStudent 41 Research 34.0
67 GradStudent 55 Research 33.0
67 GradStudent 18 Operations 15.0
67 GradStudent 9 Operations 15.0
67 GradStudent 15 Outreach 5.0
45 GradStudent 51 GradStudent 97.0
45 GradStudent 67 GradStudent 17.0
45 GradStudent 25 Director 14.0
45 GradStudent 36 Director 1.0
45 GradStudent 24 PM 20.0
45 GradStudent 50 PM 3.0
45 GradStudent 41 Research 49.0
45 GradStudent 47 Research 12.0
45 GradStudent 18 Operations 7.0
45 GradStudent 6 Operations 6.0
45 GradStudent 15 Outreach 1.0
40 GradStudent 54 GradStudent 12.0
40 GradStudent 10 GradStudent 7.0
40 GradStudent 12 Director 18.0
40 GradStudent 28 Director 3.0
40 GradStudent 29 PM 50.0
40 GradStudent 19 Research 21.0
40 GradStudent 33 Research 1.0
40 GradStudent 9 Operations 14.0
40 GradStudent 49 Operations 7.0
14 Research 52 GradStudent 8.0
14 Research 8 GradStudent 8.0
14 Research 25 Director 101.0
14 Research 36 Director 81.0
14 Research 0 PM 89.0
14 Research 24 PM 38.0
14 Research 41 Research 64.0
14 Research 14 Research 36.0
14 Research 18 Operations 117.0
14 Research 49 Operations 22.0
11 GradStudent 11 GradStudent 34.0
11 GradStudent 60 GradStudent 29.0
11 GradStudent 25 Director 26.0
11 GradStudent 12 Director 24.0
11 GradStudent 24 PM 120.0
11 GradStudent 29 PM 40.0
11 GradStudent 5 Research 19.0
11 GradStudent 55 Research 9.0
11 GradStudent 21 Operations 14.0
11 GradStudent 49 Operations 4.0
48 GradStudent 7 GradStudent 4.0
48 GradStudent 23 GradStudent 4.0
48 GradStudent 25 Director 7.0
48 GradStudent 12 Director 1.0
48 GradStudent 24 PM 35.0
48 GradStudent 29 PM 12.0
48 GradStudent 41 Research 43.0
48 GradStudent 16 Research 6.0
48 GradStudent 18 Operations 21.0
48 GradStudent 9 Operations 10.0
48 GradStudent 15 Outreach 1.0
42 GradStudent 37 GradStudent 5.0
42 GradStudent 34 GradStudent 3.0
42 GradStudent 25 Director 26.0
42 GradStudent 12 Director 3.0
42 GradStudent 24 PM 104.0
42 GradStudent 50 PM 5.0
42 GradStudent 16 Research 53.0
42 GradStudent 41 Research 15.0
42 GradStudent 18 Operations 16.0
