,Feature,InfoGain
1,total_sent,0.33336558126093707
2,unique_addresses_sent,0.31496619317338403
3,unique_add_sent_perc,0.36407994490575657
4,unique_subjects_sent,0.2565747542280761
5,unique_sub_sent_perc,0.31715846654404944
6,total_received,0.32417611454173345
7,unique_addresses_received,0.2551234542087628
8,unique_add_rec_perc,0.32130630133198146
9,unique_subjects_received,0.29248411229602556
10,unique_sub_rec_perc,0.36762585456445307
11,total_emails,0.3432427234165458
12,total_sent_signed,0.2682367847305802
13,total_sent_signed_perc,0.15249588124888902
14,unique_addresses_sent_signed,0.2609014646187613
15,unique_add_sent_perc_signed,0.11176953391795674
16,unique_subjects_sent_signed,0.23304783701955012
17,unique_sub_sent_perc_signed,0.2314333601241494
18,total_received_signed,0.5142133525935315
19,total_rec_signed_perc,0.09963514967552234
20,unique_addresses_received_signed,0.39632001311219045
21,unique_add_rec_perc_signed,0.41809561880922863
22,unique_subjects_received_signed,0.5142133525935315
23,unique_sub_rec_perc_signed,0.23716403481485582
24,total_sent_encrypted,0.1598267571647347
25,total_sent_encrypted_perc,0.217785193170982
26,unique_addresses_sent_encrypted,0.1598267571647347
27,unique_add_sent_perc_encrypted,0.1448213292985061
28,unique_subjects_sent_encrypted,0.13731106196662468
29,unique_sub_sent_perc_encrypted,0.13731106196662468
30,total_received_encrypted,0.26693900234680656
31,total_rec_encrypted_perc,0.1955502743084261
32,unique_addresses_received_encrypted,0.27017805391514504
33,unique_add_rec_perc_encrypted,0.18350169105009706
34,unique_subjects_received_encrypted,0.28541954192054675
35,unique_sub_rec_perc_encrypted,0.19684782355903918
36,inter_hume_sent,0.47583226546516944
37,inter_hume_sent_perc,0.10151246426466898
38,inter_hume_rec,0.49194848620207754
39,inter_hume_rec_perc,0.14317928301386162
40,inter_vt_sent,0.3432427234165458
41,inter_vt_sent_perc,0.10385741519755332
42,inter_vt_rec,0.4287997255268401
43,inter_vt_rec_perc,0.10809200238531291
44,sent_to,0.3167677982504058
45,sent_to_perc,0.18293756699909336
46,sent_cc,0.4302078766988886
47,sent_cc_perc,0.18293756699909336
48,rec_to,0.2775735227729208
49,rec_to_perc,0.3351305504965645
50,rec_cc,0.4998539122980281
51,rec_cc_perc,0.3351305504965645
52,avg_recipients_sent,0.35742839111052227
53,avg_recipients_rec,0.1463184654489713
54,avg_body_chars_sent,0.23000149411458892
55,avg_body_chars_rec,0.1856119976470536
56,var_body_chars_sent,0.14287480766573424
57,var_body_chars_rec,0.11613801593870043
58,after_hours_sent,0.21815659599266723
59,after_hours_sent_perc,0.321798860175706
60,after_hours_rec,0.26182189092978736
61,after_hours_rec_perc,0.12512755678015264
62,after_hours_sent_hume,0.349386145638106
63,after_hours_sent_hume_perc,0.19445058526154346
64,after_hours_rec_hume,0.3944313498619265
65,after_hours_rec_hume_perc,0.07787689584238322
66,avg_sent_per_day,0.4041587906270523
67,avg_rec_per_day,0.4892620645978565
68,avg_emails_per_day,0.47925407664815367
69,attached_sent,0.3563781420634098
70,attached_rec,0.3804567201515363
71,avg_attachments_sent,0.2741969997033098
72,avg_attachments_rec,0.2903794612080952
73,sent_re,0.32210588189845635
74,sent_re_perc,0.19308608358938395
75,sent_fw,0.38822812189197964
76,sent_fw_perc,0.37615299514429124
77,rec_re,0.41015506300180204
78,rec_re_perc,0.2750072380697446
79,rec_fw,0.5188304717614656
80,rec_fw_perc,0.45111955143278193
81,avg_subject_chars_sent,0.2591734359125273
82,avg_subject_chars_rec,0.20033809414369763
83,var_subject_chars_sent,0.24191150859105637
84,var_subject_chars_rec,0.1766017905356425
85,fg_between_centrality,0.11042817105840985
86,pg_between_centrality,0.13258697796802243
87,pg_avg_neighbor_degree,0.35456612381666197
88,fg_avg_neighbor_degree,0.3062910748466954
89,pg_clustering,0.24008806196452026
90,fg_clustering,0.3142572161701689
91,pg_closeness_centrality,0.10208256329391752
92,fg_closeness_centrality,0.16334007498811243
93,pg_degree_centrality,0.4476752984790089
94,fg_degree_centrality,0.30115137535574954
95,pg_current_flow_closeness_centrality,0.5118655907643581
96,fg_current_flow_closeness_centrality,0.49194848620207754
97,pg_current_flow_betweenness_centrality,0.3347200673845556
98,fg_current_flow_betweenness_centrality,0.24586259591260173
99,pg_communicability_centrality,0.48567839256192347
100,fg_communicability_centrality,0.31686992916002144
101,pg_communicability_betweenness_centrality,0.48567839256192347
102,fg_communicability_betweenness_centrality,0.31686992916002144
103,pg_square_clustering,0.2725852821285959
104,fg_square_clustering,0.29857322940710596
105,pg_eccentricity,0.25057656212172175
106,fg_eccentricity,0.16793896133674124
107,pg_pagerank,0.5118655907643581
108,fg_pagerank,0.49194848620207754
109,pg_hubs,0.5887432894180811
110,pg_authorities,0.5887432894180811
111,fg_hubs,0.5538573201043073
112,fg_authorities,0.5538573201043073
113,pg_avg_shortest_paths_x,0.4476752984790089
114,pg_avg_shortest_paths_y,0.30115137535574954
115,fg_max_shortest_paths,0.16793896133674124
116,pg_num_cliques,0.46953454246958715
117,fg_num_cliques,0.2745361336142953
118,pg_degree,0.4476752984790089
119,fg_degree,0.30115137535574954
