pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
ahmed12,0,0,0.0,0,0.0,12,6,0.5,10,0.8333,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,100,0,0,100,0,0,0.0,0,0.0,9,0.75,3,0.25,0.0,3.0833,2,0.0,612.75,0.0,462350.35416666674,0,0.0,1,0.0833,0,0.0,1,0.0833,0.0,0.7059,0.7059,0,4,0.0,0.33,0,0.0,0,0.0,4,0.3333,4,0.3333,2,0.0,19.0,0.0,41.42857142857143,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.27393617021276595,0.0,0.009708737864077669,0.0,0.7648630200568431,0.0,0.0,0.0,4063861.241547903,0.0,0.001683666931309758,0.0,0.0,0.0,4,0.0,0.0015598593595860248,0.0,0.0,3.545406224968457e-05,3.545406220446862e-05,0.0,2.644230769230769,0.0,1,0.0,1,Research
apoetter,327,74,0.2263,66,0.2018,385,91,0.2364,203,0.5273,712,213,0.6514,56,0.2629,53,0.2488,26,0.0675,16,0.6154,20,0.7692,6,0.0183,6,1.0,1,0.1667,1,0.0026,1,1.0,1,1.0,66,45,54,87,84,86,192,0.5872,135,0.4128,267,0.6935,118,0.3065,3.1143,1.6805,2,629.2446483180428,884.2519480519479,406952.39886279654,1537822.7650936076,58,0.1774,77,0.2,37,0.1131,48,0.1247,15.5714,18.3333,33.9048,212,107,0.65,0.28,156,0.4771,28,0.0856,162,0.4208,17,0.0442,2,80.15261044176707,37.43636363636364,1208.6112482056747,703.1126170798884,0.15239620741358803,0.0728744939271255,11.0,18.62745098039216,0.5,0.2797619047619048,0.026566757493188008,0.3614035087719297,0.23076923076923075,0.4951456310679611,25.12136733198871,3.199010650369507,0.13098930106282405,0.2660671951204816,450.88271790957236,2706311721.009052,0.3588896304548746,0.7345437654572305,0.1485148514851485,0.1479753314162733,4.0,3,0.044273155155193616,0.048350176699498836,0.0628398664178226,0.0628398663297683,0.05851938360419344,0.05851938353816416,1.85,1.5480769230769231,6.0,120,9.0,51,PM
arog3632,84,31,0.369,26,0.3095,206,89,0.432,160,0.7767,290,0,0.0,0,0.0,0,0.0,6,0.0291,2,0.3333,2,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,21,18,64,50,54,75,0.8929,9,0.1071,199,0.966,7,0.034,1.2727,1.9461,2,386.91666666666674,1316.621359223301,112715.79067460321,6659718.487699124,17,0.2024,39,0.1893,1,0.0119,1,0.0049,3.0,7.3571,10.3571,38,55,0.45,0.27,51,0.6071,1,0.0119,52,0.2524,4,0.0194,2,21.48837209302325,40.952380952380956,147.6917252568956,574.9739229024941,0.06390901684935346,0.05128205128205128,11.0,25.642857142857146,0.0,0.4848484848484849,0.01100762066045724,0.3333333333333333,0.05128205128205128,0.13592233009708735,19.10385026096484,3.0978650032188964,0.05128205128205128,0.07670697812742573,16.58305788135828,305831791.11078733,0.06346412416054042,0.16895672228791286,0.0,0.1639871382636656,4.0,3,0.01744633243807352,0.014500479483382834,0.026034328657010903,0.0260343285146162,0.02489710191577536,0.02489710179284892,2.375,2.0576923076923075,2.0,6,2.0,14,GradStudent
awais,0,0,0.0,0,0.0,6,3,0.5,3,0.5,6,0,0.0,0,0.0,0,0.0,3,0.5,2,0.6667,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,100,0,0,100,0,0,0.0,0,0.0,6,1.0,0,0.0,0.0,2.5,2,0.0,503.5,0.0,206998.5833333333,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.8571,0.8571,0,0,0.0,0.0,0,0.0,0,0.0,5,0.8333,1,0.1667,2,42.73333333333333,19.0,435.6622222222223,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.11183496199782844,0.0,0.009708737864077669,0.0,2.0906022183948183,0.0,0.0,0.0,4639376.560790971,0.0,0.0019684084297392477,0.0,0.0,0.0,4,0.0,0.0021238163546850423,0.0,0.0,0.000460677556729269,0.0004606775590074933,0.0,2.5673076923076925,0.0,1,0.0,1,GradStudent
bdeird7,47,23,0.4894,24,0.5106,164,60,0.3659,132,0.8049,211,4,0.0851,4,1.0,3,0.75,9,0.0549,5,0.5556,8,0.8889,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40,48,46,55,57,56,39,0.8298,8,0.1702,140,0.8537,24,0.1463,1.2703,1.1825,2,414.1702127659574,995.4878048780487,241450.14124038033,1097603.0669244498,19,0.4043,52,0.3171,6,0.1277,2,0.0122,1.8077,6.3077,8.1154,15,54,0.32,0.33,27,0.5745,4,0.0851,40,0.2439,3,0.0183,2,25.115384615384613,62.615384615384606,175.71745562130175,723.4674556213017,0.01695311003274785,0.0,17.0,28.88888888888889,1.0,0.7666666666666667,0.02314540059347181,0.3344155844155844,0.05128205128205128,0.17475728155339804,16.407619731417142,3.102161790128303,0.00419369012029612,0.05437520249748425,44.81767499090939,709446497.8261976,0.03638380297805683,0.2546675607237229,0.1951219512195122,0.18888981427500626,4.0,3,0.009369946255310482,0.010350621084053034,0.015399377607948881,0.015399377562566182,0.01609349340616795,0.016093493369615085,2.325,2.0,1.0,13,2.0,18,GradStudent
ccallsen,88,28,0.3182,18,0.2045,72,21,0.2917,36,0.5,160,0,0.0,0,0.0,0,0.0,4,0.0556,3,0.75,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,85,71,79,95,88,92,53,0.6023,35,0.3977,22,0.3056,50,0.6944,4.0,3.0545,2,348.59090909090907,432.3055555555555,21872.105371900827,338624.4066358025,0,0.0,28,0.3889,0,0.0,23,0.3194,4.0,3.2727,7.2727,4,30,0.05,0.42,43,0.4886,4,0.0455,49,0.6806,3,0.0417,2,35.49618320610687,36.470588235294116,426.4077462463334,341.8177623990772,0.003119568823368333,0.145748987854251,11.666666666666664,27.30769230769231,0.5333333333333333,0.6956521739130435,0.028697571743929364,0.3159509202453988,0.15384615384615385,0.2524271844660194,21.224534258563768,3.1485972594110314,0.048825980645253717,0.05595036733233245,207.1346947355991,1496320330.9763913,0.1798456383483773,0.4621732180215094,0.1131687242798354,0.2000336403010807,3.0,3,0.01766995061795914,0.016175131822381016,0.017966969067687154,0.017966969120381624,0.018830837293625956,0.018830837341578158,1.975,1.8942307692307687,4.0,47,6.0,26,Director
cheadley,95,21,0.2211,31,0.3263,153,25,0.1634,70,0.4575,248,26,0.2737,15,0.5769,8,0.3077,25,0.1634,8,0.32,18,0.72,1,0.0105,1,1.0,1,1.0,2,0.0131,2,1.0,2,1.0,100,98,99,100,98,99,69,0.7263,26,0.2737,90,0.5882,63,0.4118,2.3171,2.3049,2,317.69473684210527,503.5751633986928,71816.96997229918,312165.81297791447,28,0.2947,50,0.3268,28,0.2947,48,0.3137,4.1304,6.6522,10.7826,24,63,0.25,0.41,47,0.4947,6,0.0632,86,0.5621,5,0.0327,2,25.339285714285715,30.470588235294123,159.65274234693874,871.1314878892733,0.04902247159528713,0.07692307692307691,8.333333333333334,25.068965517241377,0.26666666666666666,0.5123152709359606,0.0273492286115007,0.32907348242811496,0.15384615384615385,0.2815533980582524,20.07460961594996,3.156839633998823,0.08828087436198083,0.05868828149396894,120.04803189376024,1505782640.031857,0.14542322662437868,0.4927753937190771,0.140625,0.1621317128128094,4.0,3,0.02067092942252256,0.01889907656876149,0.006035467039251065,0.0060354670608768705,0.009578895839239106,0.009578895868386046,2.125,1.75,4.0,39,6.0,29,Research
cthomp,92,39,0.4239,9,0.0978,189,25,0.1323,166,0.8783,281,4,0.0435,4,1.0,1,0.25,8,0.0423,4,0.5,7,0.875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,95,21,45,100,99,100,77,0.837,15,0.163,96,0.5079,93,0.4921,8.3636,1.8993,2,686.75,344.5502645502646,170706.79619565216,188711.11519834274,0,0.0,47,0.2487,0,0.0,7,0.037,3.4074,7.0,10.4074,114,21,1.24,0.11,22,0.2391,6,0.0652,23,0.1217,0,0.0,2,17.775862068965516,40.864077669902905,84.58769322235439,152.81647657649162,0.1402463875757774,0.0,14.5,23.56410256410257,0.0,0.46996996996997,0.0197869101978691,0.3759124087591241,0.05128205128205128,0.37864077669902907,17.758339177276707,3.153257264708265,0.029164102620112643,0.09109132022598966,29.879491004852905,2474227359.669202,0.02847900158206957,0.6707814450345585,0.07692307692307693,0.155082676061977,4.0,3,0.01258870917722052,0.01922315493506156,0.004807685920335235,0.004807685932367814,0.01343651800505392,0.01343651804028272,2.275,1.6634615384615383,2.0,140,2.0,39,Director
deannac,377,58,0.1538,74,0.1963,222,65,0.2928,127,0.5721,599,333,0.8833,56,0.1682,60,0.1802,40,0.1802,11,0.275,22,0.55,2,0.0053,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0,86,49,72,99,87,95,337,0.8939,40,0.1061,171,0.7703,51,0.2297,3.1949,1.1216,2,334.97612732095484,943.391891891892,97444.50075635508,1356980.094168493,0,0.0,33,0.1486,0,0.0,5,0.0225,13.4643,7.9286,21.3929,87,67,0.23,0.3,184,0.4881,10,0.0265,91,0.4099,11,0.0495,2,33.59285714285714,38.875,164.61280612244926,593.6862980769231,0.0651746414953154,0.10931174089068824,7.875,20.70212765957447,0.32142857142857145,0.35353535353535354,0.026804123711340205,0.3333333333333333,0.20512820512820512,0.4563106796116505,23.514022607035574,3.192006926701592,0.17731805730392072,0.1982257068612765,213.2276675202269,2824622269.21527,0.259240652239812,0.7271260446020245,0.19217081850533807,0.14227222850030302,3.0,3,0.03415426000731184,0.03995511620653944,0.025102534970212868,0.025102534872072386,0.0290982279784844,0.029098227908525294,2.025,1.5865384615384617,6.0,137,8.0,47,Operations
example,15,9,0.6,9,0.6,18,8,0.4444,11,0.6111,33,11,0.7333,8,0.7273,6,0.5455,12,0.6667,4,0.3333,6,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,100,100,100,100,100,12,0.8,3,0.2,17,0.9444,1,0.0556,1.3636,3.6,2,290.6,316.1666666666667,111471.04000000002,59037.25,0,0.0,3,0.1667,0,0.0,3,0.1667,0.9375,1.125,2.0625,0,0,0.0,0.0,8,0.5333,0,0.0,10,0.5556,1,0.0556,2,40.16666666666666,25.75,209.13888888888889,63.1875,0.007183196903356814,0.0,0.0,31.5,0.0,0.7333333333333333,0.0,0.2959770114942529,0.0,0.09708737864077667,0.0,2.71284233078637,0.0,0.0067218029619511115,0.0,250464553.7346831,0.0,0.10431991248711607,0.0,0.13381523272214385,0.0,3,0.0,0.003364488942232261,0.0,0.0,0.0013289561778819484,0.0013289561839986911,0.0,2.1153846153846154,0.0,4,0.0,10,GradStudent
