@relation 2_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0.010508,0.022059,0.720133,0.015419,0.924063,0.00738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.009416,0.722961,0.024194,0.277039,0,0.801269,0,0,0.2449,0,0.008237,0,0,0.005291,0.214194,0,0,0.014286,0.260802,0,0.001966,0,0,0.016736,0,0.417722,0,0,0,0,0,0.287735,0.222222,1,0,0,0.086622,0,0.020564,0,0,0,0.829787,0,0,0,0.702128,0,0.019608,0,0.238763,0,0,0,0.001439,0,0.002241,0,0,0,1,0,0.028501,0,0,0.000409,0.000409,0,1,0,0.005464,0,0.019608,Research
0.751724,0.596774,0.2263,0.785714,0.2018,0.663748,0.647059,0.203878,0.440529,0.407695,0.868389,0.63964,0.6514,1,0.2629,0.883333,0.2488,0.45614,0.101245,1,0.6154,0.512821,0.7692,0.6,0.0366,0.6,1,0.5,0.1667,0.2,0.135417,0.2,1,0.2,1,0.66,0.388889,0.54,0.87,0.786667,0.86,0.507937,0.5872,0.642857,0.720922,0.495292,0.66035,0.951613,0.33965,0.372364,0.261731,0,0.428161,0.41385,0.220809,0.028515,0.218045,0.233206,0.407407,0.514271,0.25,0.219484,0.685714,0.39042,0.963947,0.88597,1,0.370629,0.447699,0.451389,0.35443,0.441926,0.4771,0.756757,0.286863,0.868132,0.406717,0.944444,0.132613,0,1,0.47271,0.547206,0.349003,0.876583,0.197441,0.52381,0.396329,0.5,0.279762,0.803134,0.926316,0.428571,1,0.959621,0.998616,0.395709,1,0.415168,0.958115,0.499425,0.977685,0.638614,0.508564,0.8,0.75,0.573184,0.883429,0.644939,0.644939,0.674424,0.674424,0.601626,0.585455,0.285714,0.655738,0.428571,1,PM
0.193103,0.25,0.369,0.309524,0.3095,0.350263,0.632353,0.586957,0.345815,0.828552,0.349323,0,0,0,0,0,0,0.105263,0.043648,0.125,0.3333,0.051282,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.122222,0.18,0.64,0.333333,0.54,0.198413,0.8929,0.042857,0.187042,0.367232,0.962323,0.056452,0.037677,0.152171,0.363885,0,0.263272,0.682904,0.061159,0.125087,0.06391,0.266071,0.206349,0.486758,0.006757,0.023093,0.014286,0.015341,0.185715,0.33552,0.290708,0.066434,0.230126,0.3125,0.341772,0.144476,0.6071,0.027027,0.039879,0.263736,0.177726,0.222222,0.058206,0,0.268093,0.546341,0.066868,0.285399,0.367605,0.13894,0.52381,0.545593,0,0.484848,0.332769,0.854369,0.095238,0.27451,0.729755,0.967042,0.154919,0.288299,0.015269,0.108274,0.088316,0.224883,0,0.563593,0.8,0.75,0.22587,0.264945,0.267196,0.267196,0.286934,0.286934,0.772358,0.778182,0.095238,0.032787,0.095238,0.27451,GradStudent
0,0,0,0,0,0,0,0.720133,0,0.361627,0,0,0,0,0,0,0,0.052632,0.749963,0.125,0.6667,0.076923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.003766,1,0,0,0,0.576923,0,0,0.176917,0,0.003422,0,0,0,0,0,0,0,0,0,0.009548,0.004554,0,0,0,0,0,0,0,0,0.005495,0.967637,0.055556,0.50015,0,0.53315,0.086622,0.197249,0,0,0,0,1,0,0,0,0.286645,0,0.019608,0,0.652611,0,0,0,0.001642,0,0.00262,0,0,0,1,0,0.038805,0,0,0.005309,0.005309,0,0.970909,0,0.005464,0,0.019608,GradStudent
0.108046,0.185484,0.4894,0.285714,0.5106,0.276708,0.419118,0.457501,0.284141,0.876139,0.252153,0.012012,0.0851,0.071429,1,0.05,0.75,0.157895,0.082346,0.3125,0.5556,0.205128,0.8889,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.422222,0.46,0.55,0.426667,0.56,0.103175,0.8298,0.038095,0.297241,0.256121,0.837877,0.193548,0.162123,0.151884,0.070192,0,0.281817,0.48307,0.131009,0.020214,0.071429,0.531484,0.275132,0.815377,0.040541,0.247817,0.028571,0.038197,0.111906,0.282893,0.223185,0.026224,0.225941,0.222222,0.417722,0.076487,0.5745,0.108108,0.285188,0.197802,0.166168,0.166667,0.054905,0,0.313345,1,0.079557,0.359106,0.097514,0,0.809524,0.614657,1,0.766667,0.699703,0.857143,0.095238,0.352941,0.626761,0.968384,0.012669,0.204366,0.041268,0.251165,0.050631,0.338965,0.839024,0.649179,0.8,0.75,0.121308,0.189121,0.158047,0.158047,0.185474,0.185474,0.756098,0.756364,0.047619,0.071038,0.095238,0.352941,GradStudent
0.202299,0.225806,0.3182,0.214286,0.2045,0.115587,0.132353,0.312182,0.072687,0.361627,0.189422,0,0,0,0,0,0,0.070175,0.083396,0.1875,0.75,0.102564,1,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.677778,0.79,0.95,0.84,0.92,0.140212,0.6023,0.166667,0.694551,0.033898,0.230496,0.403226,0.769504,0.478263,0.790192,0,0.237194,0.132614,0.011868,0.005904,0,0,0.148148,1,0,0,0.328571,1,0.24762,0.130689,0.197802,0.006993,0.125523,0.034722,0.531646,0.121813,0.4886,0.108108,0.15248,0.247253,0.759995,0.166667,0.125113,0,0.442857,0.452485,0.193059,0.169668,0.017944,0.394881,0.555556,0.581015,0.533333,0.695652,0.86755,0.809816,0.285714,0.509804,0.810764,0.982879,0.1475,0.210287,0.190727,0.529742,0.25027,0.615157,0.486626,0.687478,0.6,0.75,0.228765,0.295543,0.184399,0.184399,0.217022,0.217022,0.642276,0.716364,0.190476,0.256831,0.285714,0.509804,Director
0.218391,0.169355,0.2211,0.369048,0.3263,0.257443,0.161765,0.060909,0.147577,0.289909,0.297663,0.078078,0.2737,0.267857,0.5769,0.133333,0.3077,0.438596,0.245088,0.5,0.32,0.461538,0.72,0.1,0.021,0.1,1,0.5,1,0.4,0.682292,0.4,1,0.4,1,1,0.977778,0.99,1,0.973333,0.99,0.18254,0.7263,0.12381,0.477995,0.161959,0.543661,0.508065,0.456339,0.277046,0.501885,0,0.216171,0.176963,0.038967,0.005405,0.105263,0.387406,0.26455,0.840319,0.189189,0.5719,0.685714,0.982154,0.255692,0.30017,0.303525,0.041958,0.263598,0.173611,0.518987,0.133144,0.4947,0.162162,0.211796,0.450549,0.598858,0.277778,0.09811,0,0.316138,0.326835,0.072284,0.432402,0.281977,0.20841,0.396825,0.533382,0.266667,0.512315,0.826788,0.84345,0.285714,0.568627,0.766838,0.985452,0.26669,0.220577,0.110539,0.533092,0.202369,0.655889,0.604688,0.557216,0.8,0.75,0.267617,0.345314,0.061943,0.061943,0.110395,0.110395,0.691057,0.661818,0.190476,0.213115,0.285714,0.568627,Research
0.211494,0.314516,0.4239,0.107143,0.0978,0.32049,0.161765,0,0.359031,1,0.338253,0.012012,0.0435,0.071429,1,0.016667,0.25,0.140351,0.063447,0.25,0.5,0.179487,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.122222,0.45,1,0.986667,1,0.203704,0.837,0.071429,0.284666,0.173258,0.454676,0.75,0.545324,1,0.345885,0,0.46729,0.078006,0.092624,0.003077,0,0,0.248677,0.639496,0,0,0.1,0.115842,0.210935,0.317611,0.292224,0.199301,0.087866,0.861111,0.139241,0.062323,0.2391,0.162162,0.218499,0.104396,0,0,0,0,0.221775,0.544492,0.038298,0.075853,0.806698,0,0.690476,0.501364,0,0.46997,0.598174,0.963504,0.095238,0.764706,0.678358,0.984334,0.088103,0.342362,0.027513,0.87595,0.039631,0.892817,0.330769,0.53299,0.8,0.75,0.16298,0.351235,0.049342,0.049342,0.154853,0.154853,0.739837,0.629091,0.095238,0.765027,0.095238,0.764706,Director
0.866667,0.467742,0.1538,0.880952,0.1963,0.378284,0.455882,0.314336,0.273128,0.483294,0.729397,1,0.8833,1,0.1682,1,0.1802,0.701754,0.270286,0.6875,0.275,0.564103,0.55,0.2,0.0106,0.2,1,1,1,0,0,0,0,0,0,0.86,0.433333,0.72,0.99,0.826667,0.95,0.891534,0.8939,0.190476,0.185295,0.314501,0.745457,0.41129,0.254543,0.382001,0.046769,0,0.22793,0.450652,0.052873,0.025105,0,0,0.174603,0.382103,0,0,0.071429,0.070445,0.833507,0.36418,0.623123,0.152098,0.280335,0.159722,0.379747,0.521246,0.4881,0.27027,0.088807,0.478022,0.391896,0.611111,0.148515,0,0.419111,0.502837,0.074529,0.294687,0.374885,0.296161,0.375,0.440471,0.321429,0.353535,0.810309,0.854369,0.380952,0.921569,0.898221,0.99643,0.535665,0.745021,0.196338,1,0.360755,0.967812,0.826335,0.488963,0.6,0.75,0.442179,0.730039,0.257633,0.257633,0.335351,0.335351,0.658537,0.6,0.285714,0.748634,0.380952,0.921569,Operations
0.034483,0.072581,0.6,0.107143,0.6,0.021016,0.036765,0.611242,0.017621,0.549106,0.03321,0.033033,0.7333,0.142857,0.7273,0.1,0.5455,0.210526,1,0.25,0.3333,0.153846,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.031746,0.8,0.014286,0.349284,0.024482,0.938387,0.008065,0.061613,0.16304,1,0,0.197735,0.060343,0.060483,0.000632,0,0,0.015873,0.428645,0,0,0.042857,0.521916,0.058036,0.022983,0.040863,0,0,0,0,0.022663,0.5333,0,0,0.032967,0.590019,0.055556,0.166817,0,0.501127,0.227978,0.094689,0.031364,0.041318,0,0,0.670213,0,0.733333,0,0.758621,0,0.196078,0,0.846852,0,0.025264,0,0.088672,0,0.138851,0,0.459898,0,0.75,0,0.061474,0,0,0.015316,0.015316,0,0.8,0,0.021858,0,0.196078,GradStudent
