pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_hume_all,inter_vt_sent,inter_vt_received,inter_vt_all,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,time_seg,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,time_seg.1,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,fg_current_flow_closeness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,fg_eccentricity,pg_hubs,pg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
jacouch,18,14,0.7778,3,0.1667,2,2,1.0,2,1.0,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,72,50,70,89,100,90,13,0.7222,5,0.2778,2,1.0,0,0.0,6.0,1.0,0,408.83333333333326,912.0,158565.13888888888,217156.0,3,0.1667,0,0.0,2,0.1111,0,0.0,2.5714,0.2857,2.8571,6,1,0.33,0.5,15,0.8333,0,0.0,1,0.5,0,0.0,0,34.0,26.5,0.0,56.25,0.08096713133715908,0.0,0.0,11.3,0.0,0.3555555555555556,0.0,0.34057971014492755,0.0,0.2127659574468085,4.063531050550683,0.048602113286437584,0.0,1628.9487098405825,0.0,0.24900185615679254,0.0,0.12944983818770225,3,0.0,0.0,0.0,1.9166666666666667,0.0,6,0.0,10,GradStudent
jmahal,2,2,1.0,1,0.5,4,3,0.75,3,0.75,6,0,0.0,0,0.0,0,0.0,2,0.5,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,100,100,100,100,100,1,0.5,1,0.5,4,1.0,0,0.0,2.0,2.5,0,63.0,462.75,0.0,7969.1875,2,1.0,0,0.0,2,1.0,0,0.0,0.4,0.8,1.2,2,0,1.0,0.0,0,0.0,0,0.0,1,0.25,0,0.0,0,21.625,19.25,0.984375,21.1875,0.0080172679617638,0.0,0.0,10.5,0.0,1.0,0.0,0.2670454545454545,0.0,0.0425531914893617,1.3961502261279632,0.004047344767517934,0.0,49.92900946178492,0.0,0.008233935284287943,0.0,0.25,4,0.0,0.0,0.0,2.708333333333333,0.0,1,0.0,2,GradStudent
jmernst,51,18,0.3529,11,0.2157,58,15,0.2586,31,0.5345,109,13,0.2549,8,0.6154,4,0.3077,15,0.2586,5,0.3333,9,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,96,93,94,98,95,96,33,0.6471,18,0.3529,40,0.6897,18,0.3103,3.0,1.381,0,162.27450980392157,583.4310344827586,22127.061899269516,546720.2107609988,36,0.7059,22,0.3793,36,0.7059,22,0.3793,7.2857,8.2857,15.5714,3,19,0.06,0.33,44,0.8627,0,0.0,33,0.569,1,0.0172,0,19.852941176470583,38.086206896551715,26.97837370242216,1035.4236028537453,0.17923392775381672,0.0,0.0,9.333333333333334,0.0,0.2571428571428571,0.0,0.3700787401574803,0.0,0.44680851063829785,4.863953193376113,0.18243817637232865,0.0,5259.708869338767,0.0,0.6392507949384036,0.0,0.09487590072057646,3,0.0,0.0,0.0,1.6041666666666667,0.0,25,0.0,21,Research
jrmurphy,0,0,0.0,0,0.0,12,1,0.0833,12,1.0,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,100,0,0,0.0,0,0.0,12,1.0,0,0.0,0.0,1.8571,0,0.0,207.66666666666663,0.0,471.5555555555555,0,0.0,2,0.1667,0,0.0,0,0.0,0.0,2.4,2.4,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48.66666666666666,0.0,3.5555555555555567,0.0,0.0,0.0,14.5,0.0,0.6666666666666666,0.0,0.23737373737373735,0.0,0.0851063829787234,3.5434447438820698,0.01993734320019509,0.0,325.36262517092115,0.0,0.05544053326881156,0.0,0.1485148514851485,3,0.0,0.0,0.0,2.208333333333333,0.0,2,0.0,4,Operations
jziegler,4,4,1.0,3,0.75,30,9,0.3,22,0.7333,34,2,0.5,2,1.0,2,1.0,7,0.2333,3,0.4286,2,0.2857,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,100,100,100,100,100,4,1.0,0,0.0,29,0.9667,1,0.0333,1.3333,1.1034,0,304.0,769.6,5656.5,395973.90666666673,0,0.0,4,0.1333,0,0.0,4,0.1333,0.5714,4.2857,4.8571,0,15,0.0,0.5,2,0.5,0,0.0,13,0.4333,0,0.0,0,9.368421052631579,48.56666666666667,77.49584487534624,992.5122222222225,0.020993234846148817,0.0,0.0,16.8,0.0,0.9,0.0,0.3263888888888889,0.0,0.10638297872340426,3.5487147727280868,0.013232369468446595,0.0,784.2390762714156,0.0,0.11806140664651707,0.0,0.1252236135957066,3,0.0,0.0,0.0,2.083333333333333,0.0,2,0.0,5,Research
kgantt,0,0,0.0,0,0.0,2,1,0.5,2,1.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,100,0,0,0.0,0,0.0,1,0.5,1,0.5,0.0,0.0,0,0.0,229.5,0.0,110.25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.4,0.4,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,31.09090909090909,45.0,66.17355371900824,1.0,0.005812519272278756,0.0,0.0,8.0,0.0,0.0,0.0,0.281437125748503,0.0,0.0425531914893617,1.387147294759854,0.006181534531179175,0.0,40.44336182081882,0.0,0.0067193286873273314,0.0,0.08695652173913042,4,0.0,0.0,0.0,2.6666666666666665,0.0,2,0.0,2,Outreach
kkarranc,0,0,0.0,0,0.0,20,12,0.6,11,0.55,20,0,0.0,0,0.0,0,0.0,2,0.1,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,100,0,0,100,0,0,0.0,0,0.0,13,0.65,7,0.35,0.0,1.0,0,0.0,752.4,0.0,250464.94,0,0.0,7,0.35,0,0.0,7,0.35,0.0,3.3333,3.3333,0,8,0.0,0.4,0,0.0,0,0.0,9,0.45,1,0.05,0,0.0,53.9,0.0,1728.789999999999,0.0010873569846742831,0.0,0.0,18.5,0.0,0.6666666666666666,0.0,0.29936305732484075,0.0,0.0851063829787234,3.8201089735413953,0.014865261921737429,0.0,542.5970598631704,0.0,0.0835435213076742,0.0,0.14285714285714285,3,0.0,0.0,0.0,2.145833333333333,0.0,2,0.0,4,Research
krich,0,0,0.0,0,0.0,8,1,0.125,8,1.0,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,100,0,0,0.0,0,0.0,0,0.0,8,1.0,0.0,0.0,0,0.0,197.125,0.0,293.109375,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.6,1.6,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.2568306010928962,0.0,0.0425531914893617,2.5567471024678654,0.0046856806433269406,0.0,117.7559684941758,0.0,0.01890434670559707,0.0,0.1794871794871795,3,0.0,0.0,0.0,2.333333333333333,0.0,2,0.0,2,Operations
ksterne,9,7,0.7778,6,0.6667,109,60,0.5505,92,0.844,118,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,9,9,33,41,41,9,1.0,0,0.0,102,0.9358,7,0.0642,1.0,1.0,0,393.33333333333326,2625.788990825688,64083.111111111124,99809189.78116316,1,0.1111,32,0.2936,1,0.1111,1,0.0092,1.2857,15.5714,16.8571,7,19,0.78,0.17,7,0.7778,1,0.1111,19,0.1743,4,0.0367,0,32.15,45.34862385321101,479.4275,675.8968100328259,0.0425531914893617,0.0,0.0,11.5,0.0,0.5,0.0,0.27167630057803466,0.0,0.1276595744680851,3.863646733650316,0.09449847126086616,0.0,503.655132887357,0.0,0.10863745219149967,0.0,0.1566265060240964,3,0.0,0.0,0.0,2.145833333333333,0.0,2,0.0,6,Research
leslie,150,25,0.1667,18,0.12,44,15,0.3409,28,0.6364,194,0,0.0,0,0.0,0,0.0,9,0.2045,3,0.3333,5,0.5556,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,93,95,94,94,100,95,135,0.9,15,0.1,30,0.6818,14,0.3182,5.7692,1.0,0,827.3066666666666,308.34090909090907,104790.23928888873,154999.72469008266,0,0.0,1,0.0227,0,0.0,1,0.0227,21.4286,6.2857,27.7143,109,18,0.73,0.41,17,0.1133,1,0.0067,30,0.6818,2,0.0455,0,78.58273381294964,33.02272727272727,699.9697738212317,433.8858471074378,0.04324699352451434,0.03571428571428571,1.0,8.666666666666666,0.0,0.2065217391304348,0.019230769230769232,0.2655367231638418,0.25,0.5106382978723404,5.095906370905231,0.4039171783134062,2.178183556608567,5839.277258812479,0.0,0.7150746158798824,0.0,0.08267913813262068,2,2.8788529828595905e-13,4.233520246188482e-12,0.6666666666666666,1.4583333333333333,2.0,27,2.0,24,Operations
