pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
cheadley,2180,184,0.0844,741,0.3399,2341,201,0.0859,1281,0.5472,4521,475,0.2179,92,0.1937,174,0.3663,612,0.2614,30,0.049,327,0.5343,9,0.0041,9,1.0,9,1.0,18,0.0077,18,1.0,17,0.9444,70,85,92,91,1657,0.7601,523,0.2399,1777,0.7591,564,0.2409,1.6991,2.9628,233.62660550458716,546.5929090132422,86919.1174572845,431435.6262461722,420,0.1927,436,0.1862,303,0.139,361,0.1542,1.9945,2.1418,4.1363,426,846,0.2,0.36,1602,0.7349,68,0.0312,1052,0.4494,130,0.0555,22.543577981651374,36.13583938487826,188.27195417052383,959.3339611600206,0.016032081202737764,0.00820993745086975,31.705882352941174,41.793103448275865,0.6008064516129032,0.5837662337662337,0.6230769230769231,0.7456140350877193,0.41975308641975306,0.6823529411764706,120.83216700568352,0.04523735280186601,460003741824.6121,2.1043371158114813e+17,0.47677567762645096,0.008209189342266606,0.016029278257898242,0.2743027349038722,0.23779372702798315,2.0,0.011186467885502328,0.011219793232668257,0.003245317455043233,0.00324531745661438,0.003238202344264225,0.0032382023458767018,1.5853658536585369,2.0,1.3255813953488371,2.0,44.0,176.0,Research
chrisdob,134,24,0.1791,67,0.5,398,42,0.1055,212,0.5327,532,0,0.0,0,0.0,0,0.0,49,0.1231,8,0.1633,22,0.449,5,0.0373,5,1.0,4,0.8,2,0.005,2,1.0,2,1.0,94,91,96,95,119,0.8881,15,0.1119,275,0.691,123,0.309,1.2407,2.46,316.7537313432836,566.2462311557789,463681.29009801726,243163.46198328325,22,0.1642,39,0.098,21,0.1567,36,0.0905,0.1455,0.4321,0.5776,24,92,0.18,0.23,105,0.7836,3,0.0224,180,0.4523,17,0.0427,19.410447761194032,32.854271356783926,228.4957117398084,934.6219792429483,0.00010523671975094649,0.0,55.5,51.77272727272727,1.0,0.9526315789473684,0.4969325153374233,0.5666666666666667,0.04938271604938271,0.2588235294117647,78.58465526426042,0.001985834106710491,14165665790.150732,4.159389000227568e+16,0.02022692465268704,0.0,0.00010523671975094655,0.7231638418079096,0.5576748410535877,3.0,0.002763027419322357,0.002952666388164445,0.0003200438634962466,0.0003200438634452312,0.0005351270506095035,0.000535127050524444,1.9878048780487805,3.0,1.7441860465116281,2.0,1.0,10.0,GradStudent
chrisj12,70,25,0.3571,29,0.4143,359,41,0.1142,221,0.6156,429,0,0.0,0,0.0,0,0.0,30,0.0836,5,0.1667,27,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,83,89,91,91,49,0.7,21,0.3,233,0.649,126,0.351,1.8919,4.3262,114.65714285714287,490.0891364902507,13689.539591836741,265571.6020825418,5,0.0714,61,0.1699,4,0.0571,55,0.1532,0.0731,0.3751,0.4483,4,109,0.06,0.3,45,0.6429,0,0.0,167,0.4652,15,0.0418,19.914285714285715,38.74930362116992,91.9069387755102,1205.4914688743872,0.00043473520773204885,0.00015300200485385672,45.375,54.625,0.9285714285714286,0.8804347826086957,0.5225806451612903,0.5821917808219178,0.09876543209876544,0.2823529411764706,88.5104908988031,0.005565943647203555,40505200408.40382,5.423216870645882e+16,0.057052319472355825,0.0001530020048538567,0.000434735207732049,0.4665057332528666,0.33583398285268895,3.0,0.0032105305377824987,0.003395171853296173,0.0010780112876298325,0.001078011287278606,0.0011324878768656204,0.0011324878765439645,1.8902439024390243,3.0,1.6976744186046508,2.0,2.0,36.0,GradStudent
cshahria,194,34,0.1753,47,0.2423,383,47,0.1227,277,0.7232,577,0,0.0,0,0.0,0,0.0,88,0.2298,8,0.0909,64,0.7273,1,0.0052,1,1.0,1,1.0,1,0.0026,1,1.0,1,1.0,82,84,95,88,89,0.4588,105,0.5412,304,0.7937,79,0.2063,3.0313,3.0037,239.92268041237114,714.3603133159269,55471.45278456796,894375.48897327,35,0.1804,143,0.3734,29,0.1495,121,0.3159,0.1869,0.369,0.5559,61,167,0.31,0.44,147,0.7577,0,0.0,163,0.4256,31,0.0809,32.051546391752574,43.054830287206265,267.77053884578584,998.0935993837295,0.0005906158809449339,5.1440329218107e-05,50.16666666666666,46.91304347826087,0.9333333333333332,0.8333333333333334,0.5126582278481012,0.5704697986577181,0.07407407407407407,0.27058823529411763,87.57963369515207,0.0026742500800280237,25465501645.50441,3.733202607602462e+16,0.03667608677552398,5.144032921810702e-05,0.000590615880944934,0.5048231511254019,0.3939493949394939,3.0,0.002904473324469577,0.0032170072908735115,0.002376802354406902,0.002376802351469406,0.0025181045190654197,0.0025181045162762923,1.9268292682926829,3.0,1.7325581395348837,2.0,2.0,26.0,GradStudent
cthomp,4777,281,0.0588,862,0.1804,9247,244,0.0264,4867,0.5263,14024,312,0.0653,39,0.125,98,0.3141,2753,0.2977,37,0.0134,1561,0.567,0,0.0,0,0.0,0,0.0,6,0.0006,6,1.0,6,1.0,90,72,99,99,3788,0.793,989,0.207,5362,0.5799,3885,0.4201,3.5917,2.3723,436.1689344777057,450.31804909700446,201312.82450698692,261320.705052187,485,0.1015,1471,0.1591,443,0.0927,1093,0.1182,4.2997,8.3231,12.6229,2142,3575,0.45,0.39,1743,0.3649,816,0.1708,4872,0.5269,687,0.0743,25.820598702114296,32.97199091597275,275.9173651010488,527.4888878173655,0.008521155409163173,0.0060298162577189325,33.19444444444444,43.566037735849065,0.6827094474153298,0.6384313725490196,0.6328125,0.7142857142857143,0.4444444444444444,0.6235294117647059,126.86952050187112,0.08607569217689033,593713004703.9805,1.916555413186873e+17,0.5639948215431674,0.006030239495624073,0.008521155409163175,0.3483307864111908,0.2838507122954358,2.0,0.02737118369710129,0.0265837275759366,0.041210250348284634,0.041210250330858574,0.041252604160303685,0.04125260414253296,1.5609756097560976,2.0,1.3837209302325582,2.0,56.0,67.0,Director
darek,70,15,0.2143,22,0.3143,62,13,0.2097,37,0.5968,132,0,0.0,0,0.0,0,0.0,4,0.0645,3,0.75,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,91,92,100,98,50,0.7143,20,0.2857,58,0.9355,4,0.0645,1.7073,1.6792,469.71428571428567,501.70967741935476,609708.2612244898,776240.7866805407,40,0.5714,23,0.371,37,0.5286,20,0.3226,0.0656,0.0581,0.1237,13,58,0.19,0.94,42,0.6,0,0.0,45,0.7258,4,0.0645,25.442857142857147,27.080645161290327,114.10387755102042,249.8160770031218,1.217878455730118e-05,0.0,62.5,64.08333333333333,1.0,0.9848484848484848,0.4709302325581395,0.5345911949685535,0.02469135802469136,0.1411764705882353,30.81838009525633,9.076444525960336e-05,4138538237.510966,1.769262125706211e+16,0.0059245417508467365,0.0,1.2178784557301173e-05,0.490566037735849,0.4594670015348124,3.0,0.001964902771115612,0.0019848181128147343,0.0004127387822343263,0.0004127387822160464,0.00047085559813684767,0.00047085559816078556,2.0975609756097557,3.0,1.848837209302325,3.0,1.0,2.0,GradStudent
deannac,7465,444,0.0595,1857,0.2488,8608,603,0.0701,4277,0.4969,16073,4577,0.6131,369,0.0806,1412,0.3085,1535,0.1783,65,0.0423,819,0.5336,29,0.0039,29,1.0,21,0.7241,14,0.0016,14,1.0,14,1.0,78,61,95,87,6421,0.8601,1044,0.1399,6071,0.7053,2537,0.2947,2.3147,1.8153,561.0626925653047,607.8422397769517,408032.41937841626,797335.9435131964,183,0.0245,1162,0.135,164,0.022,502,0.0583,9.5951,11.0643,20.6594,3762,4382,0.5,0.51,2935,0.3932,284,0.038,4295,0.499,640,0.0743,39.10997990622907,37.05971189591078,763.2089359004555,691.2870943407918,0.051813219534188035,0.06345206232314117,24.41666666666667,36.83116883116883,0.3545069570477919,0.4468468468468468,0.7788461538461539,0.8947368421052632,0.7407407407407407,0.9058823529411764,126.74120737140629,0.11701684207264593,964986102708.2346,3.0098264455944224e+17,0.7627493297992987,0.06345985795454083,0.05177964589928722,0.2413168072912013,0.19593196806664356,2.0,0.02891461930598961,0.027114936074786208,0.018683532248415968,0.01868353225868457,0.01868196996773853,0.018681969978247986,1.2682926829268293,2.0,1.1046511627906976,2.0,114.0,288.0,Operations
drdepoy,1280,92,0.0719,227,0.1773,967,75,0.0776,559,0.5781,2247,31,0.0242,12,0.3871,12,0.3871,255,0.2637,20,0.0784,147,0.5765,1,0.0008,1,1.0,1,1.0,3,0.0031,2,0.6667,2,0.6667,76,84,89,93,728,0.5688,552,0.4313,689,0.7125,278,0.2875,3.4501,3.1877,672.07109375,554.9317476732161,651908.359789431,401356.11116375023,82,0.0641,96,0.0993,66,0.0516,65,0.0672,1.17,0.8839,2.0539,118,363,0.09,0.38,974,0.7609,41,0.032,519,0.5367,57,0.0589,28.890625,36.53050672182006,192.509912109375,645.2521717184147,0.004128056409115649,0.00810100870390957,33.19230769230769,46.585365853658544,0.6557971014492754,0.7112010796221323,0.5869565217391305,0.648854961832061,0.32098765432098764,0.4823529411764706,115.09606131929364,0.05663628309133858,275953151719.8838,1.2404755748439066e+17,0.32340811198302183,0.00811091559718557,0.004129200469191747,0.2960155911650065,0.2626675806578489,2.0,0.008007867254170374,0.007009754887754385,0.002674868833844073,0.00267486883470103,0.002497340338640572,0.0024973403394955504,1.6829268292682926,2.0,1.5232558139534884,2.0,20.0,58.0,Research
dslevy,2320,202,0.0871,572,0.2466,3743,215,0.0574,1563,0.4176,6063,796,0.3431,131,0.1646,202,0.2538,1516,0.405,35,0.0231,793,0.5231,0,0.0,0,0.0,0,0.0,14,0.0037,9,0.6429,13,0.9286,80,79,88,90,1303,0.5616,1017,0.4384,2047,0.5469,1696,0.4531,2.2372,2.6458,353.9758620689655,528.504675394069,208800.9916587397,405050.3509666525,315,0.1358,688,0.1838,271,0.1168,574,0.1534,4.5313,7.3105,11.8418,535,1367,0.23,0.37,1729,0.7453,169,0.0728,2580,0.6893,311,0.0831,27.94094827586207,35.64493721613679,599.0564266869792,854.8749990810147,0.0011973895107815502,0.00021507113941791856,38.76,51.96969696969697,0.9446640316205532,0.8795698924731182,0.5827338129496403,0.6115107913669064,0.308641975308642,0.3882352941176471,123.18659284225436,0.03170808561559861,367604963986.531,9.812783944815174e+16,0.39485119348672304,0.00021507113941791862,0.0011973895107815506,0.46059067549996896,0.3947686372596816,2.0,0.01127450161345677,0.011090691487243108,0.017664662977776822,0.01766466297099107,0.017696668460014966,0.017696668453090817,1.695121951219512,2.0,1.6162790697674418,2.0,14.0,11.0,Director
example,300,35,0.1167,104,0.3467,358,35,0.0978,216,0.6034,658,47,0.1567,15,0.3191,27,0.5745,113,0.3156,12,0.1062,62,0.5487,3,0.01,3,1.0,2,0.6667,4,0.0112,3,0.75,4,1.0,97,96,99,100,256,0.8533,44,0.1467,302,0.8436,56,0.1564,1.6393,2.1928,255.3533333333333,674.8547486033519,75803.91515555554,576765.0012484007,58,0.1933,65,0.1816,57,0.19,63,0.176,0.471,0.562,1.033,17,121,0.06,0.34,209,0.6967,8,0.0267,173,0.4832,10,0.0279,20.566666666666666,35.87988826815643,221.14555555555543,919.5749586467348,0.0002616897352422924,0.00011550692106247663,45.81818181818182,52.57142857142857,0.9272727272727272,0.9292307692307692,0.5328947368421053,0.5862068965517241,0.13580246913580246,0.32941176470588235,89.20843493486576,0.00556513667030678,79770340594.22533,7.239830913650005e+16,0.10825796523282227,0.00011550692106247663,0.0002616897352422924,0.4409817981246553,0.3952779455324533,3.0,0.003289094426640016,0.0034313801957777798,0.0004891776316562553,0.0004891776320494538,0.0004508251746821874,0.0004508251750028912,1.8536585365853657,3.0,1.6860465116279069,3.0,2.0,14.0,GradStudent
