@relation trai_norm_50_50

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute sent_bcc numeric
@attribute sent_bcc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute rec_bcc numeric
@attribute rec_bcc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Director,PM,Outreach,Research,Operations}

@data
0.08668,0.091063,0.18075,0.088116,0.422092,0.269988,0.273788,0.055119,0.258624,0.085184,0.087008,0.8,0.270968,0.928571,0.294521,0.122257,0.832802,0.029793,0.276502,0,0,0.293999,0.111517,0,0,0,0,0.442416,0.402217,0.517771,0.088029,0.164672,0.008091,0.003803,0.03016,0.13758,0.306868,0.010748,0.046,0.105263,0.257997,0.12245,0.387124,0.196701,0.118449,0.278962,0.477273,0.386667,0.044818,0.461786,0.048725,0.080772,0.213809,0.628769,0.28169,0.708525,0.508931,0.418108,0.670917,0.676542,1,0.867286,0.537406,0.013333,0.527094,0.017341,0.967742,1,0.96875,1,0.913524,0.488884,0.969891,0.987582,0.981626,0.867286,1,0.476359,0.035792,1,0.303464,0.271041,0.153146,0.153146,0.152358,0.152358,0.54386,1,0,0,0.964286,1,Operations
0.011568,0.037896,0.564,0.01589,0.570349,0.047691,0.120319,0.189349,0.056659,0.181877,0.012556,0.2625,0.16129,0.880952,0.19863,0.015745,0.803616,0.00467,0.324866,0,0,0.063385,0.201366,0,0,0,0,0.390024,0.34206,0.477651,0.162319,0.072339,0.012841,0.015379,0.915878,0.061804,0.778571,0.00603,0.1935,0.037829,0.523859,0.013206,0.054984,0.024859,0.008639,0.02273,0.261364,0.08,0.005842,0.451098,0.00839,0.10436,0.023833,0.39568,0.024648,0.35023,0.310555,0.397335,0.14702,0.619596,0.004915,0,0.868085,0.36,1,0.928608,0.545455,0.413915,0.15625,0.575758,0.347612,0.042468,0.050549,0.455489,0.083947,0,0.004916,0.902625,0.66507,1,0.057884,0.031645,0.005396,0.005396,0.00627,0.00627,0.964912,1,0.4375,0,0.035714,0.09375,GradStudent
0.000097,0.000566,1,0.000131,0.559989,0.001922,0.006753,0.327818,0.001705,0.06792,0.000105,0.25,0.045161,0.47619,0.267123,0.000078,0.472646,0,0,0,0,0.001734,0.068387,0,0,0,0,0.241441,0.410522,0.285205,0.016532,0.00208,0.001459,0.000042,0.295683,0.001184,0.343407,0,0,0.000822,0.262192,0.000369,0.013777,0.004066,0,0.000517,0,0,0.000032,0.292826,0,0,0.000687,0.262487,0,0,0.390689,0.351316,0.099335,0.105965,0.003327,0,0,0.346667,0,0.593064,0,0.053768,0,0.121212,0,0,0,0.030802,0,0,0.003328,0,0.228423,0,0,0.000768,0,0,0.000312,0.000312,0,0,0.90625,1,0,0.03125,PM
0.102123,0.075509,0.12725,0.122259,0.49713,0.287755,0.230203,0.036401,0.285901,0.100178,0.106729,0.8875,0.367742,0.940476,0.328767,0.140691,0.813423,0.04327,0.340987,0,0,0.338888,0.144503,0,0,0,0,0.342146,0.422585,0.312072,0.083481,0.066685,0.007953,0.028459,0.192046,0.279185,0.584341,0.077468,0.28175,0.372944,0.858416,0.135248,0.388499,0.206494,0.045242,0.214129,0.147727,0.226667,0.08705,0.761347,0.070668,0.099595,0.253825,0.700465,0.239437,0.565668,0.289397,0.269698,0.241861,0.720235,0.460747,0.694394,0.556231,0.080392,0.547619,0.157002,0.9375,0.944531,0.875,0.969697,0.943542,0.670937,0.847607,0.986761,0.934241,0.694394,0.460625,0.454245,0,1,0.391625,0.378953,0.171923,0.171923,0.171579,0.171579,0.561404,1,0.03125,0,0.928571,1,Research
0.021207,0.023473,0.1905,0.018056,0.353493,0.10759,0.070595,0.024716,0.126053,0.174907,0.020487,1,0.303226,0.97619,0.369863,0.031256,0.870259,0.007093,0.269174,0,0,0.1181,0.115037,0,0,0,0,0.603264,0.400606,0.276845,0.040252,0.167538,0.004016,0.002633,0.0856,0.044518,0.248901,0.007865,0.13775,0.046875,0.288411,0.021753,0.109134,0.046061,0.061304,0.076327,1,0.213333,0.006384,0.26896,0.147467,1,0.067085,0.494675,0.099472,0.62788,0.3455,0.432317,0.23392,0.594396,0.136635,0.035531,0.720901,0.205161,0.882353,0.428685,0.697674,0.793605,0.53125,0.878788,0.73449,0.115921,0.484253,0.906266,0.62413,0.035531,0.136666,0.634547,0.170784,1,0.124137,0.093016,0.05945,0.05945,0.057748,0.057748,0.754386,1,0.125,0,0.178571,0.5625,Operations
0.033866,0.03224,0.164,0.025936,0.317934,0.093459,0.098834,0.059979,0.085138,0.065732,0.032052,0.725,0.264516,0.809524,0.253425,0.027671,0.482453,0.042088,1,0,0,0.10105,0.108964,0,0,0,0,0.38971,0.406101,0.303143,0.065481,0.031236,0.005723,0.004179,0.085009,0.027942,0.179945,0.011011,0.12075,0.032072,0.227058,0.153746,0.422167,0.229374,0.024893,0.070774,0.25,0.226667,0.031698,0.836018,0.032268,0.137003,0.085426,0.725064,0.078345,0.569124,0.375369,0.410447,0.327727,0.751562,0.062481,0,0.777563,0.276667,1,0.740678,0.612245,0.383681,0.34375,0.545455,0.653487,0.059108,0.230059,0.383302,0.335959,0,0.063336,0.859338,0.718371,1,0.092566,0.071613,0.061039,0.061039,0.06197,0.06197,0.859649,1,0.46875,0,0.035714,0.03125,PM
0,0,0,0,0,0,0,1,0,0.223294,0,0,0.593548,0,0.486301,0,0,0,0,0,0,0,0.396177,0,0,0,0,0,0.421038,0,0.01155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266667,0,0,0,0,0.000196,1,0,0,0,0,0,0,0,0,0,0.751111,0,1,0,0.035326,0,0.030303,0,0,0,0.005667,0,0,0,0,0.914738,0,0,0.000182,0,0,0,0,0,0,0.9375,0,0,0,GradStudent
0.127634,0.121606,0.164,0.134143,0.436371,0.446101,0.349908,0.03485,0.389892,0.050008,0.129123,0.7,0.258065,0.809524,0.219178,0.122062,0.564693,0.142519,0.898632,0,0,0.476351,0.103582,0,0,0,0,0.38645,0.389143,0.449587,0.040281,0.07279,0.004842,0.043838,0.236694,0.405162,0.547253,0.0911,0.265,0.38199,0.566859,0.131014,0.45002,0.220324,0.099315,0.298592,0.272727,0.186667,0.126121,0.882577,0.147467,0.166071,0.459396,0.817909,0.420775,0.640553,0.388074,0.342837,0.360017,0.65851,0.007098,0.034541,0.665174,0.380606,0.882353,0.919684,0.697674,0.445313,0.59375,0.606061,0.925036,0.254512,0.527245,0.506852,0.638569,0.034541,0.0071,0.696754,0.664976,1,0.320304,0.296397,0.396437,0.396437,0.396495,0.396495,0.754386,1,0.40625,0,0.178571,0.0625,Research
0.020234,0.02319,0.19725,0.021142,0.433851,0.070913,0.053407,0.033919,0.074308,0.123116,0.020442,0.9625,0.445161,0.964286,0.349315,0.02771,0.808579,0.008808,0.350269,0,0,0.085252,0.154027,0,0,0,0,0.413612,0.42568,0.335455,0.058843,0.13653,0.002842,0.005558,0.189237,0.038361,0.325275,0.016123,0.296,0.063734,0.594127,0.02172,0.075747,0.036841,0.004991,0.055534,0.090909,0.253333,0.01794,0.791947,0.00484,0.03431,0.056689,0.633718,0.068662,0.656682,0.211699,0.322169,0.225446,0.967099,0.078382,0.242848,0.617021,0.259556,0.671429,0.572071,0.769231,0.747869,0.65625,0.848485,0.752488,0.212786,0.564223,0.887045,0.713693,0.242848,0.0784,0.60372,0.263435,1,0.146569,0.107401,0.043944,0.043944,0.042488,0.042488,0.684211,1,0.15625,0,0.464286,0.8125,Research
0.066076,0.080882,0.21075,0.061458,0.386252,0.14515,0.12523,0.042399,0.131669,0.063949,0.06502,0.8125,0.380645,0.916667,0.321918,0.070307,0.628264,0.062482,0.76087,0,0,0.153164,0.099096,0,0,0,0,0.428775,0.377459,0.450046,0.050075,0.046856,0.004406,0.005809,0.060615,0.053753,0.223077,0.015336,0.08625,0.075247,0.342947,0.109924,0.242272,0.147589,0.065848,0.11533,0.340909,0.253333,0.056788,0.767643,0.148112,0.322373,0.160161,0.875656,0.169894,0.794931,0.384507,0.26129,0.326646,0.47748,0.855297,0.133856,0.623791,0,0.757895,0,0.75,1,0.6875,1,0.8651,0.234983,0.635442,0.979685,0.735891,0.133856,0.855254,0.571336,0.150986,1,0.222482,0.216941,0.170056,0.170056,0.169957,0.169957,0.701754,1,0,0,0.357143,1,Outreach
