@relation trai_norm_email_features_4

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_subjects_sent numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_subjects_received numeric
@attribute total_emails numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute sent_bcc numeric
@attribute sent_bcc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute rec_bcc numeric
@attribute rec_bcc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute response_time_to numeric
@attribute response_time_from numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Director,PM,Outreach,Research,Operations}
@attribute GradStudent numeric
@attribute Research numeric
@attribute Director numeric
@attribute PM numeric
@attribute Outreach numeric
@attribute Operations numeric

@data
0.003236,0.01216,0.006772,0.047962,0.095392,0.068431,0.015622,0.732558,0.285714,0.94,0.16129,0.004407,0.8195,0.001479,0.353229,0,0,0.070695,0.911508,0.005457,0.088492,0,0,0.35684,0.004225,0.23966,0.245853,0.030872,0.009579,0.001315,0.258966,0.068407,0.846466,0.002416,0.274471,0.011111,0.148963,0.009276,0.139161,0.045229,0.404228,0.449018,0.002301,0.020356,0.273684,0.157895,0.002867,0.758138,0.00128,0.059785,0.013606,0.092648,0.018871,0.002026,0.818548,0.440777,0.964286,0.799491,0.576923,0.508929,0.25,0.65625,0.281654,0.026507,0.110906,0.621235,0.177457,0.002026,0.018871,0.752771,0.401566,1,0.05083,0.021417,0.003562,0.003562,0.004477,0.004477,0.928571,1,0.34375,0,0.071429,0.347826,GradStudent,1,0,0,0,0,0
0.122623,0.044724,0.067366,0.085003,0.075115,0.090915,0.113605,0.627907,0.642857,0.98,0.983871,0.188044,0.9258,0.022959,0.145205,0,0,0.096882,0.453521,0.059268,0.546479,0,0,1,0.053725,1,0,0.165477,0,0.008392,0.017741,0.032164,0.226024,0.02436,0.033694,0.050505,0.385104,0.170981,0.119577,0.158659,0.319742,0.481341,0.263862,0.069147,0.821053,0.657895,0.017281,0.120989,0.03712,0.045925,0.083537,0.830838,0.618326,1,0.5625,0.057975,0.528736,0.090093,1,0.94391,1,0.96875,0.929766,0.687803,1,0.981392,1,1,0.618326,0.496905,0.050084,0.5,0.369156,0.361532,0.118418,0.118418,0.117082,0.117082,0.535714,0.5,0.03125,0,1,0.978261,Operations,0,0,0,0,0,1
0.083796,0.093776,0.074851,0.227329,0.18894,0.205722,0.124368,0.546512,0.685714,0.88,0.83871,0.071994,0.5187,0.101808,0.941879,0,0,0.1847,0,0.288449,1,0,0,0.578584,0.1927,0.348929,0.047542,0.149395,0.00114,0.024153,0.175239,0.234821,0.620666,0.059888,0.261436,0.348889,1,0.085262,0.232071,0.126718,0.307316,0.436022,0.109602,0.194413,0.494737,0.710526,0.067008,0.686618,0.07232,0.130741,0.236224,0.89521,0.245278,0.100749,0.71129,0.234951,0.821053,0.400034,0.75,0.701705,0.625,0.8125,0.90146,0.255712,0.59537,0.80212,0.730499,0.100749,0.245278,0.632499,0.311506,1,0.27381,0.241191,0.33408,0.33408,0.333795,0.333795,0.714286,1,0.1875,0,0.428571,0.586957,Research,0,1,0,0,0,0
0.004267,0.017519,0.00998,0.021282,0.060369,0.02714,0.009013,0.523256,0.557143,0.82,0.725806,0.005669,0.8,0.00216,0.391389,0,0,0.029784,0.810253,0.005289,0.189747,0,0,0.30481,0.010425,0.20779,0.121055,0.042045,0.004178,0.001921,0.290491,0.011654,0.318775,0.00209,0.161584,0.007677,0.227677,0.009011,0.046401,0.01943,0.529699,0.649655,0.002236,0.015846,0.2,0.552632,0.00301,0.60413,0.00384,0.136119,0.012289,0.392881,0.161135,0,0.88172,0.26699,1,0.457447,0.555556,0.475,0.1875,0.625,0.243808,0.020809,0.069519,0.507582,0.113488,0,0.161135,0.899557,0.500771,1,0.047941,0.022608,0.003153,0.003153,0.003742,0.003742,0.964286,1,0.375,0,0.035714,0.23913,GradStudent,1,0,0,0,0,0
0.011688,0.029472,0.027445,0.093085,0.13871,0.093794,0.034295,0.5,0.257143,0.91,0.387097,0.018581,0.9589,0.001213,0.080431,0,0,0.126427,0.753031,0.029298,0.246969,0,0,0.262253,0.021475,0.262802,0.184046,0.054973,0.009691,0.006931,0.393363,0.120266,0.772625,0.012474,0.416626,0.055152,0.384257,0.017082,0.13702,0.050375,0.391553,0.345851,0.005769,0.031379,0.189474,0.026316,0.009238,0.678101,0.00176,0.022755,0.049937,0.360113,0.017124,0.004789,0.724566,0.432039,0.963636,0.806231,0.612245,0.475,0.40625,0.625,0.505047,0.080603,0.240275,0.568223,0.338781,0.004789,0.017124,0.829186,0.490839,1,0.079186,0.037528,0.012609,0.012609,0.008987,0.008987,0.875,1,0.375,0,0.071429,0.130435,GradStudent,1,0,0,0,0,0
0.00823,0.024732,0.017567,0.042813,0.060829,0.048582,0.017871,0.744186,0.785714,0.95,0.951613,0.012057,0.8834,0.002426,0.22818,0,0,0.054724,0.644969,0.01956,0.355031,0,0,0.24263,0.0287,0.201766,0.038613,0.042487,0.002741,0.000376,0.001404,0.008973,0.124268,0.00111,0.005411,0.013737,0.206094,0.009715,0.051359,0.021317,0.32798,0.485819,0.002171,0.025116,0.105263,0.368421,0.006005,0.625715,0.00384,0.070542,0.03438,0.635729,0.180751,0.030344,0.74938,0.231796,0.871795,0.368892,0.638298,0.791667,0.40625,0.875,0.558026,0.054289,0.268643,0.913112,0.391108,0.030344,0.180751,0.816778,0.093573,1,0.078404,0.044313,0.038662,0.038662,0.033904,0.033904,0.839286,1,0.125,0,0.107143,0.695652,Operations,0,0,0,0,0,1
0.282408,0.245466,0.260146,1,0.989401,1,0.483718,0.465116,0.414286,0.85,0.612903,0.241476,0.5163,0.344803,0.946575,0,0,1,0.257179,0.94006,0.742821,0,0,0.578822,0.066175,0.420185,0.145208,0.212572,0.012554,0.113396,0.256541,1,0.602431,0.25111,0.338416,1,0.652983,0.282164,1,0.483395,0.203207,0.210601,0.702077,0.780784,0.947368,0.605263,0.31199,0.948664,0.1456,0.078196,0.799132,0.642216,0.164376,0.545013,0.600667,0.219771,0.612536,0.35827,0.909091,0.839939,0.90625,0.90625,0.990832,0.732319,0.922919,0.97003,0.946916,0.545013,0.164376,0.507329,0,1,0.720264,0.718476,0.809548,0.809548,0.80943,0.80943,0.589286,1,0.09375,0,0.857143,0.934783,Director,0,0,1,0,0,0
0.018206,0.038335,0.028667,0.06525,0.095853,0.068615,0.0314,0.569767,0.642857,0.9,0.822581,0.024289,0.805,0.008965,0.381605,0,0,0.078849,0.548394,0.037693,0.451606,0,0,0.335278,0.06865,0.267367,0.077009,0.072228,0.006163,0.00597,0.203574,0.034611,0.316074,0.010123,0.191097,0.034949,0.34617,0.018914,0.068531,0.032817,0.286098,0.896973,0.014421,0.040899,0.305263,0.394737,0.015418,0.726753,0.00928,0.077162,0.055886,0.695775,0.044895,0.002026,0.736973,0.380028,0.981818,0.660278,0.612245,0.619565,0.40625,0.75,0.550191,0.076281,0.249607,0.760983,0.349272,0.002026,0.044895,0.82296,0.327843,1,0.08269,0.056794,0.026745,0.026745,0.025594,0.025594,0.875,1,0.25,0,0.071429,0.478261,GradStudent,1,0,0,0,0,0
0.098872,0.081822,0.099343,0.322037,0.176037,0.280218,0.161601,0.686047,0.6,0.95,0.919355,0.117389,0.7168,0.070683,0.554207,0,0,0.281823,0.085726,0.373237,0.914274,0,0,0.500475,0.034175,0.364491,0.048254,0.080579,0.001862,0.013569,0.067135,0.18844,0.351869,0.036899,0.110674,0.272323,0.551418,0.098883,0.322836,0.161782,0.292194,0.352169,0.106135,0.273957,0.410526,0.684211,0.064411,0.559328,0.15456,0.236864,0.321662,0.853293,0.079232,0.284303,0.635236,0.32352,0.695652,0.544309,0.833333,0.74564,0.8125,0.84375,0.940789,0.458954,0.81845,0.910009,0.875869,0.284303,0.079232,0.538463,0.106609,1,0.378723,0.364099,0.344293,0.344293,0.343925,0.343925,0.642857,1,0.15625,0,0.678571,0.847826,PM,0,0,0,1,0,0
0.021172,0.053792,0.029839,0.074674,0.127189,0.096796,0.036182,0.360465,0.314286,0.72,0.193548,0.02625,0.7482,0.013462,0.492759,0,0,0.100096,0.728994,0.025856,0.271006,0,0,0.378713,0.007075,0.344901,0.207078,0.470925,0.019824,0.007515,0.222974,0.067591,0.540297,0.009339,0.140433,0.04303,0.372831,0.022647,0.080647,0.038904,0.309792,0.4069,0.014,0.034699,0.252632,0.184211,0.019702,0.79874,0.01248,0.089367,0.037404,0.322023,0.032792,0.051557,0.731183,0.412995,0.838095,0.729706,0.666667,0.544271,0.46875,0.6875,0.594094,0.094187,0.345604,0.666369,0.483063,0.051557,0.032792,0.655877,0.513877,1,0.090499,0.053656,0.032717,0.032717,0.029453,0.029453,0.803571,1,0.3125,0,0.178571,0.282609,GradStudent,1,0,0,0,0,0
1,1,1,0.959527,1,0.796667,1,0.186047,0.214286,0.72,0.548387,1,0.6038,1,0.775342,0,0,0.903549,0.176558,1,0.823442,0,0,0.56699,0.0006,0.497031,0.071077,0.094929,0.003961,1,0.685514,0.708076,0.444394,1,0.387359,0.564646,0.384257,1,0.96042,1,0.112911,0.222268,1,1,0.378947,0.947368,1,0.85871,1,0.151634,1,0.900699,0.078729,0.118065,0.670407,0.316505,0.804762,0.534237,0.769231,0.701705,0.71875,0.8125,1,1,0.706375,0.844562,0.791951,0.118065,0.078729,0.583328,0.189954,1,1,1,1,1,1,1,0.696429,1,0.1875,0,0.535714,0.521739,Director,0,0,1,0,0,0
0.024161,0.032152,0.042823,0.082694,0.088479,0.088219,0.040594,0.569767,0.7,0.97,0.919355,0.035589,0.8889,0.006775,0.217417,0,0,0.109209,0.701766,0.031481,0.298234,0,0,0.304261,0.000775,0.24393,0.071438,0.056908,0.037599,0.003987,0.086918,0.035311,0.255065,0.011037,0.147565,0.044242,0.346593,0.028647,0.098904,0.048353,0.270506,0.388971,0.009982,0.05637,0.157895,0.473684,0.019734,0.701085,0.0064,0.040132,0.067736,0.658017,0.055983,0.076685,0.684588,0.377302,0.841667,0.625932,0.681818,0.659722,0.5625,0.78125,0.656529,0.160937,0.436001,0.814139,0.560721,0.076685,0.055983,0.718434,0.128145,1,0.115756,0.081376,0.031392,0.031392,0.023754,0.023754,0.785714,1,0.21875,0,0.178571,0.565217,Research,0,1,0,0,0,0
0.000739,0.003092,0.002393,0.023841,0.023963,0.032163,0.007126,0.895349,0.771429,0.98,0.983871,0.001068,0.8594,0.000266,0.275147,0,0,0.028489,0.535631,0.014439,0.464369,0,0,0.193636,0.0119,0.19149,0.117018,0.025989,0.003153,0.000292,0.24799,0.010954,0.268573,0.000914,0.484014,0.018182,0.483284,0.000922,0.030241,0.009025,0.300449,0.395364,0.001653,0.025993,0.842105,1,0.000303,0.346401,0.00064,0.129293,0.013411,0.378909,0.006821,0,0.88172,0.708738,1,0.890062,0.588235,0.411058,0.28125,0.5,0.449919,0.032374,0.163919,0.454874,0.251482,0,0.006821,0.763703,0.50629,1,0.06449,0.019776,0.014908,0.014908,0.005447,0.005447,0.910714,1,0.4375,0,0.035714,0.195652,GradStudent,1,0,0,0,0,0
0.052273,0.101401,0.081471,0.321475,0.478802,0.380935,0.127194,0.418605,0.314286,0.8,0.370968,0.065374,0.7549,0.032338,0.479648,0,0,0.406619,0.62391,0.153291,0.37609,0,0,0.437253,0,0.986629,0.115032,1,0.00807,0.016158,0.190172,0.253933,0.475011,0.025274,0.15937,0.138586,0.280999,0.05324,0.328166,0.12971,0.280806,0.271003,0.036329,0.202869,0.263158,0.394737,0.047703,0.783456,0.01872,0.054199,0.176631,0.376081,0.092215,0.284712,0.633548,0.293454,0.683794,0.50021,0.810811,0.74564,0.78125,0.84375,0.744827,0.214029,0.744347,0.895018,0.827805,0.284712,0.092215,0.562397,0.247655,1,0.145326,0.112625,0.060477,0.060477,0.055804,0.055804,0.660714,1,0.15625,0,0.535714,0.673913,Research,0,1,0,0,0,0
