@relation trai_norm_email_features_4

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_subjects_sent numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_subjects_received numeric
@attribute total_emails numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute sent_bcc numeric
@attribute sent_bcc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute rec_bcc numeric
@attribute rec_bcc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute response_time_to numeric
@attribute response_time_from numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Director,PM,Outreach,Research,Operations}
@attribute GradStudent numeric
@attribute Research numeric
@attribute Director numeric
@attribute PM numeric
@attribute Outreach numeric
@attribute Operations numeric

@data
0.087501,0.091509,0.094557,0.267865,0.274194,0.260859,0.138284,0.569767,0.4,0.95,0.806452,0.12467,0.8601,0.030888,0.273777,0,0,0.29012,0.373112,0.212979,0.626888,0,0,0.64541,0.1164,0.54373,0.089569,0.189785,0.006501,0.00382,0,0.135415,0.303917,0.010711,0,0.101818,0.24799,0.125306,0.384681,0.198272,0.242608,0.270729,0.121917,0.273769,0.526316,0.921053,0.046748,0.458756,0.04544,0.07861,0.209305,0.622089,0.499184,1,0.5625,0.136493,0.528736,0.217892,1,0.890625,1,0.9375,0.908173,0.464378,1,0.975557,1,1,0.499184,0.496905,0.023784,0.5,0.302221,0.267338,0.147852,0.147852,0.147153,0.147153,0.535714,0.5,0.0625,0,1,0.956522,Operations,0,0,0,0,0,1
0.011723,0.036274,0.018738,0.047588,0.139171,0.062305,0.021758,0.27907,0.4,0.91,0.516129,0.016426,0.8452,0.004586,0.302935,0,0,0.064269,0.743246,0.015698,0.256754,0,0,0.298025,0.0227,0.499322,0.167182,0.089558,0.010413,0.015782,0.93261,0.060016,0.748537,0.007119,0.213724,0.033535,0.453661,0.01366,0.056275,0.025573,0.373339,0.39476,0.009819,0.023174,0.315789,0.236842,0.006021,0.440555,0.00704,0.091022,0.023261,0.307552,0.001997,0,0.897849,0.493204,1,0.960993,0.555556,0.351852,0.1875,0.5,0.328514,0.037509,0.070974,0.39811,0.116198,0,0.001997,0.882846,0.778236,1,0.057013,0.027749,0.006487,0.006487,0.006266,0.006266,0.964286,1,0.5,0,0.035714,0.065217,GradStudent,1,0,0,0,0,0
0.000059,0.001031,0.000153,0.001529,0.007834,0.001593,0.000465,0.581395,0.414286,1,1,0.000097,0.8333,0.00003,0.326223,0,0,0.001007,0.125718,0.002518,0.874282,0,0,0.182882,0.097225,0.284433,0.043616,0.002133,0.000696,0.000084,0.819655,0.001632,0.431787,0.000065,0.355878,0.001414,0.40584,0.000552,0.017874,0.005339,1,0.48784,0,0.000626,0,0.342105,0.000048,0.583363,0,0,0.00078,0.22505,0.002098,0,0,0.76699,0,0.83422,0,0.131944,0,0.15625,0,0,0,0.077401,0,0,0.002098,0,0.329999,0,0,0,0,0,0.000328,0.000328,0,0,0.78125,0,0,0.021739,PM,0,0,1,0,0,0
0.101498,0.071105,0.134477,0.288492,0.217051,0.275868,0.154268,0.616279,0.614286,0.95,0.870968,0.139018,0.8269,0.04435,0.338748,0,0,0.336163,0.486492,0.187878,0.513508,0,0,0.453731,0.10615,0.3149,0.079072,0.073387,0.00554,0.028161,0.167581,0.266636,0.555606,0.075692,0.274963,0.359394,0.812103,0.13462,0.383645,0.204831,0.269051,0.43872,0.044982,0.206689,0.168421,0.526316,0.086837,0.73457,0.06864,0.1024,0.250463,0.714238,0.494168,0.911235,0.573971,0.122787,0.536946,0.193827,0.967742,0.890625,0.90625,0.9375,0.936998,0.590991,0.859604,0.965394,0.94784,0.911235,0.494168,0.505769,0.037909,1,0.379783,0.370457,0.161515,0.161515,0.160874,0.160874,0.553571,1,0.0625,0,0.928571,0.956522,Research,0,1,0,0,0,0
0.02123,0.023495,0.018382,0.107252,0.064977,0.127918,0.045221,0.697674,0.5,0.98,1,0.030444,0.8653,0.007219,0.263601,0,0,0.113046,0.335035,0.090833,0.664965,0,0,0.94744,0.086625,0.27976,0.044414,0.120827,0.001833,0.002359,0.048373,0.041953,0.234129,0.006792,0.087063,0.045455,0.275074,0.021338,0.108503,0.045632,0.424182,0.542386,0.055903,0.075598,1,0.5,0.006323,0.255629,0.14016,1,0.068321,0.4669,0.094654,0.043046,0.751423,0.293454,0.882353,0.48551,0.697674,0.74564,0.53125,0.84375,0.718367,0.095899,0.466514,0.892128,0.609906,0.043046,0.094654,0.659618,0.133141,1,0.120587,0.093618,0.060836,0.060836,0.060369,0.060369,0.767857,1,0.15625,0,0.142857,0.73913,Operations,0,0,0,0,0,1
0.034055,0.029266,0.025663,0.0914,0.099078,0.082093,0.050271,0.430233,0.385714,0.82,0.709677,0.02759,0.489,0.043936,1,0,0,0.099808,0.38779,0.071357,0.61221,0,0,0.449214,0.1023,0.311115,0.061714,0.036596,0.002682,0.005156,0.077218,0.031232,0.204412,0.013127,0.116085,0.032727,0.232332,0.15682,0.424253,0.232354,0.243533,0.40204,0.026347,0.067518,0.294737,0.552632,0.033321,0.839925,0.02672,0.118949,0.083829,0.761976,0,0.002171,0.769231,0.49719,0.987179,1,0.638298,0.323864,0.40625,0.46875,0.653955,0.061522,0.289223,0.357391,0.411401,0.002171,0,0.922263,1,1,0.095799,0.067034,0.06301,0.06301,0.062995,0.062995,0.839286,1,0.53125,0,0.071429,0,PM,0,0,0,1,0,0
0.127711,0.116859,0.136972,0.440773,0.347005,0.357226,0.215586,0.372093,0.314286,0.8,0.580645,0.119136,0.5632,0.140803,0.854795,0,0,0.466667,0.338864,0.369124,0.661136,0,0,0.500018,0.11095,0.451852,0.042142,0.080029,0.002958,0.041814,0.203318,0.385619,0.526565,0.08477,0.23881,0.370101,0.548032,0.128529,0.44438,0.217119,0.199231,0.243707,0.099848,0.289177,0.294737,0.447368,0.124586,0.837592,0.14048,0.166736,0.449381,0.875749,0.008311,0.0225,0.698925,0.454545,0.925,0.890062,0.681818,0.411058,0.5625,0.5625,0.917362,0.238244,0.461485,0.478224,0.579438,0.0225,0.008311,0.80854,0.911856,1,0.309954,0.287289,0.391315,0.391315,0.391344,0.391344,0.785714,1,0.4375,0,0.178571,0.065217,Research,0,1,0,0,0,0
0.020504,0.020404,0.02271,0.070024,0.043779,0.07419,0.034407,0.837209,0.9,0.98,0.983871,0.028056,0.8257,0.009024,0.341096,0,0,0.08494,0.554563,0.039876,0.445437,0,0,0.491679,0.1451,0.329455,0.057527,0.13392,0.001067,0.005616,0.164901,0.038107,0.324629,0.016458,0.300049,0.062626,0.578502,0.02206,0.076114,0.037222,0.310456,0.468512,0.005347,0.052862,0.094737,0.578947,0.018189,0.761405,0.00528,0.039098,0.056618,0.645709,0.113378,0.230445,0.621701,0.285938,0.7,0.48551,0.75,0.74564,0.6875,0.84375,0.735564,0.192056,0.553102,0.888367,0.679226,0.230445,0.113378,0.678286,0.136764,1,0.144072,0.108512,0.042437,0.042437,0.0401,0.0401,0.714286,1,0.15625,0,0.392857,0.869565,Research,0,1,0,0,0,0
0.065004,0.078112,0.059423,0.145322,0.119816,0.119708,0.08791,0.453488,0.428571,0.92,0.870968,0.069199,0.6426,0.058641,0.699413,0,0,0.150456,0.308445,0.12777,0.691555,0,0,0.445684,0.09095,0.462202,0.049061,0.055228,0.002281,0.005866,0.03344,0.056753,0.234129,0.014694,0.045745,0.079798,0.357173,0.106354,0.238983,0.144126,0.263985,0.289825,0.070454,0.112677,0.410526,0.605263,0.05417,0.715436,0.15488,0.360985,0.157222,0.938789,0.877935,0.198294,0.642356,0,0.742857,0,0.769231,1,0.71875,1,0.859101,0.229247,0.652608,1,0.755542,0.198294,0.877935,0.594166,0.057791,1,0.221367,0.215801,0.161639,0.161639,0.161286,0.161286,0.696429,1,0,0,0.464286,1,Outreach,0,0,0,0,1,0
0.015732,0.055853,0.02602,0.159802,0.222581,0.213074,0.055691,0.186047,0,0.48,0.129032,0.018503,0.7096,0.011539,0.568297,0,0,0.223741,0.810679,0.038449,0.189321,0,0,0.435132,0.014275,0.378799,1,0.0737,1,0.008601,0.360306,0.175387,0.658487,0.003657,0.048451,0.013939,0.056708,0.016815,0.171506,0.059699,0.215555,0.110955,0.013028,0.052236,0.315789,0,0.014351,0.782756,0.01344,0.129293,0.059739,0.189122,0.00091,0,0.749104,0.56464,1,0.978059,0.566038,0.323864,0.28125,0.46875,0.288176,0.085767,0.116591,0.372738,0.174549,0,0.00091,1,0.853326,1,0.057316,0.0254,0.006403,0.006403,0.006009,0.006009,0.946429,1,0.53125,0,0.035714,0.021739,Research,0,1,0,0,0,0
