@relation 'trai_norm_email_features_35_30_35-weka.filters.unsupervised.attribute.Remove-R1-2,4-8,10-17,19-20,22-45,47-49,51-66,69-78,81-90,92,94,96,98,100-104,108-110,112-114,116-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R8'

@attribute unique_add_sent_perc numeric
@attribute unique_subjects_received numeric
@attribute total_received_signed numeric
@attribute rec_cc numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute rec_fw numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.315166,0.178404,0.019468,0.037196,0.165233,0.057678,0.072682,0.502767,0.028644,0.048706,0.011145,0.010471,0.003091,0,Research
0.364113,0.054251,0.027255,0.005484,0.132067,0.042169,0.016291,0.545885,0.045764,0.081324,0.011107,0.010354,0.002393,0.012346,GradStudent
0,0.09481,0.173264,0.056986,0.122179,0.160251,0.109023,0.979578,1,1,0.315716,0.299523,0.093405,1,Operations
0.134892,0.031429,0.064893,0.031235,0.152107,0.069094,0.036341,0.740111,0.16074,0.259261,0.02239,0.020706,0.018072,0.024691,Research
0.086154,0.030256,0.055159,0.015737,0.036558,0.020473,0.018797,0.795925,0.147327,0.251924,0.040721,0.040869,0.013211,0.08642,GradStudent
0.121161,0.027256,0,0.02742,0.033765,0.019886,0.052632,0.779199,0.088103,0.147597,0.024019,0.022745,0.038521,0.012346,Operations
0.080075,0.210224,0.329656,0.27897,0.222376,0.12294,0.265664,0.9664,0.615966,0.7597,0.182075,0.171332,0.243039,0.45679,Research
0.187716,0.019823,0.032446,0.009776,0.023999,0.011352,0.031328,0.671033,0.021232,0.039077,0.015199,0.012372,0.025762,0.012346,GradStudent
0.638612,0.005216,0.002596,0.007868,0.007407,0.002414,0.002506,0.12839,0.001082,0.00228,0.002083,0.002798,0.002044,0,GradStudent
0.045069,0.435185,0.90915,0.746066,0.518982,0.210886,0.656642,0.981832,0.427227,0.558497,0.28437,0.287786,0.527784,0.17284,Director
0.3878,0.021779,0.034393,0.00453,0.042835,0.017089,0.005013,0.322638,0.009806,0.017732,0.00488,0.008363,0.000287,0,GradStudent
0.047794,0.193923,0.541207,0.253219,0.270234,0.192688,0.22807,0.97156,0.4754,0.61426,0.203196,0.205581,0.239162,0.259259,PM
0.03616,0.155842,0.423102,0.145923,0.226296,0.115158,0.112782,0.95237,0.54036,0.68123,0.129264,0.131209,0.147715,0.320988,Research
0.222723,0.087376,0.105775,0.029328,0.136359,0.049892,0.02381,0.774215,0.153266,0.245357,0.036549,0.029455,0.007598,0.08642,GradStudent
0.270831,0.045644,0.120701,0.018836,0.049264,0.02035,0.062657,0.770251,0.224465,0.341946,0.023995,0.027075,0.025724,0.037037,Operations
0.04423,1,0.973394,0.942775,1,0.484758,0.942356,0.994598,0.858659,0.905569,0.539133,0.544801,0.686013,0.753086,Director
0.176921,0.065206,0.080467,0.036481,0.065765,0.030427,0.047619,0.812924,0.130577,0.228728,0.043668,0.03857,0.015833,0.098765,GradStudent
0.049471,0.31338,0.384166,0.377444,0.326663,0.163232,0.343358,0.97712,0.830558,0.892531,0.25431,0.243169,0.246928,0.728395,PM
0.211927,0.083464,0.075925,0.025274,0.076635,0.038078,0.037594,0.784657,0.130108,0.222103,0.037013,0.042484,0.017255,0.098765,GradStudent
1,0.009129,0.009734,0.015498,0.009742,0.002315,0.003759,0.313094,0.005184,0.00948,0.00512,0.004856,0.001119,0.024691,Operations
0.220312,0.026343,0.045425,0.026228,0.029338,0.009721,0.026316,0.645933,0.02903,0.052715,0.012578,0.014696,0.028631,0,Research
0.057017,0.875848,1,1,0.955517,1,1,1,0.83343,0.912548,1,1,1,0.703704,Director
0.102819,0.083855,0.119403,0.030997,0.09172,0.046629,0.055138,0.857092,0.194573,0.316756,0.062131,0.064471,0.017484,0.123457,Research
0.213919,0.004173,0.007138,0.003577,0.003358,0.001034,0.003759,0.136075,0.001126,0.002167,0.001851,0.001856,0,0,GradStudent
0.401111,0.02843,0.059053,0.014306,0.029047,0.008053,0.021303,0.691734,0.069493,0.121364,0.019897,0.011771,0.008976,0.024691,GradStudent
0.15208,0.357329,0.196626,0.148784,0.327235,0.128994,0.244361,0.897696,0.452531,0.601238,0.078393,0.075391,0.040017,0.320988,Research
