@relation trai_social_100_0_0

@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations}

@data
0.056861,0.036833,0.294256,0.381111,0.537902,0.509548,0.346362,0.30118,0.338028,0.432836,0.860117,0.094105,0.253118,0.364692,0.385523,0.036892,0.056887,0.192372,0.204522,0,0.044302,0.036402,0.015622,0.015622,0.014546,0.014546,0.474747,0,0.575758,0,0.143939,0.167164,Research
0.016407,0.000978,0.428329,0.571551,0.92571,0.805231,0.337257,0.202747,0.323944,0.313433,0.942687,0.052619,0.338465,0.275813,0.472277,0.000978,0.01641,0.455143,0.560728,0,0.068251,0.065966,0.110939,0.110939,0.110974,0.110974,0.484848,0,0.69697,0,0.098485,0.026866,Director
0.003491,0.000525,0.598294,0.592833,0.902362,0.892443,0.229798,0.13605,0.126761,0.238806,0.595915,0.009111,0.070429,0.187587,0.124264,0.000525,0.003492,0.423835,0.562102,1,0.009708,0.010479,0.001724,0.001724,0.001563,0.001563,0.616162,1,0.787879,1,0.007576,0.035821,GradStudent
0.024816,0.001352,0.413468,0.388495,0.857612,0.623713,0.237407,0.202747,0.169014,0.328358,0.689171,0.02717,0.081483,0.240492,0.138437,0.001448,0.024821,0.733876,0.418393,1,0.016013,0.014821,0.002336,0.002336,0.002222,0.002222,0.606061,1,0.69697,1,0.015152,0.086567,GradStudent
0.00193,0.000234,0.634779,0.627641,0.910499,0.890465,0.186165,0.064892,0.056338,0.089552,0.520169,0.006018,0.017381,0.041468,0.033026,0.000234,0.001931,0.963578,0.754923,1,0.00649,0.005973,0.007105,0.007105,0.007383,0.007383,0.676768,1,0.893939,0,0.007576,0.041791,GradStudent
0.043345,0.000115,0.466216,0.420142,0.984298,0.616095,0.302112,0.355047,0.267606,0.492537,0.905539,0.057441,0.248325,0.495422,0.367552,0.000115,0.043353,0.524253,0.403065,0,0.044001,0.045616,0.041741,0.041741,0.042121,0.042121,0.525253,0,0.515152,0,0.022727,0.146269,Research
0.000251,0.000956,0.376315,0.723924,0.808212,0.987456,0.186165,0.04575,0.112676,0.089552,0.573192,0.046427,0.037349,0.048705,0.064559,0.000989,0.000251,0.349307,0.921469,1,0.009523,0.008913,0.005325,0.005325,0.004113,0.004113,0.676768,1,0.924242,0,0.015152,0,GradStudent
0.017033,0.000088,0.653843,0.537253,0.952053,0.672926,0.193206,0.168694,0.084507,0.238806,0.615373,0.006867,0.038448,0.171438,0.069442,0.000088,0.017052,0.543996,0.458547,1,0.010195,0.009476,0.001154,0.001154,0.002333,0.002333,0.666667,1,0.742424,0,0.007576,0.050746,GradStudent
0.039188,0,0.807356,0.304674,1,0.518202,0.207559,0.202747,0.084507,0.313433,0.66316,0.007101,0.047913,0.186136,0.085652,0,0.03925,0.537521,0.408843,1,0.011597,0.013333,0.003376,0.003376,0.004347,0.004347,0.646465,1,0.69697,0,0,0.119403,GradStudent
0.024006,0.003467,0.378538,0.290848,0.7074,0.552132,0.222288,0.168694,0.15493,0.268657,0.693585,0.017365,0.071227,0.144475,0.126128,0.003468,0.02401,0.332848,0.233116,1,0.014852,0.011889,0.010698,0.010698,0.011033,0.011033,0.626263,1,0.742424,0,0.030303,0.128358,Research
0.004492,0.000748,0.404677,0.459146,0.808212,0.841869,0.193206,0.10473,0.098592,0.179104,0.560818,0.021673,0.025812,0.092077,0.047664,0.000749,0.004493,1,0.760742,1,0.008213,0.007967,0.010413,0.010413,0.010773,0.010773,0.666667,1,0.833333,0,0.015152,0.071642,GradStudent
0.382069,0.166147,0.134822,0.135523,0.223714,0.177483,0.626352,0.724675,0.661972,0.820896,0.983856,0.218261,0.687857,0.827165,0.81076,0.166034,0.382012,0.132479,0.081231,0,0.256781,0.254169,0.115084,0.115084,0.11552,0.11552,0.222222,0,0.181818,0,0.681818,0.61791,Research
0.01374,0,0.632773,0.558931,1,0.783147,0.245118,0.179884,0.140845,0.283582,0.783847,0.004916,0.097925,0.228891,0.166694,0,0.013742,0.443765,0.561271,0,0.015511,0.016424,0.028142,0.028142,0.028585,0.028585,0.59596,0,0.727273,0,0,0.020896,Research
0.011406,0.005896,0.480664,0.497463,0.744282,0.679491,0.268879,0.125467,0.183099,0.179104,0.755382,0.021218,0.11352,0.099755,0.194932,0.006041,0.011408,0.348946,0.450278,0,0.019446,0.014914,0.011541,0.011541,0.011545,0.011545,0.565657,0,0.80303,0,0.030303,0.116418,GradStudent
0.000485,0.0005,0.51667,0.800914,0.744282,0.986316,0.172348,0.10473,0.070423,0.149254,0.538084,0.002578,0.024706,0.121098,0.044314,0.0005,0.000485,0.174862,0.769572,1,0.005274,0.00515,0.011292,0.011292,0.011524,0.011524,0.69697,1,0.833333,0,0.007576,0.002985,Director
0.232154,0.065652,0.270752,0.215452,0.492325,0.283879,0.455977,0.609337,0.492958,0.731343,0.984874,0.12963,0.533808,0.750855,0.670137,0.065423,0.232138,0.148662,0.113788,0,0.232857,0.226448,0.32466,0.32466,0.324644,0.324644,0.363636,0,0.272727,0,0.333333,0.528358,PM
0.116306,0.016598,0.364974,0.302349,0.665092,0.417564,0.413987,0.473644,0.408451,0.61194,0.93035,0.036431,0.468047,0.61575,0.620526,0.016596,0.116327,0.251991,0.216713,0,0.062578,0.060827,0.046361,0.046361,0.046365,0.046365,0.40404,0,0.393939,0,0.310606,0.289552,Operations
0.006052,0.001118,0.457094,0.595023,0.912824,0.895931,0.328283,0.168694,0.28169,0.268657,0.912014,0.024132,0.279747,0.224604,0.416375,0.001119,0.006053,0.587224,0.772436,0,0.046976,0.046829,0.045266,0.045266,0.045426,0.045426,0.494949,0,0.742424,0,0.090909,0.014925,PM
0.11187,0.044381,0.241465,0.266571,0.481044,0.383142,0.455977,0.412417,0.492958,0.552239,0.983735,0.179498,0.514184,0.483733,0.651123,0.044495,0.11189,0.368534,0.233557,0,0.216075,0.215524,0.310308,0.310308,0.310414,0.310414,0.363636,0,0.454545,0,0.318182,0.170149,Research
0.104696,0.069344,0.201732,0.315213,0.360251,0.428689,0.489247,0.489599,0.535211,0.626866,0.928415,0.083094,0.526164,0.648551,0.667374,0.069317,0.104715,0.157997,0.144637,0,0.073978,0.068814,0.026875,0.026875,0.025373,0.025373,0.333333,0,0.378788,0,0.356061,0.495522,Research
0.010525,0.0001,0.547631,0.538516,0.936071,0.789775,0.179214,0.14678,0.070423,0.238806,0.547808,0.005346,0.025285,0.170025,0.045932,0.0001,0.010574,0.605616,0.627399,1,0.007715,0.009096,0.000709,0.000709,0.001417,0.001417,0.686869,1,0.772727,0,0.007576,0.026866,GradStudent
0.06717,0.013365,0.351769,0.397314,0.689171,0.548911,0.393939,0.369048,0.408451,0.507463,0.933376,0.105089,0.449955,0.502329,0.5891,0.013368,0.067182,0.217215,0.322711,0,0.069532,0.070978,0.046968,0.046968,0.046144,0.046144,0.424242,0,0.5,0,0.219697,0.152239,Research
0.25314,0.021878,0.278001,0.192099,0.583093,0.260663,0.374486,0.55622,0.380282,0.686567,0.97861,0.166292,0.335272,0.642533,0.474511,0.021945,0.253264,0.522135,0.153652,0,0.176851,0.179726,0.426118,0.426118,0.426412,0.426412,0.444444,0,0.318182,0,0.098485,0.420896,Operations
0.001765,0.000088,0.648644,0.689341,0.975591,0.915053,0.237407,0.084545,0.126761,0.119403,0.654417,0.005817,0.078869,0.073628,0.137202,0.000088,0.001765,0.458802,0.904116,0,0.010689,0.010829,0.003285,0.003285,0.003904,0.003904,0.606061,0,0.863636,0,0.007576,0.01791,GradStudent
0.005984,0,0.585816,0.583505,1,0.838564,0.207559,0.125467,0.112676,0.208955,0.584681,0.06627,0.054613,0.146958,0.093342,0,0.005985,0.632642,0.617598,1,0.011592,0.011305,0.002448,0.002448,0.002233,0.002233,0.646465,1,0.80303,0,0,0.023881,Research
0.003567,0.000067,0.677321,0.592665,0.970166,0.909869,0.222288,0.168694,0.112676,0.268657,0.577691,0.006256,0.065363,0.224486,0.115125,0.000067,0.003568,0.526634,0.600041,1,0.008568,0.009537,0.001428,0.001428,0.001659,0.001659,0.626263,1,0.742424,0,0.007576,0.059701,GradStudent
0.686482,1,0,0.026927,0,0.032009,1,0.949282,1,0.970149,0.987336,0.470592,1,0.956575,1,1,0.686481,0.082089,0.031817,0,0.328,0.286132,0.091666,0.091666,0.091324,0.091324,0,0,0.030303,0,1,0.779104,Operations
0.013247,0.006401,0.448557,0.531894,0.752694,0.790124,0.310713,0.202747,0.253521,0.313433,0.815993,0.016307,0.213559,0.261984,0.336484,0.006492,0.01325,0.338529,0.534474,0,0.022754,0.019604,0.017296,0.017296,0.016525,0.016525,0.515152,0,0.69697,0,0.068182,0.056716,Research
0.052801,0.028817,0.342856,0.339354,0.568196,0.521398,0.302112,0.314336,0.239437,0.447761,0.843901,0.037876,0.142917,0.368538,0.24424,0.02955,0.052833,0.326784,0.232498,0,0.036087,0.03416,0.011001,0.011001,0.011347,0.011347,0.525253,0,0.560606,0,0.05303,0.271642,GradStudent
0.045495,0.000153,0.589537,0.367481,0.951181,0.447487,0.207559,0.191234,0.126761,0.268657,0.844145,0.008454,0.078248,0.162966,0.133776,0.000153,0.045921,0.273085,0.357634,1,0.023326,0.023787,0.039383,0.039383,0.037266,0.037266,0.646465,1,0.712121,0,0.007576,0.125373,Operations
0.392394,0.057756,0.248874,0.11711,0.440165,0.156938,0.500698,0.704545,0.521127,0.80597,0.977908,0.107826,0.583321,0.776596,0.724364,0.057744,0.392476,0.184689,0.099284,0,0.176619,0.17294,0.245691,0.245691,0.24573,0.24573,0.323232,0,0.19697,0,0.55303,0.620896,Research
0.020276,0.000187,0.719634,0.397191,0.872141,0.583539,0.193206,0.13605,0.070423,0.19403,0.691719,0.005094,0.031603,0.09659,0.057381,0.000187,0.020279,0.439682,0.63543,1,0.010486,0.010981,0.021915,0.021915,0.021742,0.021742,0.666667,1,0.787879,0,0.007576,0.086567,GradStudent
0.001643,0.00054,0.654273,0.532201,0.936071,0.903756,0.200337,0.074654,0.070423,0.134328,0.444461,0.005992,0.027261,0.064657,0.050348,0.00054,0.001643,0.565808,0.745677,1,0.00575,0.002488,0.002922,0.002922,0.00277,0.00277,0.656566,1,0.878788,0,0.007576,0.047761,GradStudent
0.15122,0.013731,0.329509,0.24644,0.67903,0.334656,0.403887,0.489599,0.422535,0.626866,0.988515,0.59089,0.465251,0.593374,0.60232,0.013762,0.151275,0.357757,0.210657,0,0.28848,0.284777,0.529392,0.529392,0.529299,0.529299,0.414141,0,0.378788,0,0.25,0.253731,Director
0.034476,0.00014,0.668893,0.43571,0.952053,0.700962,0.186165,0.179884,0.084507,0.283582,0.495787,0.004634,0.038951,0.19795,0.070318,0.00014,0.034555,0.739887,0.72321,1,0.006221,0.009034,0.000423,0.000423,0.00088,0.00088,0.676768,1,0.727273,0,0.007576,0.083582,GradStudent
0.156346,0.058829,0.282745,0.237878,0.537238,0.327024,0.434657,0.522335,0.464789,0.656716,0.98184,0.161545,0.4962,0.642363,0.637332,0.058426,0.156367,0.232299,0.205199,0,0.204111,0.201042,0.235212,0.235212,0.235214,0.235214,0.383838,0,0.348485,0,0.325758,0.283582,PM
0.134834,0.01413,0.360362,0.277669,0.656251,0.37734,0.424242,0.522335,0.422535,0.656716,0.968206,0.066493,0.495126,0.675713,0.644825,0.014136,0.134843,0.181216,0.159235,0,0.126903,0.127978,0.140851,0.140851,0.140966,0.140966,0.393939,0,0.348485,0,0.401515,0.402985,Research
0.033256,0.005623,0.390764,0.441122,0.754311,0.631741,0.293631,0.275461,0.253521,0.402985,0.803971,0.059104,0.176904,0.357046,0.280167,0.005763,0.033262,0.315982,0.36467,0,0.02903,0.028115,0.00526,0.00526,0.004883,0.004883,0.535354,0,0.606061,0,0.030303,0.131343,GradStudent
