pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,Status
chrisdob,0.001504664,0.002671119,0.243056283,0.002668341,0.74182243,0.010489821,0.019607843,0.527073552,0.01056338,0.545827985,0.003642539,0,0,0,0,0,0,0.009733939,0.210860087,0.032051282,0.3333,0.008802817,0.6667,0.04,0.52259887,0.04,1,0.052631579,1,0.090909091,0.253571429,0.090909091,1,0.1,1,0.004024145,0.93258427,0.015417823,0.857142857,0.002095265,0.928571429,0.013023917,0.904761905,0.002376347,0.793301435,0.000592367,0.206698565,0.010006854,0.473276948,0.010729614,0.526723052,0.049685714,0.088916192,0.230638035,0.104714825,0.238655773,0.001705725,0.000714881,0.275034039,0.003629165,0.122567602,0.002056075,0.272800321,0.005110733,0.225302271,0.001861734,0.01303847,0.004596779,0.000820419,0.002558947,0.17,0.089285714,0.002170963,0.8889,0.001385681,0.110295576,0.007270694,0.497156398,0.006265664,0.182801236,0.02639904,0.382703686,0.1024967,0.636761558,GradStudent
chrisj12,0.000401244,0.001335559,0.500890892,0.000863287,0.662216288,0.008445195,0.012345679,0.395931142,0.009389671,0.70860077,0.002264281,0,0,0,0,0,0,0.005840363,0.151208878,0.012820513,0.2222,0.007042254,0.8889,0,0,0,0,0,0,0,0,0,0,0,0,0.001287726,0.786516854,0.012950971,0.901098901,0.000558737,0.821428571,0.010182335,0.873015873,0.000607903,0.544338118,0.000507743,0.455661882,0.008224812,0.508727731,0.008345255,0.491272269,0.089285714,0.175426798,0.036759647,0.076903278,0.000768491,0.002876757,0.000119147,0.117836366,0.006598482,0.364164771,0.000186916,0.063747154,0.010221465,0.499262754,0.000495419,0.010085905,0.002774382,9.12E-05,0.004386767,0.05,0.321428571,0.000497512,0.5238,0,0,0.005033557,0.435703002,0.006265664,0.218331617,0.031463791,0.581224178,0.021616722,0.709006781,GradStudent
cshahria,0.002340589,0.006010017,0.283618069,0.002354418,0.30524032,0.00942306,0.015976761,0.469796557,0.011997913,0.935815148,0.003962492,0,0,0,0,0,0,0.022063595,0.522393975,0.025641026,0.1176,0.022887324,0.7647,0,0,0,0,0,0,0,0,0,0,0,0,0.005150905,0.797752809,0.013876041,0.868131868,0.003119616,0.892857143,0.01089273,0.825396825,0.002100028,0.252950558,0.003131082,0.747049442,0.011240576,0.710275328,0.005722461,0.289724672,0.2648,0.091826177,0.160536692,0.144158843,0.014821923,0.010549041,0.000893602,0.235053843,0.016166282,0.89032095,0.002056075,0.186420249,0.023282226,0.980241817,0.002513601,0.010183052,0.004285849,0.0023701,0.009687443,0.33,0.660714286,0.002623247,0.7342,0,0,0.00545302,0.410900474,0.011278195,0.359423275,0.197002733,0.780101014,0.207481398,0.766571033,GradStudent
cthomp,0.056140703,0.052420701,0.053767949,0.046068121,0.211448598,0.285980976,0.118373275,0,0.290558164,0.488061617,0.12012995,0.010419891,0.079247283,0.019431988,0.2574,0.014129896,0.5644,0.656716418,0.618906064,0.192307692,0.0296,0.665492958,0.747,0,0,0,0,0,0,0,0,0,0,0,0,0.122977867,0.898876404,0.360160345,0.703296703,0.077943847,1,0.37816718,0.984126984,0.073279912,0.661722488,0.030295337,0.338277512,0.253735435,0.313298542,0.325703386,0.686701458,0.321685714,0.079332644,0.370973194,0.047476153,0.077793643,0.001627875,0.010663648,0.131204357,0.181788189,0.303765479,0.031401869,0.13325298,0.229415105,0.344736066,0.056273117,0.286953897,0.120412578,0.066089335,0.233778103,0.43,0.428571429,0.027317956,0.3578,0.131639723,0.334854196,0.238954139,0.554818325,0.319548872,0.405252317,0.117666456,0.374453094,0.208852681,0.307943744,Director
darek,0.000501555,0.00033389,0.301226287,0.001020248,0.67222964,0,0,0.383098592,0,0.939409499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001690141,0.91011236,0,1,0.000791544,1,0,1,0.000828958,0.667783094,0.000423119,0.332216906,0,0.91650171,0,0.08349829,0.040828571,0.033742887,0.359578211,0.122018283,0.060905794,0.020140497,0.000774455,0.670503775,0.001649621,0.750568613,0.002242991,0.669612964,0.002839296,1,0.000516279,0,0,0.000364631,0,0.17,0.964285714,0.000678426,0.625,0,0,0,0.949131122,0,0,0.082817443,0.061966222,0,0,GradStudent
deannac,0.085699,0.095492487,0.071271355,0.085543871,0.337783712,0.26757934,0.263616558,0.217527387,0.261737089,0.422593068,0.136792105,0.160115547,0.799628942,0.183109118,0.1579,0.197074864,0.5122,0.331602855,0.333927864,0.301282051,0.092,0.336267606,0.7476,0.32,0.087570621,0.32,1,0.368421053,0.875,0.545454545,0.071428571,0.545454545,1,0.6,1,0.159034205,0.741573034,0.285383904,0.582417582,0.113516785,0.910714286,0.311271608,0.793650794,0.122133186,0.777990431,0.030295337,0.222009569,0.289924606,0.540939356,0.213400095,0.459060644,0.2016,0.04754268,0.516168691,0.0993547,0.176118492,0.007720903,0.003693554,0.029830425,0.129660178,0.20166793,0.011028037,0.030668274,0.093696763,0.137717487,0.122822274,0.384315671,0.196327567,0.123336372,0.280387498,0.53,0.625,0.045364089,0.39,0.045265589,0.075580242,0.208193512,0.49778831,0.270676692,0.366632338,0.293341298,0.519142537,0.70235475,0.440025812,Operations
drdepoy,0.01454509,0.022036728,0.124200818,0.013655627,0.290720961,0.025157792,0.029774873,0.299217527,0.028821075,0.728883184,0.01730206,0.001341174,0.038828518,0.007473842,0.7692,0.002231036,0.6923,0.050616483,0.505152596,0.08974359,0.1795,0.055457746,0.8077,0.04,0.064971751,0.04,1,0.052631579,1,0.090909091,0.117857143,0.090909091,1,0.1,1,0.027203219,0.730337079,0.037773666,0.868131868,0.018205522,0.821428571,0.031494198,0.904761905,0.013318596,0.285167464,0.016840146,0.714832536,0.027416038,0.573150981,0.019790176,0.426849019,0.200314286,0.132928091,0.62227036,0.075682027,0.274146476,0.002289772,0.001608483,0.075256839,0.009237875,0.127621936,0.00411215,0.066291683,0.010789324,0.1863757,0.014796089,0.025591207,0.017588678,0.004649043,0.019009322,0.11,0.410714286,0.015151515,0.7545,0.005542725,0.053560801,0.019574944,0.528436019,0.026315789,0.353244078,0.151959585,0.571987285,0.139065301,0.433847891,Research
dslevy,0.026649279,0.039065109,0.113090871,0.028959347,0.397363151,0.112365544,0.106753813,0.205946792,0.099374022,0.266752246,0.05035564,0.027339317,0.435727538,0.050822123,0.2566,0.033961329,0.517,0.341336794,0.809948474,0.166666667,0.0494,0.343309859,0.7414,0,0,0,0,0,0,0.636363636,0.192857143,0.454545455,0.7143,0.7,1,0.052394366,0.786516854,0.152636448,0.769230769,0.032872375,0.785714286,0.134027942,0.841269841,0.024537165,0.291547049,0.030295337,0.708452951,0.090747087,0.228540579,0.143538388,0.771459421,0.119,0.093481635,0.270536327,0.073702369,0.067609194,0.003057366,0.006433933,0.165862112,0.092048829,0.425322214,0.017570093,0.156153743,0.13003975,0.506045414,0.058317373,0.247040496,0.11087738,0.014858706,0.084810821,0.2,0.375,0.027815468,0.763,0.027251732,0.145209284,0.123042506,0.815007899,0.131578947,0.420185376,0.119163544,0.488609814,0.441726952,0.578251208,Director
example,0.002942455,0.006010017,0.221989309,0.004002511,0.54105474,0.008889679,0.016702977,0.525821596,0.008737611,0.522721438,0.004257833,0.00185701,0.245958124,0.006726457,0.5,0.002478929,0.5556,0.0266061,0.660523187,0.051282051,0.1951,0.025528169,0.7073,0,0,0,0,0,0,0,0,0,0,0,0,0.007484909,0.966292135,0.014492754,0.945054945,0.004190529,1,0.011839924,1,0.004310583,0.753429027,0.001269358,0.246570973,0.011514736,0.809789455,0.003814974,0.190210545,0.0742,0.071857217,0.186758159,0.122949946,0.030461227,0.00591193,0.000893602,0.191360317,0.006928406,0.364670205,0.002803738,0.207044328,0.010789324,0.501916839,0.005350529,0.017004136,0.008261727,0.000729262,0.003655639,0.08,0.232142857,0.003075531,0.701,0.001385681,0.061297362,0.006711409,0.560505529,0.003759398,0.125643666,0.090571964,0.386327829,0.307782566,0.594971324,GradStudent
fnguyen,0.011268265,0.03672788,0.306362017,0.014989798,0.560080107,0.046137434,0.124183007,0.849452269,0.053599374,0.748395379,0.020698481,0.003817188,0.141664458,0.021674141,0.7838,0.007436787,0.8108,0.036340039,0.204716607,0.076923077,0.2143,0.036971831,0.75,0.16,0.327683616,0.16,1,0.210526316,1,0.454545455,0.328571429,0.454545455,1,0.3,0.6,0.007243461,0.168539326,0.02960222,0.340659341,0.014387484,0.839285714,0.043097324,0.53968254,0.01635811,0.788038278,0.003892697,0.211961722,0.061686086,0.837322296,0.016452074,0.162677704,0.149771429,0.013049664,0.44693577,0.179293186,0.075976759,0.011303387,0.015489098,0.930065602,0.060046189,0.734142027,0.006915888,0.143163252,0.033503691,0.311707461,0.013145561,0.054006606,0.024233374,0.008568824,0.018643758,0.27,0.107142857,0.005970149,0.3815,0.0073903,0.091648482,0.021951902,0.222906793,0.018796992,0.142636457,0.076962099,0.482754973,0.060903374,0.383281014,GradStudent
hayajs,0.001638412,0.003672788,0.277119799,0.00251138,0.607476636,0.007378434,0.013071895,0.488262911,0.009389671,0.935044929,0.002879575,0.000103167,0.022793533,0.000747384,1,0.000247893,1,0.018170019,0.523583036,0.038461538,0.2143,0.021126761,0.8571,0,0,0,0,0,0,0,0,0,0,0,0,0.003863179,0.820224719,0.011100833,0.89010989,0.00195558,0.714285714,0.008998342,0.888888889,0.001657917,0.340031898,0.002030972,0.659968102,0.008773132,0.716573691,0.004530281,0.283426309,0.118457143,0.113993792,0.072327583,0.176907239,0.003737076,0.007761614,0.000893602,0.32008912,0.006928406,0.443770533,0.002429907,0.30012053,0.010789324,0.586257741,0.001757435,0.007976435,0.00311986,0.002278943,0.004935112,0.43,0.446428571,0.001809136,0.6897,0.000461894,0.034120214,0.003076063,0.309004739,0.006265664,0.243048404,0.203195119,0.903646117,0.333715195,0.646772601,GradStudent
het,0.013408232,0.022370618,0.141075359,0.015853084,0.459612817,0.066139212,0.071169208,0.255086072,0.068727178,0.537869063,0.027811277,0,0,0,0,0,0,0.149253731,0.594332144,0.179487179,0.1217,0.149647887,0.7391,0.08,0.138418079,0.08,1,0.105263158,1,0.272727273,0.139285714,0.272727273,1,0.3,1,0.028490946,0.853932584,0.093894542,0.802197802,0.017646785,0.892857143,0.083945063,0.920634921,0.01265543,0.311483254,0.014978421,0.688516746,0.062782728,0.397336692,0.068192656,0.602663308,0.175485714,0.122762545,0.796295545,0.077000982,0.978812689,0.002233549,0.003872275,0.196187647,0.037611349,0.257012889,0.010841121,0.189500469,0.049971607,0.324093188,0.01781554,0.088160597,0.03711971,0.015223336,0.080789618,0.41,0.785714286,0.012618725,0.6805,0.0147806,0.154731204,0.053411633,0.536650869,0.081453634,0.436148301,0.190142531,0.605113952,0.56499523,0.722250803,Research
