@relation trai_unnorm_email_features_100_0_0

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
2180,184,0.0844,741,0.3399,2341,201,0.0859,1281,0.5472,4521,475,0.2179,92,0.1937,174,0.3663,612,0.2614,30,0.049,327,0.5343,9,0.0041,9,1,9,1,18,0.0077,18,1,17,0.9444,70,85,92,91,1657,0.7601,523,0.2399,1777,0.7591,564,0.2409,1.6991,2.9628,233.626606,546.592909,86919.117457,431435.626246,420,0.1927,436,0.1862,303,0.139,361,0.1542,1.9945,2.1418,4.1363,426,846,0.2,0.36,1602,0.7349,68,0.0312,1052,0.4494,130,0.0555,22.543578,36.135839,188.271954,959.333961,0.016032,0.00821,31.705882,41.793103,0.600806,0.583766,0.623077,0.745614,0.419753,0.682353,120.832167,0.045237,460003741824.612096,2.10433711581148128E17,0.476776,0.008209,0.016029,0.274303,0.237794,2,0.011186,0.01122,0.003245,0.003245,0.003238,0.003238,1.585366,2,1.325581,2,44,176,Research
134,24,0.1791,67,0.5,398,42,0.1055,212,0.5327,532,0,0,0,0,0,0,49,0.1231,8,0.1633,22,0.449,5,0.0373,5,1,4,0.8,2,0.005,2,1,2,1,94,91,96,95,119,0.8881,15,0.1119,275,0.691,123,0.309,1.2407,2.46,316.753731,566.246231,463681.290098,243163.461983,22,0.1642,39,0.098,21,0.1567,36,0.0905,0.1455,0.4321,0.5776,24,92,0.18,0.23,105,0.7836,3,0.0224,180,0.4523,17,0.0427,19.410448,32.854271,228.495712,934.621979,0.000105,0,55.5,51.772727,1,0.952632,0.496933,0.566667,0.049383,0.258824,78.584655,0.001986,14165665790.150732,4.159389000227568E16,0.020227,0,0.000105,0.723164,0.557675,3,0.002763,0.002953,0.00032,0.00032,0.000535,0.000535,1.987805,3,1.744186,2,1,10,GradStudent
70,25,0.3571,29,0.4143,359,41,0.1142,221,0.6156,429,0,0,0,0,0,0,30,0.0836,5,0.1667,27,0.9,0,0,0,0,0,0,0,0,0,0,0,0,83,89,91,91,49,0.7,21,0.3,233,0.649,126,0.351,1.8919,4.3262,114.657143,490.089136,13689.539592,265571.602083,5,0.0714,61,0.1699,4,0.0571,55,0.1532,0.0731,0.3751,0.4483,4,109,0.06,0.3,45,0.6429,0,0,167,0.4652,15,0.0418,19.914286,38.749304,91.906939,1205.491469,0.000435,0.000153,45.375,54.625,0.928571,0.880435,0.522581,0.582192,0.098765,0.282353,88.510491,0.005566,40505200408.403816,5.4232168706458816E16,0.057052,0.000153,0.000435,0.466506,0.335834,3,0.003211,0.003395,0.001078,0.001078,0.001132,0.001132,1.890244,3,1.697674,2,2,36,GradStudent
194,34,0.1753,47,0.2423,383,47,0.1227,277,0.7232,577,0,0,0,0,0,0,88,0.2298,8,0.0909,64,0.7273,1,0.0052,1,1,1,1,1,0.0026,1,1,1,1,82,84,95,88,89,0.4588,105,0.5412,304,0.7937,79,0.2063,3.0313,3.0037,239.92268,714.360313,55471.452785,894375.488973,35,0.1804,143,0.3734,29,0.1495,121,0.3159,0.1869,0.369,0.5559,61,167,0.31,0.44,147,0.7577,0,0,163,0.4256,31,0.0809,32.051546,43.05483,267.770539,998.093599,0.000591,0.000051,50.166667,46.913043,0.933333,0.833333,0.512658,0.57047,0.074074,0.270588,87.579634,0.002674,25465501645.504408,3.7332026076024624E16,0.036676,0.000051,0.000591,0.504823,0.393949,3,0.002904,0.003217,0.002377,0.002377,0.002518,0.002518,1.926829,3,1.732558,2,2,26,GradStudent
4777,281,0.0588,862,0.1804,9247,244,0.0264,4867,0.5263,14024,312,0.0653,39,0.125,98,0.3141,2753,0.2977,37,0.0134,1561,0.567,0,0,0,0,0,0,6,0.0006,6,1,6,1,90,72,99,99,3788,0.793,989,0.207,5362,0.5799,3885,0.4201,3.5917,2.3723,436.168934,450.318049,201312.824507,261320.705052,485,0.1015,1471,0.1591,443,0.0927,1093,0.1182,4.2997,8.3231,12.6229,2142,3575,0.45,0.39,1743,0.3649,816,0.1708,4872,0.5269,687,0.0743,25.820599,32.971991,275.917365,527.488888,0.008521,0.00603,33.194444,43.566038,0.682709,0.638431,0.632813,0.714286,0.444444,0.623529,126.869521,0.086076,593713004703.980416,1.91655541318687296E17,0.563995,0.00603,0.008521,0.348331,0.283851,2,0.027371,0.026584,0.04121,0.04121,0.041253,0.041253,1.560976,2,1.383721,2,56,67,Director
70,15,0.2143,22,0.3143,62,13,0.2097,37,0.5968,132,0,0,0,0,0,0,4,0.0645,3,0.75,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,91,92,100,98,50,0.7143,20,0.2857,58,0.9355,4,0.0645,1.7073,1.6792,469.714286,501.709677,609708.261224,776240.786681,40,0.5714,23,0.371,37,0.5286,20,0.3226,0.0656,0.0581,0.1237,13,58,0.19,0.94,42,0.6,0,0,45,0.7258,4,0.0645,25.442857,27.080645,114.103878,249.816077,0.000012,0,62.5,64.083333,1,0.984848,0.47093,0.534591,0.024691,0.141176,30.81838,0.000091,4138538237.510966,1.769262125706211E16,0.005925,0,0.000012,0.490566,0.459467,3,0.001965,0.001985,0.000413,0.000413,0.000471,0.000471,2.097561,3,1.848837,3,1,2,GradStudent
7465,444,0.0595,1857,0.2488,8608,603,0.0701,4277,0.4969,16073,4577,0.6131,369,0.0806,1412,0.3085,1535,0.1783,65,0.0423,819,0.5336,29,0.0039,29,1,21,0.7241,14,0.0016,14,1,14,1,78,61,95,87,6421,0.8601,1044,0.1399,6071,0.7053,2537,0.2947,2.3147,1.8153,561.062693,607.84224,408032.419378,797335.943513,183,0.0245,1162,0.135,164,0.022,502,0.0583,9.5951,11.0643,20.6594,3762,4382,0.5,0.51,2935,0.3932,284,0.038,4295,0.499,640,0.0743,39.10998,37.059712,763.208936,691.287094,0.051813,0.063452,24.416667,36.831169,0.354507,0.446847,0.778846,0.894737,0.740741,0.905882,126.741207,0.117017,964986102708.234624,3.0098264455944224E17,0.762749,0.06346,0.05178,0.241317,0.195932,2,0.028915,0.027115,0.018684,0.018684,0.018682,0.018682,1.268293,2,1.104651,2,114,288,Operations
1280,92,0.0719,227,0.1773,967,75,0.0776,559,0.5781,2247,31,0.0242,12,0.3871,12,0.3871,255,0.2637,20,0.0784,147,0.5765,1,0.0008,1,1,1,1,3,0.0031,2,0.6667,2,0.6667,76,84,89,93,728,0.5688,552,0.4313,689,0.7125,278,0.2875,3.4501,3.1877,672.071094,554.931748,651908.359789,401356.111164,82,0.0641,96,0.0993,66,0.0516,65,0.0672,1.17,0.8839,2.0539,118,363,0.09,0.38,974,0.7609,41,0.032,519,0.5367,57,0.0589,28.890625,36.530507,192.509912,645.252172,0.004128,0.008101,33.192308,46.585366,0.655797,0.711201,0.586957,0.648855,0.320988,0.482353,115.096061,0.056636,275953151719.883776,1.24047557484390656E17,0.323408,0.008111,0.004129,0.296016,0.262668,2,0.008008,0.00701,0.002675,0.002675,0.002497,0.002497,1.682927,2,1.523256,2,20,58,Research
2320,202,0.0871,572,0.2466,3743,215,0.0574,1563,0.4176,6063,796,0.3431,131,0.1646,202,0.2538,1516,0.405,35,0.0231,793,0.5231,0,0,0,0,0,0,14,0.0037,9,0.6429,13,0.9286,80,79,88,90,1303,0.5616,1017,0.4384,2047,0.5469,1696,0.4531,2.2372,2.6458,353.975862,528.504675,208800.991659,405050.350967,315,0.1358,688,0.1838,271,0.1168,574,0.1534,4.5313,7.3105,11.8418,535,1367,0.23,0.37,1729,0.7453,169,0.0728,2580,0.6893,311,0.0831,27.940948,35.644937,599.056427,854.874999,0.001197,0.000215,38.76,51.969697,0.944664,0.87957,0.582734,0.611511,0.308642,0.388235,123.186593,0.031708,367604963986.531008,9.8127839448151744E16,0.394851,0.000215,0.001197,0.460591,0.394769,2,0.011275,0.011091,0.017665,0.017665,0.017697,0.017697,1.695122,2,1.616279,2,14,11,Director
300,35,0.1167,104,0.3467,358,35,0.0978,216,0.6034,658,47,0.1567,15,0.3191,27,0.5745,113,0.3156,12,0.1062,62,0.5487,3,0.01,3,1,2,0.6667,4,0.0112,3,0.75,4,1,97,96,99,100,256,0.8533,44,0.1467,302,0.8436,56,0.1564,1.6393,2.1928,255.353333,674.854749,75803.915156,576765.001248,58,0.1933,65,0.1816,57,0.19,63,0.176,0.471,0.562,1.033,17,121,0.06,0.34,209,0.6967,8,0.0267,173,0.4832,10,0.0279,20.566667,35.879888,221.145556,919.574959,0.000262,0.000116,45.818182,52.571429,0.927273,0.929231,0.532895,0.586207,0.135802,0.329412,89.208435,0.005565,79770340594.225328,7.2398309136500048E16,0.108258,0.000116,0.000262,0.440982,0.395278,3,0.003289,0.003431,0.000489,0.000489,0.000451,0.000451,1.853659,3,1.686047,3,2,14,GradStudent
1001,176,0.1758,368,0.3676,1549,310,0.2001,1036,0.6688,2550,87,0.0869,51,0.5862,49,0.5632,140,0.0904,20,0.1429,92,0.6571,6,0.006,6,1,6,1,8,0.0052,8,1,6,0.75,27,40,91,69,846,0.8452,155,0.1548,1362,0.8793,187,0.1207,1.9705,1.1118,515.238761,852.477728,192547.104831,1172483.855701,756,0.7552,515,0.3325,107,0.1069,166,0.1072,1.046,1.6186,2.6646,303,381,0.3,0.25,378,0.3776,44,0.044,480,0.3099,47,0.0303,22.448551,36.409296,151.442158,636.600714,0.001807,0.000297,38.142857,46.794118,0.893939,0.77621,0.536424,0.611511,0.17284,0.4,98.346064,0.016417,91639875016.179168,8.7827212416829536E16,0.119929,0.000318,0.001807,0.635163,0.341983,3,0.004149,0.004031,0.000586,0.000586,0.000555,0.000555,1.841463,3,1.616279,3,3,31,GradStudent
