@relation cros_unnorm_email_features_60_20_20

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
436,98,0.2248,287,0.6583,475,88,0.1853,388,0.8168,911,92,0.211,40,0.4348,66,0.7174,119,0.2505,14,0.1176,97,0.8151,4,0.0092,4,1,4,1,6,0.0126,6,1,6,1,71,86,92,92,334,0.7661,102,0.2339,372,0.7832,103,0.2168,1.1816,1.5877,242.924312,544.743158,91524.001152,442190.628769,82,0.1881,79,0.1663,58,0.133,67,0.1411,1.9945,2.1729,4.1674,76,162,0.17,0.34,315,0.7225,11,0.0252,210,0.4421,21,0.0442,22.795872,35.646316,176.125763,949.428592,0.013011,0.015126,20,37.727273,0.483333,0.592334,0.536,0.669355,0.238806,0.53012,46.668825,0.054321,17984290.479152,5.633611215816735E14,0.200552,0.015821,0.013001,0.280841,0.24265,3,0.01243,0.011935,0.002338,0.002338,0.003153,0.003153,1.838235,3,1.47619,2,13,135,Research
25,11,0.44,21,0.84,82,22,0.2683,62,0.7561,107,0,0,0,0,0,0,11,0.1341,6,0.5455,9,0.8182,1,0.04,1,1,1,1,1,0.0122,1,1,1,1,96,93,96,95,24,0.96,1,0.04,57,0.6951,25,0.3049,1.0417,1.7463,218.4,572.231707,50865.12,339877.738995,4,0.16,5,0.061,4,0.16,4,0.0488,0.1357,0.4452,0.5809,3,18,0.12,0.22,17,0.68,0,0,37,0.4512,3,0.0366,17.08,28.04878,101.5136,557.558596,0.000218,0,30,45.470588,1,0.904762,0.429487,0.549669,0.029851,0.204819,17.120498,0.001746,519968.945322,1.0660400106029798E14,0.006206,0,0.000218,1,0.5251,4,0.002909,0.003176,0.000226,0.000226,0.000583,0.000583,2.294118,4,1.797619,2,1,4,GradStudent
15,12,0.8,11,0.7333,69,25,0.3623,58,0.8406,84,0,0,0,0,0,0,6,0.087,3,0.5,5,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,73,84,87,88,9,0.6,6,0.4,37,0.5362,32,0.4638,1.0714,1.7869,101.333333,457.724638,10486.488889,191191.15606,1,0.0667,12,0.1739,1,0.0667,11,0.1594,0.0784,0.3605,0.4389,1,14,0.07,0.2,11,0.7333,0,0,37,0.5362,4,0.058,18.6,33.565217,42.106667,558.970384,0.000754,0,10,45.941176,0,0.772059,0.322115,0.557047,0.014925,0.204819,8.510184,0,11253.265981,1.114358191111574E14,0.000316,0,0.000756,0,0.326608,4,0.003073,0.003365,0.000005,0.000005,0.000914,0.000914,3.058824,4,1.77381,2,1,9,GradStudent
46,19,0.413,27,0.587,74,22,0.2973,66,0.8919,120,0,0,0,0,0,0,16,0.2162,2,0.125,16,1,1,0.0217,1,1,1,1,0,0,0,0,0,0,83,85,93,89,25,0.5435,21,0.4565,60,0.8108,14,0.1892,1.3939,1.4127,246.021739,553.513514,49525.238658,417054.628196,6,0.1304,29,0.3919,5,0.1087,27,0.3649,0.2216,0.3565,0.578,14,19,0.3,0.26,35,0.7609,0,0,33,0.4459,5,0.0676,31.304348,35.297297,219.516068,665.398101,0.000485,0,40,41.111111,0,0.833333,0.406061,0.549669,0.014925,0.216867,20.701747,0,228540.361674,1.0062459480983323E14,0.002545,0,0.000498,0,0.497593,4,0.002782,0.003252,0.002121,0.002121,0.002376,0.002376,2.426471,4,1.797619,3,1,14,GradStudent
960,118,0.1229,422,0.4396,1931,144,0.0746,1514,0.784,2891,79,0.0823,23,0.2911,47,0.5949,528,0.2734,25,0.0473,459,0.8693,0,0,0,0,0,0,2,0.001,2,1,2,1,90,70,99,99,750,0.7813,210,0.2188,1103,0.5712,828,0.4288,1.8286,1.3889,439.141667,445.652512,202510.842431,250016.731142,99,0.1031,302,0.1564,89,0.0927,218,0.1129,4.3204,8.6904,13.0108,445,745,0.46,0.39,346,0.3604,160,0.1667,1057,0.5474,134,0.0694,25.945833,33.602796,245.280399,552.830836,0.010263,0.003253,24.913043,38.454545,0.750988,0.624855,0.577586,0.669355,0.343284,0.53012,52.489751,0.048514,71659301.351516,5.95941128092913E14,0.544927,0.003255,0.010262,0.371495,0.267574,3,0.027782,0.026484,0.042817,0.042817,0.041614,0.041614,1.705882,3,1.47619,2,22,79,Director
12,7,0.5833,10,0.8333,12,6,0.5,11,0.9167,24,0,0,0,0,0,0,1,0.0833,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,83,83,100,92,8,0.6667,4,0.3333,12,1,0,0,1,1.1818,491.083333,542.666667,167035.909722,157012.388889,7,0.5833,4,0.3333,6,0.5,3,0.25,0.0562,0.0562,0.1125,3,8,0.25,0.67,8,0.6667,0,0,7,0.5833,2,0.1667,26.75,21.75,135.854167,193.020833,0,0,0,53.857143,0,1,0,0.509202,0,0.084337,0,0,0,2.621356050624745E13,0,0,0,0,0.362555,0,0,0.002036,0,0,0.000438,0.000438,0,0,1.940476,3,0,1,GradStudent
1565,233,0.1489,801,0.5118,1681,274,0.163,1226,0.7293,3246,971,0.6204,192,0.1977,573,0.5901,304,0.1808,38,0.125,245,0.8059,7,0.0045,7,1,4,0.5714,2,0.0012,2,1,2,1,77,59,95,85,1345,0.8594,220,0.1406,1199,0.7133,482,0.2867,1.5034,1.2549,548.93099,622.076145,406079.271915,793017.206576,41,0.0262,243,0.1446,38,0.0243,104,0.0619,10.0578,10.8033,20.8612,768,875,0.49,0.52,610,0.3898,57,0.0364,850,0.5057,138,0.0821,38.745048,36.891731,752.076213,659.531407,0.059283,0.052494,19.647059,31.385714,0.461694,0.403424,0.650485,0.846939,0.507463,0.843373,52.305305,0.138282,99182901.082555,1.0702108742975528E15,0.675272,0.05225,0.059278,0.243151,0.185674,3,0.028935,0.028779,0.01893,0.01893,0.018395,0.018395,1.514706,3,1.166667,2,32,322,Operations
244,56,0.2295,116,0.4754,192,42,0.2188,160,0.8333,436,9,0.0369,4,0.4444,6,0.6667,56,0.2917,11,0.1964,49,0.875,0,0,0,0,0,0,0,0,0,0,0,0,74,83,89,91,141,0.5779,103,0.4221,135,0.7031,57,0.2969,1.4611,1.7303,604.758197,542.177083,523750.003007,451637.697808,18,0.0738,16,0.0833,14,0.0574,10,0.0521,1.1152,0.8775,1.9927,16,73,0.07,0.38,190,0.7787,10,0.041,101,0.526,12,0.0625,30.110656,34.703125,215.229559,532.52124,0.003413,0.088195,16.8,40.741935,0.357143,0.694581,0.471831,0.601449,0.149254,0.373494,35.773021,0.119429,5100730.001406,3.151465789793642E14,0.133735,0.088195,0.003415,0.263521,0.251061,3,0.01299,0.006911,0.001218,0.001218,0.002215,0.002215,2.088235,3,1.642857,3,4,50,Research
492,93,0.189,298,0.6057,782,129,0.165,563,0.7199,1274,166,0.3374,59,0.3554,109,0.6566,299,0.3824,29,0.097,248,0.8294,0,0,0,0,0,0,1,0.0013,1,1,1,1,83,76,90,88,280,0.5691,212,0.4309,434,0.555,348,0.445,1.2456,1.4244,373.077236,532.460358,283551.920864,451995.596255,60,0.122,129,0.165,50,0.1016,108,0.1381,4.8047,7.6367,12.4414,120,304,0.24,0.39,376,0.7642,31,0.063,536,0.6854,63,0.0806,29.603659,35.158568,628.914052,838.575879,0.00157,0.000434,29.4375,46.225806,0.925,0.866995,0.544715,0.605839,0.238806,0.373494,49.03085,0.013777,44033186.826242,4.032402167779297E14,0.378415,0.000434,0.00157,0.395264,0.317966,3,0.011048,0.011179,0.016952,0.016952,0.016704,0.016704,1.808824,3,1.630952,2,5,22,Director
72,19,0.2639,50,0.6944,73,19,0.2603,64,0.8767,145,13,0.1806,9,0.6923,12,0.9231,28,0.3836,8,0.2857,23,0.8214,0,0,0,0,0,0,1,0.0137,1,1,1,1,97,97,99,100,63,0.875,9,0.125,65,0.8904,8,0.1096,1.1429,1.6875,261.666667,782.369863,71637.194444,707440.013886,14,0.1944,8,0.1096,14,0.1944,8,0.1096,0.5651,0.573,1.1381,4,24,0.06,0.33,45,0.625,2,0.0278,28,0.3836,4,0.0548,19.972222,40.684932,87.971451,1008.133609,0.000251,0,13,49,0,0.901961,0.350785,0.560811,0.014925,0.216867,10.269447,0,40942.243259,1.466538650397583E14,0.000497,0,0.000251,0,0.383882,4,0.002648,0.003639,0.000021,0.000021,0.000485,0.000485,2.808824,4,1.761905,2,1,8,GradStudent
