pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
cheadley,436,98,0.2248,287,0.6583,475,88,0.1853,388,0.8168,911,92,0.211,40,0.4348,66,0.7174,119,0.2505,14,0.1176,97,0.8151,4,0.0092,4,1.0,4,1.0,6,0.0126,6,1.0,6,1.0,71,86,92,92,334,0.7661,102,0.2339,372,0.7832,103,0.2168,1.1816,1.5877,242.9243119266055,544.7431578947369,91524.00115204958,442190.6287689749,82,0.1881,79,0.1663,58,0.133,67,0.1411,1.9945,2.1729,4.1674,76,162,0.17,0.34,315,0.7225,11,0.0252,210,0.4421,21,0.0442,22.79587155963303,35.64631578947368,176.125762772494,949.4285916897513,0.01301066704108792,0.015125774381700631,20.0,37.72727272727273,0.4833333333333333,0.5923344947735192,0.536,0.6693548387096774,0.2388059701492537,0.5301204819277109,46.66882492824194,0.05432055521848177,17984290.479152367,563361121581673.5,0.20055237285689329,0.015820725018486217,0.013000559448545562,0.2808406944867499,0.24264992150706435,3.0,0.01243023385357377,0.011935142835701214,0.0023384123645186178,0.002338412365516409,0.00315253820705896,0.0031525382090935136,1.8382352941176472,3.0,1.4761904761904765,2.0,13.0,135.0,Research
chrisdob,25,11,0.44,21,0.84,82,22,0.2683,62,0.7561,107,0,0.0,0,0.0,0,0.0,11,0.1341,6,0.5455,9,0.8182,1,0.04,1,1.0,1,1.0,1,0.0122,1,1.0,1,1.0,96,93,96,95,24,0.96,1,0.04,57,0.6951,25,0.3049,1.0417,1.7463,218.4,572.2317073170733,50865.11999999999,339877.7389946461,4,0.16,5,0.061,4,0.16,4,0.0488,0.1357,0.4452,0.5809,3,18,0.12,0.22,17,0.68,0,0.0,37,0.4512,3,0.0366,17.08,28.04878048780488,101.51360000000004,557.5585960737657,0.0002181697290684171,0.0,30.0,45.470588235294116,1.0,0.9047619047619048,0.42948717948717946,0.5496688741721855,0.02985074626865672,0.20481927710843376,17.1204984308677,0.0017464548754656936,519968.94532190904,106604001060297.98,0.006206342794639397,0.0,0.0002181697290684171,1.0,0.5250998288648032,4.0,0.00290928954641435,0.0031756052354147057,0.00022645002269979888,0.00022645002263599272,0.000583303761720391,0.0005833037618131362,2.294117647058824,4.0,1.7976190476190477,2.0,1.0,4.0,GradStudent
chrisj12,15,12,0.8,11,0.7333,69,25,0.3623,58,0.8406,84,0,0.0,0,0.0,0,0.0,6,0.087,3,0.5,5,0.8333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73,84,87,88,9,0.6,6,0.4,37,0.5362,32,0.4638,1.0714,1.7869,101.33333333333331,457.7246376811594,10486.48888888889,191191.1560596513,1,0.0667,12,0.1739,1,0.0667,11,0.1594,0.0784,0.3605,0.4389,1,14,0.07,0.2,11,0.7333,0,0.0,37,0.5362,4,0.058,18.6,33.56521739130435,42.106666666666655,558.970384373031,0.000753855735013348,0.0,10.0,45.941176470588225,0.0,0.7720588235294118,0.32211538461538464,0.5570469798657718,0.01492537313432836,0.20481927710843376,8.510184461845332,0.0,11253.265980930315,111435819111157.4,0.00031614514457931135,0.0,0.0007560719975780809,0.0,0.32660803586825315,4.0,0.0030734369300729467,0.003364876945063895,5.346534571317218e-06,5.346534567732016e-06,0.0009140980952352957,0.0009140980948122697,3.0588235294117645,4.0,1.7738095238095235,2.0,1.0,9.0,GradStudent
cshahria,46,19,0.413,27,0.587,74,22,0.2973,66,0.8919,120,0,0.0,0,0.0,0,0.0,16,0.2162,2,0.125,16,1.0,1,0.0217,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,83,85,93,89,25,0.5435,21,0.4565,60,0.8108,14,0.1892,1.3939,1.4127,246.0217391304348,553.5135135135135,49525.238657845,417054.62819576345,6,0.1304,29,0.3919,5,0.1087,27,0.3649,0.2216,0.3565,0.578,14,19,0.3,0.26,35,0.7609,0,0.0,33,0.4459,5,0.0676,31.30434782608696,35.2972972972973,219.51606805293,665.3981008035064,0.00048495177128259894,0.0,40.0,41.111111111111114,0.0,0.8333333333333334,0.4060606060606061,0.5496688741721855,0.01492537313432836,0.21686746987951808,20.70174702240579,1.2854685404976934e-17,228540.36167399926,100624594809833.23,0.0025451529741632754,0.0,0.0004983855882239114,0.0,0.4975934314835787,4.0,0.002782288456188299,0.0032516274311670487,0.00212096856826373,0.0021209685655543733,0.0023763093122719423,0.00237630930715494,2.426470588235294,4.0,1.7976190476190477,3.0,1.0,14.0,GradStudent
cthomp,960,118,0.1229,422,0.4396,1931,144,0.0746,1514,0.784,2891,79,0.0823,23,0.2911,47,0.5949,528,0.2734,25,0.0473,459,0.8693,0,0.0,0,0.0,0,0.0,2,0.001,2,1.0,2,1.0,90,70,99,99,750,0.7813,210,0.2188,1103,0.5712,828,0.4288,1.8286,1.3889,439.14166666666665,445.6525116519938,202510.8424305555,250016.73114206054,99,0.1031,302,0.1564,89,0.0927,218,0.1129,4.3204,8.6904,13.0108,445,745,0.46,0.39,346,0.3604,160,0.1667,1057,0.5474,134,0.0694,25.94583333333333,33.60279647850855,245.28039930555542,552.8308363019224,0.010263336247702776,0.003253200072778651,24.91304347826087,38.45454545454545,0.7509881422924901,0.6248548199767712,0.5775862068965517,0.6693548387096774,0.34328358208955223,0.5301204819277109,52.48975078097582,0.04851357051710952,71659301.35151637,595941128092913.0,0.5449268946608761,0.003254555510322131,0.0102615870907964,0.3714950905962142,0.2675744680851064,3.0,0.027782186660771927,0.026483628927336543,0.042817470221562334,0.04281747020452915,0.041614222356786135,0.04161422231935955,1.7058823529411764,3.0,1.4761904761904765,2.0,22.0,79.0,Director
darek,12,7,0.5833,10,0.8333,12,6,0.5,11,0.9167,24,0,0.0,0,0.0,0,0.0,1,0.0833,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,83,83,100,92,8,0.6667,4,0.3333,12,1.0,0,0.0,1.0,1.1818,491.08333333333326,542.6666666666666,167035.90972222222,157012.3888888889,7,0.5833,4,0.3333,6,0.5,3,0.25,0.0562,0.0562,0.1125,3,8,0.25,0.67,8,0.6667,0,0.0,7,0.5833,2,0.1667,26.75,21.75,135.85416666666666,193.02083333333331,0.0,0.0,0.0,53.85714285714285,0.0,1.0,0.0,0.50920245398773,0.0,0.08433734939759037,0.0,0.0,0.0,26213560506247.45,0.0,0.0,0.0,0.0,0.3625550660792952,0.0,0.0,0.0020359302880527353,0.0,0.0,0.00043763723516823265,0.00043763723532654563,0.0,0.0,1.9404761904761905,3.0,0.0,1.0,GradStudent
deannac,1565,233,0.1489,801,0.5118,1681,274,0.163,1226,0.7293,3246,971,0.6204,192,0.1977,573,0.5901,304,0.1808,38,0.125,245,0.8059,7,0.0045,7,1.0,4,0.5714,2,0.0012,2,1.0,2,1.0,77,59,95,85,1345,0.8594,220,0.1406,1199,0.7133,482,0.2867,1.5034,1.2549,548.9309904153355,622.0761451516954,406079.271914994,793017.206575503,41,0.0262,243,0.1446,38,0.0243,104,0.0619,10.0578,10.8033,20.8612,768,875,0.49,0.52,610,0.3898,57,0.0364,850,0.5057,138,0.0821,38.74504792332269,36.89173111243308,752.0762134961034,659.5314069378131,0.059282692133592364,0.05249449920133933,19.647058823529417,31.385714285714286,0.4616935483870968,0.4034240561896401,0.6504854368932039,0.8469387755102041,0.5074626865671642,0.8433734939759037,52.30530456783968,0.13828199857684284,99182901.08255509,1070210874297552.8,0.6752716984830954,0.05225001260109808,0.059277626343464326,0.2431508521756117,0.1856739551053956,3.0,0.028935471099366793,0.028778672166539208,0.018930085986140276,0.018930085994985326,0.018394901133328805,0.018394901152008508,1.5147058823529411,3.0,1.1666666666666667,2.0,32.0,322.0,Operations
drdepoy,244,56,0.2295,116,0.4754,192,42,0.2188,160,0.8333,436,9,0.0369,4,0.4444,6,0.6667,56,0.2917,11,0.1964,49,0.875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,74,83,89,91,141,0.5779,103,0.4221,135,0.7031,57,0.2969,1.4611,1.7303,604.7581967213115,542.1770833333334,523750.00300658407,451637.6978081586,18,0.0738,16,0.0833,14,0.0574,10,0.0521,1.1152,0.8775,1.9927,16,73,0.07,0.38,190,0.7787,10,0.041,101,0.526,12,0.0625,30.11065573770492,34.703125,215.22955858640162,532.521240234375,0.0034126200872923768,0.08819538670284936,16.8,40.74193548387097,0.35714285714285715,0.6945812807881774,0.471830985915493,0.6014492753623188,0.14925373134328354,0.3734939759036145,35.77302079599824,0.11942887995771972,5100730.001406412,315146578979364.2,0.13373490110566838,0.08819538670284939,0.003415249786944071,0.26352128883774456,0.2510606555084153,3.0,0.012990121792630616,0.006910792145159318,0.0012181081161927525,0.0012181081171841945,0.002214768291338152,0.0022147682931179732,2.088235294117647,3.0,1.6428571428571428,3.0,4.0,50.0,Research
dslevy,492,93,0.189,298,0.6057,782,129,0.165,563,0.7199,1274,166,0.3374,59,0.3554,109,0.6566,299,0.3824,29,0.097,248,0.8294,0,0.0,0,0.0,0,0.0,1,0.0013,1,1.0,1,1.0,83,76,90,88,280,0.5691,212,0.4309,434,0.555,348,0.445,1.2456,1.4244,373.0772357723577,532.4603580562658,283551.92086390354,451995.5962546034,60,0.122,129,0.165,50,0.1016,108,0.1381,4.8047,7.6367,12.4414,120,304,0.24,0.39,376,0.7642,31,0.063,536,0.6854,63,0.0806,29.603658536585368,35.15856777493606,628.9140516557615,838.5758792786577,0.0015704335629227902,0.0004338041563678087,29.4375,46.225806451612904,0.925,0.8669950738916257,0.5447154471544715,0.6058394160583942,0.2388059701492537,0.3734939759036145,49.03084958770778,0.013777065356606229,44033186.826242186,403240216777929.7,0.3784146217901007,0.0004343362552317776,0.0015704335629227908,0.3952637994079749,0.3179660398028117,3.0,0.011048302849114929,0.011179436013589127,0.016951588329286782,0.01695158832394394,0.01670423557777138,0.016704235566693825,1.8088235294117647,3.0,1.630952380952381,2.0,5.0,22.0,Director
example,72,19,0.2639,50,0.6944,73,19,0.2603,64,0.8767,145,13,0.1806,9,0.6923,12,0.9231,28,0.3836,8,0.2857,23,0.8214,0,0.0,0,0.0,0,0.0,1,0.0137,1,1.0,1,1.0,97,97,99,100,63,0.875,9,0.125,65,0.8904,8,0.1096,1.1429,1.6875,261.6666666666667,782.3698630136986,71637.19444444445,707440.0138862825,14,0.1944,8,0.1096,14,0.1944,8,0.1096,0.5651,0.573,1.1381,4,24,0.06,0.33,45,0.625,2,0.0278,28,0.3836,4,0.0548,19.972222222222218,40.684931506849324,87.97145061728399,1008.1336085569527,0.00025066330878711993,0.0,13.0,49.0,0.0,0.9019607843137256,0.3507853403141361,0.5608108108108109,0.01492537313432836,0.21686746987951808,10.269447404867577,-3.2136713512442342e-18,40942.24325853185,146653865039758.3,0.0004973423919674072,0.0,0.00025066330878712,0.0,0.38388155384263145,4.0,0.0026482411447641178,0.0036392614286991283,2.070239176770117e-05,2.0702391772139106e-05,0.00048456010041721223,0.0004845601008886241,2.8088235294117645,4.0,1.761904761904762,2.0,1.0,8.0,GradStudent
