@relation 10_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute fg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0,0.002427,0.555358,0.005351,1,0,0,0,0,0,0,0,0,0.149919,0.013889,1,0,0.648232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877778,0,0,1,0,0,0,0,0,0,0.845725,0.000599,0.154275,0,1,0,0,0.204486,0,0.005163,0,0,0,0.024183,0,0,0,0.148888,0,0,0,0,0.008062,0,1,0,0,0,0,0,0.066677,0.036468,1,0,0,0.588955,0,0.224365,0.019057,0,0.835375,1,1,1,0.086027,0.281695,0,0,0,0,0,0,0.004905,0,0.008131,0,1,0.37562,1,1,0,0,0,0,0.000867,0.000867,0.839695,0.947115,0,0,0,0,Research
0.45167,0.175455,0.03916,0.314573,0.182863,0.628839,0.360437,0.090262,0.530768,0.412563,0.558564,0.246967,0.485124,0.162293,0.0612,0.249378,0.2203,0.516933,0.25908,0.597222,0.076494,0.565269,0.480064,0.181818,0.010661,0.181818,1,0.052632,0.1667,1,0.206522,0.75,0.7143,0.95,0.9048,0.73,0.444444,0.622449,0.92,0.80303,0.89,0.476911,0.6994,0.402155,0.458721,0.620177,0.57881,0.433493,0.42119,0.536514,0.100083,0,0.785467,0.110986,0.080519,0.008777,0.206593,0.392032,0.46969,0.343967,0.316616,0.347004,0.3039,0.241236,0.448348,0.640895,0.553415,0.702532,0.651403,0.68,0.4,0.213518,0.3526,0.302301,0.113365,0.485357,0.416881,0.554702,0.207799,0,0,0.534943,0,0.487577,0.264943,1,0.015665,0.159986,0.022361,0.150318,1,0.353655,1,0.707965,0.985211,0.984801,0.4253,0.189162,0.971173,0.805879,0.994897,0.894006,0.061611,0.217412,0.5,1,0.427256,0.35131,0.24637,0.24637,0.245226,0.245226,0,0.149038,1,0.730496,1,0.707965,PM
0.080846,0.140909,0.175788,0.141709,0.460299,0.227661,0.382282,0.54602,0.274336,0.752393,0.148276,0.00163,0.017851,0.008746,0.5,0.002075,0.2778,0.040256,0.033293,0.180556,0.477331,0.045509,0.557235,0.090909,0.029851,0.090909,1,0.157895,1,0.047619,0.027174,0.05,1,0.05,1,0.19,0.077778,0.173469,0.82,0.318182,0.64,0.104685,0.8577,0.034081,0.217152,0.277235,0.890892,0.055422,0.109108,0.197929,0.011711,0,0.226968,0.22949,0.029396,0.048962,0.051209,0.543009,0.2087,0.435297,0.013956,0.085515,0.020603,0.018847,0.077959,0.221347,0.140853,0.097674,0.125766,0.52,0.109091,0.070575,0.6511,0.051255,0.107399,0.12417,0.21276,0.165067,0.154318,0,0,0.281241,0,0.262681,0.982814,0.706994,0.131044,0.079978,0.094672,0.030747,0.815438,0.689875,0.3,0.415929,0.882659,0.912932,0.284636,0.164366,0.109904,0.163844,0.301128,0.404012,0.060278,0.033135,0.5,1,0.153098,0.206382,0.097213,0.097213,0.09715,0.09715,0.458015,0.475962,0.081818,0.14539,0.3,0.415929,GradStudent
0.006459,0.019091,0.298209,0.006365,0.258829,0.002309,0,0.387283,0.003293,0.668697,0.005183,0,0,0,0,0,0,0.038339,1,0,0.074169,0.039521,0.413505,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.888889,0.867347,1,0.893939,0.96,0.006837,0.7011,0.005717,0.456127,0.001395,0.729368,0.003895,0.270632,0.303143,0.067038,0,0.192854,0.155924,0.007111,0.005312,0.002198,0.29155,0.011106,0.449447,0.002181,0.167248,0.013245,0.612891,0.008719,0.002641,0.006774,0.007869,0,0.53,0.490909,0.006072,0.7011,0,0,0.008395,0.490529,0.011516,0.318106,0,0,0.565856,0,0.516056,0.015076,0.001692,1,0.67453,1,0.814417,0.16958,0.285422,0.016667,0.070796,0.28502,0.38915,0.001754,0.004647,0.013756,0.042947,0.024896,0.074507,0.045228,0.587443,0.5,1,0.003386,0.004832,0.008902,0.008902,0.009854,0.009854,0.648855,0.817308,0,0.010638,0.016667,0.070796,GradStudent
0.05709,0.149091,0.263496,0.117253,0.539346,0.288271,0.450243,0.499333,0.35851,0.789977,0.158206,0.002354,0.036568,0.02138,0.8462,0.006639,0.6154,0.080511,0.067595,0.291667,0.367589,0.093413,0.596785,0.30303,0.138593,0.30303,1,0.526316,1,0.285714,0.125,0.3,1,0.3,1,0.44,0.111111,0.244898,0.77,0,0.44,0.07588,0.8804,0.020229,0.182512,0.374709,1,0.024266,0,0.182786,0.018148,0,0.361985,0.278129,0.411423,0.022678,0.045275,0.679777,0.527534,1,0.026167,0.226876,0.055188,0.074256,0.055648,0.285144,0.152165,0.029935,0.177362,0.23,0.145455,0.044097,0.5761,0.060669,0.179952,0.084928,0,0.097889,0.031198,0,0,1,0,0.640619,0.879612,0.125212,0.384238,0.217464,0.618581,0.185272,0.595286,1,0.216667,0.442478,0.87043,0.900025,0.06777,0.08262,0.128566,0.346409,0.237818,0.576111,0.074327,0.127291,0.5,1,0.071262,0.1339,0.062843,0.062843,0.061651,0.061651,0.465649,0.317308,0.063636,0.173759,0.216667,0.442478,GradStudent
0.629473,0.620909,0.099568,0.58258,0.243067,0.742438,0.603155,0.188528,0.42519,0.151905,0.722244,0.023628,0.033323,0.080661,0.318,0.03278,0.3027,0.825559,0.363398,0.736111,0.044873,0.789222,0.245338,0,0,0,0,0,0,0.190476,0.032609,0.15,0.75,0.2,1,0.57,0.488889,0.561224,0.8,0.681818,0.8,0.566129,0.5957,0.753738,0.616969,0.656284,0.438848,0.658478,0.561152,0.287243,0.071123,0,0.393616,0.043544,0.041522,0.016871,0.190989,0.260086,0.330403,0.154875,0.245094,0.192845,0.29507,0.191481,0.636546,0.772245,0.729818,0.432261,0.679781,0.3,0.327273,0.64991,0.77,0.866109,0.233174,0.934401,0.84634,1,0.361003,0,0,0.492945,0,0.292945,0.388334,0.255499,0.196724,0.199023,0.364239,0.198058,0.662986,0.809163,0.566667,0.584071,0.99033,0.991645,0.279564,0.117733,0.559226,0.623358,0.718051,0.767586,0.117679,0.334138,0.5,1,0.502466,0.476175,0.65688,0.65688,0.656709,0.656709,0.251908,0.269231,0.454545,0.41844,0.566667,0.584071,Director
0.091091,0.114545,0.126868,0.138693,0.399858,0.153544,0.14199,0.250778,0.157851,0.590047,0.123862,0.034221,0.333333,0.077745,0.2116,0.056432,0.3598,0.242173,0.505246,0.333333,0.110207,0.273054,0.53955,0.242424,0.069296,0.242424,1,0.421053,1,0.666667,0.527174,0.7,1,0.65,0.9286,0.72,0.877778,0.816327,0.92,0.893939,0.92,0.104013,0.7563,0.065743,0.371891,0.154502,0.620818,0.100359,0.379182,0.255514,0.132098,0,0.232728,0.07013,0.029852,0.003643,0.065714,0.618371,0.146229,0.445588,0.101614,0.552356,0.204562,0.69657,0.091772,0.154798,0.122865,0.051146,0.174137,0.24,0.472727,0.085109,0.6968,0.047071,0.087589,0.119094,0.398394,0.149712,0.229526,0,0,0.450876,0,0.42808,0.246751,0.369289,0.196241,0.301894,0.296913,0.314032,0.836979,0.623724,0.516667,0.469027,0.922395,0.93356,0.143422,0.064096,0.441575,0.535422,0.630054,0.697687,0.061493,0.052276,0.5,1,0.131224,0.119213,0.051513,0.051513,0.050605,0.050605,0.251908,0.278846,0.381818,0.37234,0.516667,0.469027,Research
0.169042,0.081818,0.048796,0.127973,0.198862,0.436735,0.150485,0,0.453797,0.599095,0.293548,0.025711,0.134913,0.037901,0.1373,0.038589,0.3275,0.672843,0.512308,0.305556,0,0.749701,0.514791,0,0,0,0,0,0,0.238095,0.070652,0.25,1,0.25,1,0.95,0.644444,0.77551,1,1,1,0.208137,0.8155,0.092348,0.28155,0.32605,0.25948,0.503595,0.74052,0.5788,0.086451,0,0.450749,0.033407,0.072507,0.001819,0.047473,0.240802,0.275335,0.268588,0.085914,0.2516,0.280353,0.331323,0.163589,0.431771,0.282288,0.191755,0.37762,0.49,0.309091,0.070078,0.3092,0.449791,0.450597,0.341078,0.421579,0.493282,0.286908,0,0,0.504593,0,0.274215,0.2182,0.006204,0.289759,0.38405,0.56402,0.442869,0.46612,0.776451,0.533333,0.39823,0.967402,0.969782,0.157934,0.141613,0.640436,0.516625,0.754385,0.672,0.08953,0.344091,0.5,1,0.213339,0.185958,0.14881,0.14881,0.146729,0.146729,0.274809,0.384615,0.563636,0.265957,0.533333,0.39823,Director
0.289607,0.219091,0.076343,0.250586,0.227187,0.349457,0.429612,0.364162,0.288948,0.399861,0.335594,0.216458,0.663096,0.2138,0.092,0.273444,0.2756,0.440895,0.411622,0.541667,0.085794,0.405988,0.189068,0.393939,0.035181,0.393939,1,0.631579,0.9231,0.285714,0.103261,0.3,1,0.3,1,0.76,0.477778,0.663265,0.98,0.863636,0.95,0.3859,0.8826,0.100704,0.179155,0.343716,0.57974,0.24296,0.42026,0.425414,0.032672,0,0.710026,0.11928,0.161041,0.009287,0.021538,0.063689,0.22397,0.273218,0.038378,0.065736,0.114054,0.150396,0.279263,0.342989,0.321886,0.395484,0.453402,0.59,0.581818,0.116365,0.2997,0.15272,0.08926,0.29715,0.478709,0.40499,0.295265,0,0,0.494264,0,0.398326,0.461876,0.463057,0.028997,0.125369,0.043981,0.111408,0.806419,0.64118,0.983333,0.769912,0.973934,0.973752,0.312505,0.152565,1,0.838859,1,0.91592,0.068437,0.192372,0.5,0,0.298272,0.262029,0.156465,0.156465,0.153693,0.153693,0.007634,0.110577,0.981818,0.698582,0.983333,0.769912,Operations
0.007721,0.020909,0.273255,0.01675,0.569803,0.003463,0.007282,0.530458,0.008232,0.877501,0.006491,0.003531,0.405712,0.012634,0.3333,0.009129,0.5641,0.029393,0.738902,0.069444,0.310393,0.033533,0.576206,0,0,0,0,0,0,0,0,0,0,0,0,0.98,1,1,1,1,1,0.009863,0.8462,0.003518,0.234702,0.004959,0.915428,0,0.084572,0.203529,0.066242,0,0.243968,0.188719,0.026533,0.006294,0.003516,0.390256,0.000925,0.028042,0.006978,0.447353,0.002208,0.186581,0.009926,0.003119,0.007757,0.001197,0.001612,0.07,0.509091,0.00657,0.6346,0.002092,0.045823,0.005662,0.295954,0,0.064624,0,0,0,0,0,0.061384,0.048646,0.645422,0.580946,1,0.796836,0.837907,0.602089,0.083333,0.150442,0.362766,0.224691,0.004317,0.004854,0.049246,0.149507,0.085075,0.242429,0.224711,0.557024,0.5,1,0.006034,0.003355,0.000877,0.000877,0,0,0.656489,0.721154,0,0.053191,0.083333,0.150442,GradStudent
